rsdntl_prty_prcs_yr_end_30_jne_atchd_dwlngs_nmbr_trnsf_nm, building_approvals_year_ended_30_june_private_sector_houses_num, bldng_apprvls_yr_endd_30_jne_ttl_vle_prvte_sctr_dwllng_unts_m, sa4_code_2016, bldng_apprvls_yr_endd_30_jne_vle_prvte_sctr_hss_m, building_approvals_year_ended_30_june_total_dwelling_units_num, rsdntl_prprty_prcs_yr_endd_30_jne_hss_mdn_sle_prce, rsdntl_prprty_prcs_yr_endd_30_jne_hss_nmbr_trnsfrs_nm, yr, rsdntl_prprty_prcs_yr_endd_30_jne_attchd_dwllngs_mdn_sle_prce, building_approvals_year_ended_30_june_value_residential_m, sa4_name_2016, bldng_apprvls_yr_endd_30_jne_prvte_sctr_dwllngs_excldng_hss_nm, bldng_aprvls_yr_end_30_jne_vle_prvte_sctr_dwlngs_excldng_hs_m, bldng_apprvls_yr_endd_30_jne_ttl_prvte_sctr_dwllng_unts_nm
261,565,230,"113",216,630,312000,2566,2019,265000,241,"Riverina",65,15,630
358,963,517,"114",421,1335,620000,2678,2019,470000,530,"Southern Highlands and Shoalhaven",370,96,1333
464,1797,1189,"115",854,2818,1170000,2282,2019,762000,1205,"Sydney - Baulkham Hills and Hawkesbury",1021,335,2818
898,3158,1456,"116",914,5286,720000,3436,2019,560000,1456,"Sydney - Blacktown",2122,542,5280
4461,127,1223,"117",157,3240,1355000,1352,2019,840000,1258,"Sydney - City and Inner South",3113,1066,3240
2487,170,1038,"118",511,1000,2450000,1564,2019,1027661,1113,"Sydney - Eastern Suburbs",830,528,1000
3252,1029,955,"119",380,2949,988000,3282,2019,621000,977,"Sydney - Inner South West",1869,575,2898
2478,287,676,"120",325,1337,1600000,1754,2019,750000,694,"Sydney - Inner West",1050,351,1337
3734,466,1549,"121",747,2549,1950000,2834,2019,875278,1584,"Sydney - North Sydney and Hornsby",2083,802,2549
2039,271,422,"122",332,509,1700000,2121,2019,855000,447,"Sydney - Northern Beaches",237,90,508
478,2231,998,"123",719,3214,640000,3078,2019,438000,1024,"Sydney - Outer South West",930,280,3161
886,1239,696,"124",430,2275,660000,3560,2019,495000,714,"Sydney - Outer West and Blue Mountains",995,266,2234
2573,858,1878,"125",266,5953,875000,2357,2019,600000,1891,"Sydney - Parramatta",5065,1613,5923
1672,316,647,"126",207,1549,1500000,1185,2019,725000,651,"Sydney - Ryde",1233,440,1549
881,3425,1466,"127",1034,5125,740000,3111,2019,490000,1502,"Sydney - South West",1631,432,5056
1675,267,842,"128",203,1822,1130000,1975,2019,730000,848,"Sydney - Sutherland",1555,639,1822
589,1508,518,"201",500,1611,380000,2885,2019,285000,532,"Ballarat",97,18,1605
408,1130,420,"202",401,1227,371000,2343,2019,270000,437,"Bendigo",89,20,1219
1063,3578,1554,"203",1367,4233,562500,4603,2019,406000,1593,"Geelong",638,187,4216
488,1359,509,"204",480,1440,345000,2489,2019,232500,539,"Hume",73,29,1432
896,2402,878,"205",852,2547,330000,5103,2019,285000,905,"Latrobe - Gippsland",133,26,2535
10654,403,3143,"206",883,5882,1280000,3548,2019,560000,3272,"Melbourne - Inner",5452,2260,5855
2705,858,2179,"207",934,4139,1420000,3157,2019,650000,2193,"Melbourne - Inner East",3277,1245,4135
3530,801,2029,"208",887,3525,1305000,3693,2019,650000,2058,"Melbourne - Inner South",2719,1141,3520
2176,2914,1589,"209",1081,4831,680000,4984,2019,529500,1623,"Melbourne - North East",1879,508,4793
1388,3744,1499,"210",1213,5014,600000,4320,2019,512000,1544,"Melbourne - North West",1143,287,4887
2151,1143,961,"211",624,2306,738800,5162,2019,565000,995,"Melbourne - Outer East",1143,338,2286
2767,6152,3121,"212",2128,9568,620000,8235,2019,480000,3155,"Melbourne - South East",3376,993,9528
2478,7910,3243,"213",2494,10718,585000,8669,2019,440000,3279,"Melbourne - West",2789,749,10699
1355,1045,907,"214",732,1608,660000,4641,2019,480000,940,"Mornington Peninsula",543,175,1588
352,497,190,"215",188,510,225000,2410,2019,197500,206,"North West",8,2,505
320,692,262,"216",242,751,290000,1726,2019,225500,275,"Shepparton",53,19,745
325,532,222,"217",218,555,300000,1890,2019,253000,239,"Warrnambool and South West",17,4,549
739,743,376,"301",259,1233,562500,3621,2019,380000,394,"Brisbane - East",490,117,1233
991,569,489,"302",264,1481,593390,2891,2019,370000,528,"Brisbane - North",857,225,1426
1677,1299,872,"303",620,2171,696000,3871,2019,395000,908,"Brisbane - South",848,252,2147
726,436,409,"304",279,863,720000,2369,2019,434000,435,"Brisbane - West",411,130,847
3524,309,1104,"305",484,1974,980000,2384,2019,478000,1149,"Brisbane Inner City",1645,620,1954
1837,762,300,"306",286,862,395000,3170,2019,230000,331,"Cairns",39,14,801
91,258,94,"307",90,274,245000,1392,2019,212500,103,"Darling Downs - Maranoa",16,5,274
405,324,126,"308",115,383,290000,2736,2019,211000,149,"Central Queensland",36,11,360
8627,2425,2055,"309",981,5095,648000,6597,2019,427000,2136,"Gold Coast",2596,1074,5021
512,2558,751,"310",652,3121,375000,4838,2019,300000,809,"Ipswich",438,98,2996
775,2786,796,"311",663,3526,423000,4227,2019,256750,837,"Logan - Beaudesert",659,133,3445
457,582,309,"312",309,582,345000,2086,2019,249000,329,"Mackay - Isaac - Whitsunday",null,null,582
942,2110,656,"313",539,2726,435000,3972,2019,329000,691,"Moreton Bay - North",585,117,2695
517,859,372,"314",233,1441,510000,3046,2019,332000,400,"Moreton Bay - South",560,139,1419
34,42,14,"315",12,69,187500,485,2019,265000,31,"Queensland - Outback",5,2,47
3338,2950,1569,"316",1072,4625,622000,6039,2019,435375,1590,"Sunshine Coast",1675,497,4625
393,569,242,"317",194,764,380000,2381,2019,277375,260,"Toowoomba",189,48,758
536,418,143,"318",138,461,315000,2434,2019,235000,180,"Townsville",31,5,449
655,1391,519,"319",504,1444,310000,5183,2019,260000,551,"Wide Bay",53,15,1444
2320,1277,864,"401",554,2481,702750,3237,2019,465000,872,"Adelaide - Central and Hills",1194,310,2471
1091,2207,554,"402",508,2497,375000,5499,2019,250075,566,"Adelaide - North",261,46,2468
1593,1626,596,"403",511,2069,475000,4775,2019,379000,613,"Adelaide - South",416,84,2042
1758,1196,543,"404",371,2024,545000,2448,2019,387500,565,"Adelaide - West",766,172,1962
86,505,154,"405",143,537,270000,1710,2019,200000,158,"Barossa - Yorke - Mid North",32,11,537
192,151,51,"406",49,157,245000,698,2019,132750,57,"South Australia - Outback",6,2,157
311,953,289,"407",282,987,302250,2985,2019,211750,305,"South Australia - South East",31,6,984
312,1220,440,"501",417,1308,373250,2231,2019,295000,462,"Bunbury",67,24,1287
367,682,196,"502",193,703,372750,1567,2019,250000,202,"Mandurah",18,3,700
1817,429,544,"503",396,852,1220000,1649,2019,455000,560,"Perth - Inner",422,147,851
598,1795,547,"504",477,2259,450000,2958,2019,298500,593,"Perth - North East",331,70,2126
1558,2415,990,"505",763,3421,520000,6578,2019,380000,1023,"Perth - North West",916,228,3331
1720,2375,864,"506",681,3148,450000,5330,2019,379000,902,"Perth - South East",692,183,3067
1439,2264,856,"507",708,2829,490000,5042,2019,395000,902,"Perth - South West",429,148,2693
123,547,174,"509",171,570,300000,1673,2019,275000,197,"Western Australia - Wheat Belt",12,3,559
471,45,27,"510",27,89,325000,856,2019,201500,53,"Western Australia - Outback (North)",null,null,45
226,191,98,"511",90,254,270000,1469,2019,234500,110,"Western Australia - Outback (South)",55,8,246
1405,1389,519,"601",471,1645,470000,3814,2019,380000,549,"Hobart",148,47,1537
677,705,218,"602",209,769,322000,3137,2019,278000,232,"Launceston and North East",40,9,745
53,278,81,"603",79,291,350000,998,2019,272000,84,"South East",12,2,290
411,412,125,"604",122,468,272000,2537,2019,235000,135,"West and North West",13,3,425
539,350,182,"701",167,425,495000,902,2019,320000,213,"Darwin",47,15,397
165,63,41,"702",26,255,425000,312,2019,359000,138,"Northern Territory - Outback",52,15,115
3426,1281,1928,"801",554,6387,710000,4069,2019,445000,1985,"Australian Capital Territory",5000,1373,6281
null,null,null,"901",null,null,null,null,2019,null,null,"Other Territories",null,null,null
