rsdntl_prty_prcs_yr_end_30_jne_atchd_dwlngs_nmbr_trnsf_nm, building_approvals_year_ended_30_june_private_sector_houses_num, bldng_apprvls_yr_endd_30_jne_ttl_vle_prvte_sctr_dwllng_unts_m, sa4_code_2016, bldng_apprvls_yr_endd_30_jne_vle_prvte_sctr_hss_m, building_approvals_year_ended_30_june_total_dwelling_units_num, rsdntl_prprty_prcs_yr_endd_30_jne_hss_mdn_sle_prce, rsdntl_prprty_prcs_yr_endd_30_jne_hss_nmbr_trnsfrs_nm, yr, rsdntl_prprty_prcs_yr_endd_30_jne_attchd_dwllngs_mdn_sle_prce, building_approvals_year_ended_30_june_value_residential_m, sa4_name_2016, bldng_apprvls_yr_endd_30_jne_prvte_sctr_dwllngs_excldng_hss_nm, bldng_aprvls_yr_end_30_jne_vle_prvte_sctr_dwlngs_excldng_hs_m, bldng_apprvls_yr_endd_30_jne_ttl_prvte_sctr_dwllng_unts_nm
1060,1168,509,"101",458,1436,490000,3789,2019,340000,532,"Capital Region",234,51,1402
1327,822,566,"102",335,1654,637000,4370,2019,503000,572,"Central Coast",826,231,1648
283,697,284,"103",251,838,370000,3799,2019,285000,300,"Central West",140,33,837
568,475,265,"104",168,823,477500,2128,2019,350000,267,"Coffs Harbour - Grafton",348,97,823
39,266,111,"105",93,386,250000,1769,2019,255000,126,"Far West and Orana",81,18,347
741,1838,681,"106",623,2109,450000,4705,2019,347500,698,"Hunter Valley exc Newcastle",264,58,2102
1305,1230,856,"107",523,2353,705038,3121,2019,570000,868,"Illawarra",1119,333,2349
978,920,407,"108",326,1247,472500,3476,2019,376000,415,"Mid North Coast",324,82,1244
383,558,229,"109",215,613,285000,2094,2019,213750,240,"Murray",55,14,613
190,426,169,"110",160,474,295000,2710,2019,255000,177,"New England and North West",48,9,474
1307,1016,963,"111",456,2542,592000,5272,2019,492500,1030,"Newcastle and Lake Macquarie",1525,508,2541
1579,974,469,"112",371,1360,590000,3352,2019,465000,472,"Richmond - Tweed",386,98,1360
