grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_mn, estimates_personal_income_year_ended_30_june_median_investment, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_3000_pr_wk_pc, estimates_personal_income_year_ended_30_june_median_employee, sa4_code_2016, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_gni_cf, estimates_personal_income_year_ended_30_june_mean_investment, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_2000_2999_pr_wk_pc, yr, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_1000_1999_pr_wk_pc, estimates_personal_income_year_ended_30_june_mean_employee, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_1_499_pr_wk_pc, sa4_name_2016, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_500_999_pr_wk_pc, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_mdn
46744,281,null,47262,"101",0.457,6988,null,2017,null,55135,null,"Capital Region",null,4962
40070,202,null,46927,"102",0.453,6182,null,2017,null,55259,null,"Central Coast",null,3904
40210,231,null,46048,"103",0.468,6941,null,2017,null,53977,null,"Central West",null,3314
31316,279,null,40325,"104",0.475,6105,null,2017,null,46664,null,"Coffs Harbour - Grafton",null,3736
49488,203,null,44907,"105",0.462,6628,null,2017,null,51125,null,"Far West and Orana",null,3299
41343,182,null,48919,"106",0.461,5593,null,2017,null,58953,null,"Hunter Valley exc Newcastle",null,3886
41189,281,null,49998,"107",0.454,6070,null,2017,null,59153,null,"Illawarra",null,3792
33691,344,null,40264,"108",0.486,6330,null,2017,null,46636,null,"Mid North Coast",null,4589
58462,327,null,42935,"109",0.465,8636,null,2017,null,48135,null,"Murray",null,3301
44200,267,null,43020,"110",0.483,7595,null,2017,null,48807,null,"New England and North West",null,3572
36823,273,null,49997,"111",0.462,6956,null,2017,null,58701,null,"Newcastle and Lake Macquarie",null,3641
