rnt_mrtgge_pymnts_cnss_avrge_mnthly_hshld_rntl_pymnt, hshld_strss_cnss_hshlds_rnt_pymnts_lss_30pc_incme_pc, hshld_strss_cnss_hshlds_rnt_pymnts_grtr_eql_30pc_incme_pc, hshld_strss_cnss_hshlds_mrtgge_rpymnts_grtr_eql_30pc_incme_pc, hshld_strss_cnss_hshlds_mrtgge_rpymnts_lss_30pc_incme_pc, yr, hsng_stblty_occpd_prvte_dwllngs_cnss_bdrms_spre_nm, sa4_code_2016, hsng_stblty_occpd_prvte_dwllngs_cnss_extra_bdrms_ndd_nm, rent_mortgage_payments_census_average_monthly_household_payment, hsng_stblty_occpd_prvte_dwllngs_cnss_bdrms_ndd_spre_nm
1575,90.7,9.3,9.0,91.0,2016,115539,"507",2422,2129,15796
902,93.2,6.8,5.8,94.2,2016,39248,"509",1045,1568,5831
1034,90.7,9.3,3.0,97.0,2016,15972,"510",1624,2499,4626
1059,91.9,8.1,5.4,94.6,2016,30509,"511",1157,1803,5688
1154,89.1,10.9,5.3,94.7,2016,62715,"601",2205,1531,15546
945,89.6,10.4,4.8,95.2,2016,41296,"602",1202,1357,9060
842,94.0,6.0,6.9,93.1,2016,10928,"603",367,1277,2290
874,90.3,9.7,4.7,95.3,2016,33159,"604",849,1271,6421
1835,90.0,10.0,6.8,93.2,2016,27695,"701",2553,2383,9525
745,92.8,7.2,3.0,97.0,2016,10879,"702",4131,1945,5252
1629,91.9,8.1,5.5,94.5,2016,104770,"801",3702,2178,26012
708,96.6,3.4,6.2,93.8,2016,948,"901",70,1547,242
