value_tot_resial_building_aud000, sa4_code16, new_houses_num, value_tot_building_aud000, value_new_oth_resial_building_aud000, new_oth_resial_building_num, value_new_houses_aud000, sa4_name16, tot_dwl_num, value_non_resial_building_aud000, value_alterations_additions_conversions_resial_building_aud000
405592.2,101,772,864357.3,58470.3,202,286897.7,"Capital Region",985,458765.1,60224.2
423183.8,102,674,789760.5,131838.1,437,203336.9,"Central Coast",1121,366576.8,88008.8
312859.4,103,668,483550.0,30811.6,134,240207.5,"Central West",805,170690.6,41840.4
177555.4,104,379,283299.0,25138.2,97,119355.0,"Coffs Harbour - Grafton",489,105743.6,33062.2
98732.4,105,209,204781.2,17849.0,77,67111.8,"Far West and Orana",286,106048.8,13771.5
704708.0,106,1826,1446456.8,75999.1,339,573373.9,"Hunter Valley exc Newcastle",2171,741748.8,55335.1
729962.1,107,914,943552.3,319025.8,1125,330776.9,"Illawarra",2050,213590.2,80159.4
368073.9,108,794,589943.0,53632.1,236,261454.2,"Mid North Coast",1047,221869.1,52987.6
283496.0,109,640,388342.7,21806.4,49,232698.7,"Murray",691,104846.7,28990.9
155039.0,110,333,288120.9,16059.3,83,107782.3,"New England and North West",421,133081.9,31197.4
1042991.1,111,1123,1673643.2,516218.7,1719,388645.5,"Newcastle and Lake Macquarie",2858,630652.1,138126.9
457584.8,112,821,579523.8,93020.4,309,290283.4,"Richmond - Tweed",1153,121939.1,74281.0
226108.4,113,528,453623.8,11653.1,48,181137.1,"Riverina",585,227515.3,33318.2
421776.8,114,660,587234.2,92388.1,327,259660.3,"Southern Highlands and Shoalhaven",1001,165457.5,69728.3
998770.3,115,1804,1381118.9,147140.8,410,793494.1,"Sydney - Baulkham Hills and Hawkesbury",2228,382348.6,58135.3
1179922.9,116,2849,2119602.8,386187.3,1558,771220.0,"Sydney - Blacktown",4435,939679.9,22515.5
701309.6,117,84,3662525.0,459012.7,1382,36685.1,"Sydney - City and Inner South",1498,2961215.5,205611.7
760522.9,118,183,2614901.2,252850.5,465,183450.7,"Sydney - Eastern Suburbs",681,1854378.2,324221.7
1546277.6,119,1005,1962386.1,1118018.8,3303,338779.2,"Sydney - Inner South West",4338,416108.5,89479.6
757211.7,120,228,1397798.1,441404.9,1067,131422.0,"Sydney - Inner West",1334,640586.4,184384.8
1161266.8,121,489,2473929.5,395362.8,898,382593.5,"Sydney - North Sydney and Hornsby",1409,1312662.8,383310.5
420776.3,122,295,616469.5,73545.7,208,186409.7,"Sydney - Northern Beaches",523,195693.2,160820.8
800714.8,123,1810,1497473.2,212954.7,856,558909.2,"Sydney - Outer South West",2681,696758.5,28851.0
537888.0,124,979,1234455.5,169318.1,672,315859.6,"Sydney - Outer West and Blue Mountains",1663,696567.5,52710.3
1246201.8,125,708,2873025.8,997793.4,3450,210697.5,"Sydney - Parramatta",4179,1626823.9,37710.9
754311.3,126,197,1183301.6,580162.9,1515,107383.1,"Sydney - Ryde",1732,428990.3,66765.3
1262218.4,127,2856,2240385.2,406483.9,1292,833990.1,"Sydney - South West",4166,978166.8,21744.4
558264.5,128,186,924510.9,366441.4,918,101148.4,"Sydney - Sutherland",1112,366246.4,90674.8
544218.3,201,1453,721988.4,22005.9,98,454383.2,"Ballarat",1555,177770.2,67829.2
470784.9,202,1187,645532.6,17616.9,73,382840.7,"Bendigo",1261,174747.7,70327.3
1470673.8,203,3261,2774924.8,175566.1,595,1117010.4,"Geelong",3862,1304251.0,178097.2
453941.8,204,1139,664186.4,8814.3,32,379364.9,"Hume",1179,210244.6,65762.6
818416.8,205,2151,1152353.4,29264.2,118,679171.5,"Latrobe - Gippsland",2271,333936.6,109981.2
4728290.0,206,349,1.0442468E7,3752539.2,9075,342542.7,"Melbourne - Inner",9472,5714177.5,633208.0
1847570.1,207,680,2494259.5,1007683.0,2391,590096.8,"Melbourne - Inner East",3082,646689.3,249790.3
1800512.2,208,714,2339301.5,864661.4,1708,577029.9,"Melbourne - Inner South",2443,538789.2,358820.9
1738975.5,209,3263,2331977.0,550617.6,1972,1039714.1,"Melbourne - North East",5249,593001.6,148643.8
1547995.8,210,3648,2398954.8,332021.8,1232,1144247.8,"Melbourne - North West",4886,850959.0,71726.2
1030896.9,211,1024,1523033.0,424053.7,1338,455071.0,"Melbourne - Outer East",2369,492136.1,151772.2
2347707.8,212,4948,4213916.5,597271.0,1948,1646630.0,"Melbourne - South East",6902,1866208.8,103806.6
3786932.5,213,9690,5919265.0,754714.3,2416,2886803.8,"Melbourne - West",12115,2132332.2,145414.5
869327.5,214,945,1321480.0,161653.9,555,511267.6,"Mornington Peninsula",1511,452152.5,196406.0
217037.0,215,463,455040.2,8848.6,31,165679.6,"North West",501,238003.2,42508.9
270658.9,216,702,512984.7,6061.9,23,229555.2,"Shepparton",727,242325.8,35041.8
260973.4,217,542,357534.2,5323.6,21,202166.9,"Warrnambool and South West",563,96560.8,53482.9
369160.6,301,833,539520.7,47612.9,165,256054.3,"Brisbane - East",1004,170360.2,65493.3
462089.2,302,620,786421.5,138764.9,540,240763.8,"Brisbane - North",1161,324332.4,82560.5
951988.0,303,1398,1469868.5,258535.6,946,559686.8,"Brisbane - South",2349,517880.5,133765.6
395896.6,304,436,711032.4,93382.2,312,214855.2,"Brisbane - West",750,315135.9,87659.2
998143.4,305,311,2881831.5,457417.1,1385,213791.9,"Brisbane Inner City",1705,1883688.0,326934.4
318790.1,306,766,814377.2,5183.5,22,251530.5,"Cairns",800,495587.1,62076.1
90900.3,307,203,210678.5,378.0,2,60595.0,"Darling Downs - Maranoa",213,119778.2,29927.3
215701.4,308,469,366986.6,8114.3,25,148587.6,"Central Queensland",502,151285.2,58999.6
1870460.2,309,1836,2603112.5,1008592.5,2698,674329.5,"Gold Coast",4565,732652.3,187538.3
771487.1,310,2466,1749599.8,97300.9,368,619532.2,"Ipswich",2838,978112.6,54654.0
648760.6,311,2236,1223841.8,78507.2,471,523842.5,"Logan - Beaudesert",2717,575081.1,46410.9
234888.4,312,451,535558.0,1027.3,5,175147.1,"Mackay - Isaac - Whitsunday",463,300669.7,58713.9
690109.1,313,2214,1182415.4,101904.6,463,541380.4,"Moreton Bay - North",2683,492306.3,46824.1
388715.3,314,931,591135.7,108302.6,477,243428.0,"Moreton Bay - South",1409,202420.4,36984.7
34499.3,315,57,125104.1,5720.9,18,20352.5,"Queensland - Outback",75,90604.8,8425.9
1462970.2,316,2450,2141510.8,373590.9,1147,780021.0,"Sunshine Coast",3638,678540.6,309358.3
241454.2,317,533,522745.1,22886.2,114,159142.6,"Toowoomba",649,281291.0,59425.4
233772.7,318,512,565165.0,24938.2,67,145934.0,"Townsville",583,331392.3,62900.5
527430.9,319,1313,844330.7,27316.0,81,376442.5,"Wide Bay",1402,316899.7,123672.5
1119019.9,401,1305,1751202.1,498460.6,1655,460098.2,"Adelaide - Central and Hills",2982,632182.3,160461.1
638542.3,402,2479,1558175.2,44350.8,213,563124.9,"Adelaide - North",2693,919632.9,31066.7
616477.7,403,1512,913822.7,127695.0,553,411003.4,"Adelaide - South",2074,297345.0,77779.3
663719.5,404,1490,1119637.5,230910.5,939,377610.7,"Adelaide - West",2437,455918.0,55198.3
157331.6,405,484,262755.1,5617.7,15,125597.0,"Barossa - Yorke - Mid North",503,105423.5,26116.9
58101.6,406,141,293801.4,3000.0,24,39329.6,"South Australia - Outback",167,235699.8,15772.0
296600.9,407,870,839116.5,2660.0,14,248767.5,"South Australia - South East",891,542515.6,45173.4
384296.3,501,975,547312.7,23934.5,75,309297.7,"Bunbury",1058,163016.4,51064.1
198506.4,502,638,274162.6,8323.1,31,180492.1,"Mandurah",674,75656.2,9691.2
833484.4,503,379,2289448.2,404732.3,960,305089.9,"Perth - Inner",1342,1455963.8,123662.1
497671.4,504,1742,812640.0,27541.8,133,429359.7,"Perth - North East",1878,314968.6,40769.9
902801.0,505,2338,1248696.8,142756.3,570,677762.0,"Perth - North West",2911,345895.8,82282.7
849002.4,506,2210,1681486.2,179777.8,682,598036.9,"Perth - South East",2899,832483.8,71187.6
865494.3,507,2254,1176032.2,149882.4,564,642839.2,"Perth - South West",2823,310538.0,72772.7
178235.2,509,444,307655.9,4405.5,15,139203.3,"Western Australia - Wheat Belt",464,129420.7,34626.3
64616.0,510,81,445130.0,4516.3,13,31924.3,"Western Australia - Outback (North)",95,380514.0,28175.4
103103.8,511,199,309732.5,6063.6,10,71437.2,"Western Australia - Outback (South)",214,206628.7,25603.0
515710.8,601,1402,783719.6,52178.0,172,396957.8,"Hobart",1580,268008.8,66575.0
244771.7,602,752,326672.2,700.0,6,211241.5,"Launceston and North East",767,81900.5,32830.2
96944.1,603,299,119694.1,750.0,5,83654.2,"South East",308,22750.0,12539.9
171995.9,604,475,314258.2,11090.0,37,139410.7,"West and North West",531,142262.3,21495.3
213382.6,701,272,435581.9,38997.9,125,92128.3,"Darwin",411,222199.3,82256.5
132717.9,702,126,218396.6,25811.9,52,56071.2,"Northern Territory - Outback",180,85678.7,50834.8
1574899.6,801,1233,2520226.5,1024027.0,3689,453281.0,"Australian Capital Territory",4928,945326.9,97591.5
