value_tot_resial_building_aud000, new_houses_num, value_tot_building_aud000, value_new_oth_resial_building_aud000, new_oth_resial_building_num, value_new_houses_aud000, tot_dwl_num, sa4_name, value_non_resial_building_aud000, sa4_code, value_alterations_additions_conversions_resial_building_aud000
254730.3,684,377282.3,32068.6,183,183096.0,878,"Capital Region",122552.0,"101",39565.7
241041.7,535,365816.1,40830.7,216,138213.2,772,"Central Coast",124774.4,"102",61997.8
282577.8,838,497661.9,22755.0,123,225979.0,973,"Central West",215084.0,"103",33843.8
128643.8,347,252500.3,16530.4,66,89201.3,423,"Coffs Harbour - Grafton",123856.5,"104",22912.1
107907.8,289,151858.3,21074.2,104,76707.0,394,"Far West and Orana",43950.5,"105",10126.6
502383.2,1470,712266.9,80954.6,447,378810.7,1926,"Hunter Valley exc Newcastle",209883.8,"106",42617.8
325093.1,700,527652.4,52639.2,281,217613.7,1000,"Illawarra",202559.3,"107",54840.2
221098.5,655,369760.0,14919.3,79,174833.4,742,"Mid North Coast",148661.5,"108",31345.8
133601.0,394,197884.4,3785.7,28,106217.3,423,"Murray",64283.5,"109",23597.9
197906.3,561,448593.7,14892.3,84,149391.1,653,"New England and North West",250687.3,"110",33622.9
426549.0,959,677972.2,54299.9,323,275884.4,1300,"Newcastle and Lake Macquarie",251423.1,"111",96364.8
203885.7,547,309897.2,14399.3,76,153023.5,634,"Richmond - Tweed",106011.6,"112",36462.9
146024.6,402,240627.4,6768.1,38,106270.4,449,"Riverina",94602.8,"113",32986.1
224907.3,620,317417.2,24083.6,117,160408.9,745,"Southern Highlands and Shoalhaven",92509.8,"114",40414.8
461721.0,685,718095.1,173168.3,759,245388.8,1455,"Sydney - Baulkham Hills and Hawkesbury",256374.1,"115",43163.8
484373.6,1474,949474.3,114005.1,691,349518.9,2192,"Sydney - Blacktown",465100.7,"116",20849.7
1350982.1,104,3045459.2,1197879.8,4181,29698.3,4493,"Sydney - City and Inner South",1694477.2,"117",123404.0
696664.0,393,1005369.1,253866.3,756,231964.2,1262,"Sydney - Eastern Suburbs",308705.1,"118",210833.5
750568.3,632,1000289.7,477236.9,2173,187836.1,2860,"Sydney - Inner South West",249721.4,"119",85495.3
685011.0,85,853651.9,566680.9,2003,38279.1,2089,"Sydney - Inner West",168641.0,"120",80051.0
940255.5,436,1466563.1,397724.2,1585,240602.8,2082,"Sydney - North Sydney and Hornsby",526307.6,"121",301928.6
415061.2,243,487277.0,151778.8,513,120346.1,771,"Sydney - Northern Beaches",72215.8,"122",142936.2
429377.2,1178,624615.3,92263.8,566,309194.9,1758,"Sydney - Outer South West",195238.0,"123",27918.5
413807.4,1062,674017.4,99721.3,587,260148.2,1668,"Sydney - Outer West and Blue Mountains",260210.1,"124",53937.9
1069004.2,631,1577494.4,869618.2,3203,155876.0,3903,"Sydney - Parramatta",508490.2,"125",43509.9
