grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_mn, estimates_personal_income_year_ended_30_june_median_investment, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_3000_pr_wk_pc, estimates_personal_income_year_ended_30_june_median_employee, sa4_code_2016, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_gni_cf, estimates_personal_income_year_ended_30_june_mean_investment, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_2000_2999_pr_wk_pc, yr, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_1000_1999_pr_wk_pc, estimates_personal_income_year_ended_30_june_mean_employee, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_1_499_pr_wk_pc, sa4_name_2016, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_500_999_pr_wk_pc, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_mdn
35456,165,null,50689,"312",0.46,6349,null,2014,null,65331,null,"Mackay - Isaac - Whitsunday",null,2352
24041,148,null,42164,"313",0.443,5359,null,2014,null,48930,null,"Moreton Bay - North",null,2979
19224,149,null,50041,"314",0.428,5146,null,2014,null,58171,null,"Moreton Bay - South",null,2199
34350,117,null,44544,"315",0.512,4441,null,2014,null,54540,null,"Queensland - Outback",null,2224
29616,407,null,39473,"316",0.492,9955,null,2014,null,49852,null,"Sunshine Coast",null,3383
27306,231,null,43966,"317",0.449,7637,null,2014,null,50671,null,"Toowoomba",null,2463
21314,154,null,47820,"318",0.427,5026,null,2014,null,54859,null,"Townsville",null,2095
22347,262,null,37421,"319",0.493,5457,null,2014,null,44912,null,"Wide Bay",null,2504
40522,712,null,46962,"401",0.508,16230,null,2014,null,58756,null,"Adelaide - Central and Hills",null,2626
17053,159,null,44752,"402",0.391,3711,null,2014,null,48200,null,"Adelaide - North",null,2027
23705,283,null,45901,"403",0.438,7254,null,2014,null,52386,null,"Adelaide - South",null,2104
22704,330,null,45106,"404",0.428,7380,null,2014,null,50841,null,"Adelaide - West",null,2321
22619,402,null,39736,"405",0.467,7696,null,2014,null,45324,null,"Barossa - Yorke - Mid North",null,1909
23658,273,null,44630,"406",0.444,6309,null,2014,null,53913,null,"South Australia - Outback",null,2106
23412,391,null,36722,"407",0.468,7702,null,2014,null,41283,null,"South Australia - South East",null,2521
33901,273,null,43709,"501",0.485,9181,null,2014,null,57519,null,"Bunbury",null,3166
28770,209,null,49459,"502",0.49,8961,null,2014,null,65464,null,"Mandurah",null,2956
77156,1036,null,53426,"503",0.582,26776,null,2014,null,84519,null,"Perth - Inner",null,5298
39434,207,null,52000,"504",0.436,6948,null,2014,null,61453,null,"Perth - North East",null,3602
47507,255,null,51691,"505",0.461,9071,null,2014,null,64453,null,"Perth - North West",null,4029
45602,224,null,50488,"506",0.454,7557,null,2014,null,61265,null,"Perth - South East",null,3906
53123,257,null,53515,"507",0.478,10798,null,2014,null,67512,null,"Perth - South West",null,4193
32613,570,null,39968,"509",0.491,10257,null,2014,null,49586,null,"Western Australia - Wheat Belt",null,2481
