value_tot_resial_building_aud000, new_houses_num, value_tot_building_aud000, value_new_oth_resial_building_aud000, new_oth_resial_building_num, value_new_houses_aud000, tot_dwl_num, sa4_name, value_non_resial_building_aud000, sa4_code, value_alterations_additions_conversions_resial_building_aud000
566994.7,1245,884594.2,121563.6,531,364666.9,1789,"Sunshine Coast",317599.5,"316",80764.2
239156.9,727,357186.1,22767.9,145,181606.1,873,"Toowoomba",118029.2,"317",34783.0
461932.0,1378,1051305.8,25174.6,134,357727.8,1532,"Townsville",589373.8,"318",79029.6
350119.0,1390,462744.4,12227.5,76,298761.7,1468,"Wide Bay",112625.4,"319",39129.8
412683.0,824,3350013.8,49932.4,213,232973.9,1044,"Adelaide - Central and Hills",2937330.8,"401",129776.7
486609.6,2163,861289.1,53218.5,361,402437.5,2530,"Adelaide - North",374679.5,"402",30953.6
401780.2,1123,700022.9,75077.7,468,250560.1,1605,"Adelaide - South",298242.7,"403",76142.4
300678.9,636,496123.4,130679.0,555,132474.9,1194,"Adelaide - West",195444.5,"404",37524.9
162803.0,679,223619.8,1130.0,8,137530.1,689,"Barossa - Yorke - Mid North",60816.8,"405",24142.8
117780.8,458,240832.7,4964.5,32,95804.8,496,"South Australia - Outback",123051.9,"406",17011.5
272923.0,927,392510.4,32615.6,146,197983.9,1076,"South Australia - South East",119587.4,"407",42323.4
412237.0,1354,null,9556.3,60,360620.9,1418,"Bunbury",null,"501",42059.8
208027.3,803,null,2116.9,9,196890.2,813,"Mandurah",null,"502",9020.2
686665.9,437,null,245564.8,781,313542.1,1515,"Perth - Inner",null,"503",127559.0
450125.3,1563,null,38242.1,222,365325.9,1792,"Perth - North East",null,"504",46557.2
1001022.5,3052,null,113111.5,472,810159.9,3532,"Perth - North West",null,"505",77751.1
985274.0,3393,null,129902.8,476,773347.8,3882,"Perth - South East",null,"506",82023.4
974824.2,2830,null,138195.0,619,751570.4,3450,"Perth - South West",null,"507",85058.8
968906.3,1457,null,273860.0,744,586529.9,2205,"Western Australia - Outback",null,"508",108516.4
192618.5,595,null,9870.1,50,150843.5,646,"Western Australia - Wheat Belt",null,"509",31904.8
255063.0,662,521946.0,24260.6,158,161002.7,829,"Hobart",266883.0,"601",69799.7
170954.5,452,247649.0,23454.0,155,113665.8,616,"Launceston and North East",76694.6,"602",33834.6
66728.4,254,74096.8,360.0,2,52907.9,259,"South East",7368.4,"603",13460.5
121295.0,349,309090.6,10400.2,67,86626.9,422,"West and North West",187795.6,"604",24267.9
496486.0,543,null,246425.5,882,190339.1,1438,"Darwin",null,"701",59721.5
55976.0,122,null,11281.7,53,31134.3,179,"Northern Territory - Outback",null,"702",13560.0
1256202.4,1785,1969125.1,607003.7,3071,533579.5,4865,"Australian Capital Territory",712922.7,"801",115619.2
