migration_stream_skilled, migration_stream_family, lga_name, lga_code, migration_stream_humanitarian_a
20,28,"Wagga Wagga (C)","17750",0
11,4,"Walgett (A)","17900",0
5,0,"Warren (A)","17950",0
234,212,"Warringah (A)","18000",4
4,4,"Warrumbungle Shire (A)","18020",0
210,228,"Waverley (A)","18050",4
0,4,"Weddin (A)","18100",0
0,4,"Wellington (A)","18150",0
4,5,"Wentworth (A)","18200",0
207,109,"Willoughby (C)","18250",4
24,25,"Wingecarribee (A)","18350",0
0,11,"Wollondilly (A)","18400",0
40,22,"Albury (C)","10050",0
27,13,"Armidale Dumaresq (A)","10110",0
188,128,"Wollongong (C)","18450",4
101,131,"Woollahra (A)","18500",0
45,72,"Wyong (A)","18550",0
0,4,"Yass Valley (A)","18710",0
4,8,"Young (A)","18750",0
6,6,"Alpine (S)","20110",0
4,12,"Ararat (RC)","20260",0
73,57,"Ballarat (C)","20570",4
78,116,"Banyule (C)","20660",0
106,73,"Ashfield (A)","10150",4
456,285,"Auburn (C)","10200",4
12,38,"Ballina (A)","10250",0
4,0,"Balranald (A)","10300",0
120,324,"Bankstown (C)","10350",14
18,14,"Bathurst Regional (A)","10470",0
4,15,"Bega Valley (A)","10550",0
4,9,"Bellingen (A)","10600",0
4,4,"Berrigan (A)","10650",0
476,397,"Blacktown (C)","10750",5
5,4,"Bland (A)","10800",0
0,4,"Blayney (A)","10850",0
29,46,"Blue Mountains (C)","10900",0
4,4,"Bogan (A)","10950",0
0,4,"Bombala (A)","11000",0
5,0,"Boorowa (A)","11050",0
210,180,"Botany Bay (C)","11100",0
12,4,"Bourke (A)","11150",0
4,4,"Brewarrina (A)","11200",0
6,4,"Cootamundra (A)","12200",0
4,4,"Corowa Shire (A)","12300",0
4,6,"Cowra (A)","12350",0
169,109,"Burwood (A)","11300",4
27,118,"Byron (A)","11350",0
4,4,"Cabonne (A)","11400",0
28,64,"Camden (A)","11450",4
260,205,"Campbelltown (C)","40910",4
177,206,"Canada Bay (A)","11520",0
286,293,"Canterbury (C)","11550",10
4,0,"Carrathool (A)","11600",0
0,4,"Central Darling (A)","11700",0
8,15,"Cessnock (C)","11720",0
6,23,"Clarence Valley (A)","11730",0
0,4,"Cobar (A)","11750",0
37,36,"Coffs Harbour (C)","11800",4
13,7,"Cooma-Monaro (A)","12050",0
4,4,"Coonamble (A)","12150",0
9,4,"Deniliquin (A)","12500",0
52,18,"Dubbo (C)","12600",0
0,4,"Dungog (A)","12700",0
20,17,"Eurobodalla (A)","12750",4
57,394,"Fairfield (C)","12850",11
8,5,"Forbes (A)","12900",0
4,4,"Gilgandra (A)","12950",0
5,4,"Glen Innes Severn (A)","13010",0
83,96,"Gosford (C)","13100",0
17,12,"Goulburn Mulwaree (A)","13310",0
21,6,"Great Lakes (A)","13320",0
4,4,"Greater Hume Shire (A)","13340",0
363,142,"Strathfield (A)","17100",0
93,186,"Sutherland Shire (A)","17150",0
868,818,"Sydney (C)","17200",4
62,25,"Tamworth Regional (A)","17310",0
218,212,"The Hills Shire (A)","17420",4
4,4,"Tumbarumba (A)","17450",0
4,4,"Tumut Shire (A)","17500",0
27,79,"Tweed (A)","17550",0
8,7,"Upper Hunter Shire (A)","17620",0
0,4,"Upper Lachlan Shire (A)","17640",0
9,4,"Yarriambiack (S)","27630",0
0,4,"Balonne (S)","30300",0
5,6,"Banana (S)","30370",0
304,242,"Glen Eira (C)","22310",0
8,5,"Glenelg (S)","22410",0
5,7,"Golden Plains (S)","22490",0
59,48,"Greater Bendigo (C)","22620",0
351,385,"Greater Dandenong (C)","22670",18
184,42,"Adelaide (C)","40070",4
4,10,"Adelaide Hills (DC)","40120",0
6,12,"Alexandrina (DC)","40220",0
0,6,"Clare and Gilbert Valleys (DC)","41140",0
6,28,"Augusta-Margaret River (S)","50280",0
7,30,"Bassendean (T)","50350",0
111,113,"Bayswater (C)","50420",0
157,91,"Belmont (C)","50490",5
0,4,"Beverley (S)","50560",0
0,4,"Bridgetown-Greenbushes (S)","50840",0
4,0,"Brookton (S)","50910",0
9,24,"Broome (S)","50980",0
1992,1826,"Brisbane (C)","31000",29
0,4,"Quilpie (S)","36150",0
56,96,"Redland (C)","36250",0
0,4,"Richmond (S)","36300",0
61,56,"Rockhampton (R)","36360",0
5,16,"Scenic Rim (R)","36510",0
6,6,"Somerset (R)","36580",0
12,7,"South Burnett (R)","36630",0
9,9,"Southern Downs (R)","36660",0
53,49,"Bundaberg (R)","31820",0
5,4,"Burdekin (S)","31900",0
123,224,"Cairns (R)","32070",4
0,4,"Carpentaria (S)","32250",0
17,29,"Cassowary Coast (R)","32260",0
11,16,"Central Highlands (R)","32270",0
4,4,"Charters Towers (R)","32310",0
233,362,"Sunshine Coast (R)","36710",0
15,26,"Tablelands (R)","36810",0
104,77,"Toowoomba (R)","36910",0
0,4,"Torres (S)","36950",0
104,112,"Townsville (C)","37010",4
8,5,"Copper Coast (DC)","41560",0
0,4,"Elliston (DC)","41750",0
34,30,"Bunbury (C)","51190",0
16,33,"Busselton (S)","51260",0
74,44,"Cambridge (T)","51310",0
423,227,"Canning (C)","51330",19
0,4,"Capel (S)","51400",0
5,5,"Carnarvon (S)","51540",0
4,4,"Cloncurry (S)","32450",0
4,4,"Cook (S)","32500",0
4,4,"Coober Pedy (DC)","41330",0
13,44,"Whitsunday (R)","37340",0
4,4,"Coolgardie (S)","51960",0
113,56,"Marion (C)","44060",4
0,5,"Mid Murray (DC)","44210",0
102,42,"Mitcham (C)","44340",4
12,19,"Mount Barker (DC)","44550",0
21,6,"Mount Gambier (C)","44620",0
6,16,"Murray Bridge (RC)","45040",0
0,13,"Berri and Barmera (DC)","40520",0
98,23,"Unley (C)","47980",0
8,0,"Victor Harbor (C)","48050",0
4,4,"Doomadgee (S)","32770",0
46,49,"Fraser Coast (R)","33220",0
25,35,"Gladstone (R)","33360",0
677,849,"Gold Coast (C)","33430",7
4,4,"Goondiwindi (R)","33610",0
9,16,"Gympie (R)","33620",0
4,4,"Hinchinbrook (S)","33800",0
92,131,"Ipswich (C)","33960",4
9,17,"Isaac (R)","33980",0
7,21,"Lockyer Valley (R)","34580",0
181,251,"Logan (C)","34590",6
4,4,"Longreach (R)","34710",0
66,60,"Mackay (R)","34770",0
4,4,"Maranoa (R)","34860",0
132,270,"Moreton Bay (R)","35010",4
35,7,"Mount Isa (C)","35300",0
0,4,"Murweh (S)","35600",0
0,6,"North Burnett (R)","35760",0
4,8,"Barossa (DC)","40310",0
71,28,"Burnside (C)","40700",0
0,4,"Ceduna (DC)","41010",0
207,97,"Charles Sturt (C)","41060",6
0,4,"Wakefield (DC)","48130",0
0,5,"Yankalilla (DC)","48750",0
4,0,"Flinders Ranges (DC)","41830",0
0,4,"Coorow (S)","52030",0
4,4,"Roxby Downs (M)","46970",0
132,166,"Salisbury (C)","47140",11
7,4,"Southern Mallee (DC)","47290",0
0,4,"Streaky Bay (DC)","47490",0
4,4,"Tatiara (DC)","47630",0
64,42,"Tea Tree Gully (C)","47700",4
4,4,"The Coorong (DC)","47800",0
102,150,"Swan (C)","58050",8
6,10,"Gawler (T)","42030",0
0,4,"Goyder (DC)","42110",0
0,4,"Grant (DC)","42250",0
57,35,"Alice Springs (T)","70200",0
53,30,"Holdfast Bay (C)","42600",0
5,8,"Kangaroo Island (DC)","42750",0
0,4,"Lower Eyre Peninsula (DC)","43710",0
5,4,"Loxton Waikerie (DC)","43790",0
0,4,"Mallala (DC)","43920",0
0,10,"Naracoorte and Lucindale (DC)","45090",0
0,4,"Northern Areas (DC)","45120",0
76,37,"Norwood Payneham St Peters (C)","45290",0
17,76,"Onkaparinga (C)","45340",4
22,33,"Playford (C)","45680",9
273,171,"Port Adelaide Enfield (C)","45890",4
9,4,"Port Augusta (C)","46090",0
6,4,"Port Lincoln (C)","46300",0
5,4,"Port Pirie City and Dists (M)","46450",0
73,23,"Prospect (C)","46510",0
4,6,"Renmark Paringa (DC)","46670",0
0,4,"Robe (DC)","46860",0
8,12,"Cottesloe (T)","52170",0
0,4,"Cranbrook (S)","52240",0
4,4,"Cuballing (S)","52310",0
4,4,"Cunderdin (S)","52450",0
4,6,"Dalwallinu (S)","52520",0
4,4,"Dandaragan (S)","52590",0
4,9,"Dardanup (S)","52660",0
5,7,"East Fremantle (T)","53150",0
24,11,"Walkerville (M)","48260",0
4,4,"Wattle Range (DC)","48340",0
232,71,"West Torrens (C)","48410",4
21,13,"Whyalla (C)","48540",0
0,4,"Yorke Peninsula (DC)","48830",0
12,21,"Albany (C)","50080",0
4,6,"Denmark (S)","52730",0
7,4,"Derby-West Kimberley (S)","52800",0
4,4,"Donnybrook-Balingup (S)","52870",0
0,4,"Dundas (S)","53080",0
58,92,"Armadale (C)","50210",4
7,4,"Ashburton (S)","50250",0
21,13,"Claremont (T)","51750",0
141,157,"Cockburn (C)","51820",4
4,4,"Collie (S)","51890",0
4,4,"Narrogin (T)","56520",0
37,13,"Nedlands (C)","56580",0
0,4,"Corrigin (S)","52100",0
613,377,"Stirling (C)","57910",7
30,26,"Subiaco (C)","57980",0
29,24,"Kalgoorlie/Boulder (C)","54280",0
