rnt_mrtgge_pymnts_cnss_avrge_mnthly_hshld_rntl_pymnt, hshld_strss_cnss_hshlds_rnt_pymnts_lss_30pc_incme_pc, hshld_strss_cnss_hshlds_rnt_pymnts_grtr_eql_30pc_incme_pc, hshld_strss_cnss_hshlds_mrtgge_rpymnts_grtr_eql_30pc_incme_pc, hshld_strss_cnss_hshlds_mrtgge_rpymnts_lss_30pc_incme_pc, yr, hsng_stblty_occpd_prvte_dwllngs_cnss_bdrms_spre_nm, sa4_code_2016, hsng_stblty_occpd_prvte_dwllngs_cnss_extra_bdrms_ndd_nm, rent_mortgage_payments_census_average_monthly_household_payment, hsng_stblty_occpd_prvte_dwllngs_cnss_bdrms_ndd_spre_nm
988,91.7,8.3,8.1,91.9,2011,null,"101",null,1809,null
1172,88.5,11.5,10.2,89.8,2011,null,"102",null,1922,null
842,92.1,7.9,6.7,93.3,2011,null,"103",null,1602,null
1045,87.0,13.0,8.5,91.5,2011,null,"104",null,1573,null
964,88.4,11.6,7.9,92.1,2011,null,"108",null,1577,null
662,93.2,6.8,5.2,94.8,2011,null,"105",null,1371,null
1051,91.2,8.8,8.1,91.9,2011,null,"106",null,1823,null
1111,89.0,11.0,9.2,90.8,2011,null,"107",null,2024,null
785,91.7,8.3,6.8,93.2,2011,null,"109",null,1441,null
792,90.9,9.1,6.4,93.6,2011,null,"110",null,1460,null
1146,90.0,10.0,8.1,91.9,2011,null,"111",null,1878,null
1181,86.0,14.0,10.1,89.9,2011,null,"112",null,1751,null
823,91.9,8.1,6.8,93.2,2011,null,"113",null,1519,null
1018,90.1,9.9,9.2,90.8,2011,null,"114",null,1763,null
1793,95.2,4.8,14.9,85.1,2011,null,"115",null,2616,null
1232,89.2,10.8,14.8,85.2,2011,null,"116",null,2168,null
1811,78.1,21.9,8.9,91.1,2011,null,"117",null,2669,null
1963,82.4,17.6,9.0,91.0,2011,null,"118",null,2959,null
1413,86.0,14.0,12.8,87.2,2011,null,"119",null,2265,null
1790,85.6,14.4,10.4,89.6,2011,null,"120",null,2691,null
2006,88.9,11.1,10.9,89.1,2011,null,"121",null,2893,null
1961,89.4,10.6,13.1,86.9,2011,null,"122",null,2887,null
1167,91.1,8.9,14.5,85.5,2011,null,"123",null,2062,null
1225,86.8,13.2,15.0,85.0,2011,null,"127",null,2095,null
1215,90.1,9.9,12.4,87.6,2011,null,"124",null,1999,null
1381,85.1,14.9,12.4,87.6,2011,null,"125",null,2183,null
1630,88.2,11.8,10.3,89.7,2011,null,"126",null,2607,null
1595,92.3,7.7,12.5,87.5,2011,null,"128",null,2538,null
862,91.7,8.3,8.0,92.0,2011,null,"201",null,1414,null
890,92.3,7.7,7.6,92.4,2011,null,"202",null,1419,null
1038,91.1,8.9,8.5,91.5,2011,null,"203",null,1665,null
847,92.6,7.4,8.3,91.7,2011,null,"204",null,1471,null
823,92.5,7.5,7.6,92.4,2011,null,"205",null,1419,null
1573,82.9,17.1,7.0,93.0,2011,null,"206",null,2383,null
1546,91.3,8.7,8.5,91.5,2011,null,"207",null,2403,null
1488,90.3,9.7,9.6,90.4,2011,null,"208",null,2356,null
1245,92.1,7.9,11.8,88.2,2011,null,"209",null,1966,null
1199,92.3,7.7,13.2,86.8,2011,null,"210",null,1852,null
1225,93.8,6.2,11.6,88.4,2011,null,"211",null,1841,null
1249,91.2,8.8,13.1,86.9,2011,null,"212",null,1856,null
1186,91.0,9.0,13.1,86.9,2011,null,"213",null,1866,null
1136,90.9,9.1,11.2,88.8,2011,null,"214",null,1792,null
1446,90.2,9.8,11.0,89.0,2011,null,"301",null,2152,null
690,93.1,6.9,5.8,94.2,2011,null,"215",null,1222,null
787,92.1,7.9,8.2,91.8,2011,null,"216",null,1431,null
795,93.5,6.5,6.9,93.1,2011,null,"217",null,1403,null
1346,89.8,10.2,8.5,91.5,2011,null,"302",null,2078,null
1429,88.5,11.5,9.1,90.9,2011,null,"303",null,2166,null
1572,90.6,9.4,8.4,91.6,2011,null,"304",null,2294,null
1642,84.1,15.9,7.4,92.6,2011,null,"305",null,2553,null
1060,87.4,12.6,9.0,91.0,2011,null,"306",null,1780,null
788,92.2,7.8,6.9,93.1,2011,null,"307",null,1472,null
1064,92.2,7.8,6.8,93.2,2011,null,"308",null,1902,null
1152,92.2,7.8,7.6,92.4,2011,null,"312",null,2106,null
1534,83.1,16.9,13.2,86.8,2011,null,"309",null,2189,null
1159,88.3,11.7,10.3,89.7,2011,null,"310",null,1799,null
1253,87.8,12.2,12.7,87.3,2011,null,"311",null,1879,null
1196,85.6,14.4,9.9,90.1,2011,null,"313",null,1871,null
1426,92.4,7.6,12.8,87.2,2011,null,"314",null,2073,null
642,94.7,5.3,3.5,96.5,2011,null,"315",null,1629,null
1387,86.2,13.8,11.4,88.6,2011,null,"316",null,1987,null
1025,89.7,10.3,7.9,92.1,2011,null,"317",null,1660,null
1144,89.6,10.4,7.7,92.3,2011,null,"318",null,1872,null
930,88.5,11.5,7.8,92.2,2011,null,"319",null,1476,null
1212,89.8,10.2,8.0,92.0,2011,null,"401",null,1983,null
958,90.2,9.8,10.8,89.2,2011,null,"402",null,1544,null
1060,91.1,8.9,9.7,90.3,2011,null,"403",null,1680,null
