rnt_mrtgge_pymnts_cnss_avrge_mnthly_hshld_rntl_pymnt, hshld_strss_cnss_hshlds_rnt_pymnts_lss_30pc_incme_pc, hshld_strss_cnss_hshlds_rnt_pymnts_grtr_eql_30pc_incme_pc, hshld_strss_cnss_hshlds_mrtgge_rpymnts_grtr_eql_30pc_incme_pc, hshld_strss_cnss_hshlds_mrtgge_rpymnts_lss_30pc_incme_pc, yr, hsng_stblty_occpd_prvte_dwllngs_cnss_bdrms_spre_nm, sa4_code_2016, hsng_stblty_occpd_prvte_dwllngs_cnss_extra_bdrms_ndd_nm, rent_mortgage_payments_census_average_monthly_household_payment, hsng_stblty_occpd_prvte_dwllngs_cnss_bdrms_ndd_spre_nm
1004,88.9,11.1,8.3,91.7,2011,null,"404",null,1766,null
719,93.8,6.2,7.0,93.0,2011,null,"405",null,1276,null
705,92.3,7.7,5.5,94.5,2011,null,"406",null,1387,null
711,92.5,7.5,7.5,92.5,2011,null,"407",null,1301,null
1050,91.6,8.4,9.4,90.6,2011,null,"501",null,1865,null
1141,88.6,11.4,8.7,91.3,2011,null,"502",null,2021,null
1627,87.3,12.7,8.5,91.5,2011,null,"503",null,2675,null
1255,91.8,8.2,12.3,87.7,2011,null,"504",null,2035,null
1422,91.5,8.5,12.0,88.0,2011,null,"505",null,2178,null
828,90.1,9.9,3.8,96.2,2011,null,"510",null,2475,null
1321,90.6,9.4,11.0,89.0,2011,null,"506",null,2056,null
1331,91.7,8.3,10.7,89.3,2011,null,"507",null,2143,null
732,93.8,6.2,7.2,92.8,2011,null,"509",null,1542,null
925,92.8,7.2,6.5,93.5,2011,null,"511",null,1829,null
1028,89.5,10.5,8.0,92.0,2011,null,"601",null,1570,null
832,90.5,9.5,7.2,92.8,2011,null,"602",null,1384,null
716,94.4,5.6,9.9,90.1,2011,null,"603",null,1282,null
740,91.3,8.7,6.4,93.6,2011,null,"604",null,1299,null
1530,89.5,10.5,9.6,90.4,2011,null,"701",null,2288,null
617,93.8,6.2,4.5,95.5,2011,null,"702",null,1909,null
1535,92.0,8.0,7.8,92.2,2011,null,"801",null,2231,null
649,94.9,5.1,0.9,99.1,2011,null,"901",null,1692,null
