grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_mn, estimates_personal_income_year_ended_30_june_median_investment, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_3000_pr_wk_pc, estimates_personal_income_year_ended_30_june_median_employee, sa4_code_2016, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_gni_cf, estimates_personal_income_year_ended_30_june_mean_investment, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_2000_2999_pr_wk_pc, yr, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_1000_1999_pr_wk_pc, estimates_personal_income_year_ended_30_june_mean_employee, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_1_499_pr_wk_pc, sa4_name_2016, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_500_999_pr_wk_pc, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_mdn
38991,302,2.2,46579,"101",0.459,6914,4.7,2016,21.3,54726,29.6,"Capital Region",25.1,3364
33431,220,1.8,46226,"102",0.453,6227,3.8,2016,20.4,54428,32.0,"Central Coast",25.6,3177
39524,250,1.8,45350,"103",0.467,6581,4.0,2016,19.1,53330,31.5,"Central West",24.3,2458
29114,281,1.2,39677,"104",0.474,5707,2.3,2016,15.8,46134,37.0,"Coffs Harbour - Grafton",26.9,2755
39315,223,1.5,44418,"105",0.471,6225,3.5,2016,18.6,50656,31.5,"Far West and Orana",24.4,2132
33481,200,2.0,48211,"106",0.466,5434,4.9,2016,19.5,59015,31.7,"Hunter Valley exc Newcastle",24.2,2568
31859,318,2.1,49659,"107",0.456,5951,4.8,2016,21.2,59182,32.5,"Illawarra",23.1,3103
35971,367,1.2,40045,"108",0.485,6054,2.1,2016,14.4,46475,39.3,"Mid North Coast",25.9,2841
33854,333,1.5,42130,"109",0.462,8399,2.8,2016,19.4,47485,31.6,"Murray",26.7,2303
36093,286,1.5,42072,"110",0.482,7256,3.1,2016,17.9,48060,32.6,"New England and North West",26.1,2321
32899,279,2.4,49183,"111",0.463,6809,4.8,2016,21.9,58064,31.7,"Newcastle and Lake Macquarie",24.4,2870
45673,334,1.5,39349,"112",0.481,7996,2.5,2016,16.7,46337,34.9,"Richmond - Tweed",27.2,3669
38675,295,1.6,44332,"113",0.446,7526,3.2,2016,20.5,49349,29.0,"Riverina",27.2,2025
43715,429,1.9,41386,"114",0.497,9518,3.2,2016,17.6,50631,34.6,"Southern Highlands and Shoalhaven",25.3,4119
56714,449,5.7,56190,"115",0.505,11022,8.3,2016,25.8,71177,22.5,"Sydney - Baulkham Hills and Hawkesbury",20.2,3129
42283,101,1.3,51700,"116",0.391,1355,4.3,2016,24.4,56432,25.9,"Sydney - Blacktown",24.0,2859
71945,218,6.1,51244,"117",0.512,9446,8.7,2016,25.8,66849,19.0,"Sydney - City and Inner South",17.9,2886
156110,750,10.3,58300,"118",0.585,26367,9.0,2016,25.6,85621,17.0,"Sydney - Eastern Suburbs",16.6,4231
41715,295,1.9,46433,"119",0.452,5441,3.9,2016,20.4,54646,29.3,"Sydney - Inner South West",23.2,2562
57647,439,6.7,55330,"120",0.51,10132,8.0,2016,24.9,72608,21.5,"Sydney - Inner West",19.2,2980
74822,989,12.0,63276,"121",0.578,19705,10.3,2016,25.1,95186,18.0,"Sydney - North Sydney and Hornsby",16.7,3362
65610,708,9.0,55007,"122",0.545,16640,8.3,2016,25.6,79784,20.4,"Sydney - Northern Beaches",20.9,3276
52613,124,1.5,51309,"123",0.401,3435,4.3,2016,24.6,57126,26.5,"Sydney - Outer South West",24.9,4717
43416,158,1.7,51898,"124",0.413,4328,4.7,2016,25.8,57926,26.2,"Sydney - Outer West and Blue Mountains",24.8,3152
34564,208,1.6,47428,"125",0.442,3514,4.4,2016,21.5,54626,27.7,"Sydney - Parramatta",22.1,2307
48325,597,5.8,55189,"126",0.524,11281,7.8,2016,24.7,71253,22.4,"Sydney - Ryde",19.0,2644
57215,189,1.0,47228,"127",0.409,3571,2.7,2016,19.3,52521,32.6,"Sydney - South West",23.0,4855
50055,453,4.8,56494,"128",0.478,10159,7.7,2016,27.6,69834,23.1,"Sydney - Sutherland",22.3,2689
28553,205,1.6,43732,"201",0.463,8151,2.9,2016,18.7,50008,34.4,"Ballarat",25.5,2057
45093,268,1.6,44278,"202",0.457,7882,3.1,2016,19.3,50352,32.4,"Bendigo",26.3,2118
43397,283,2.2,45300,"203",0.465,9894,3.9,2016,21.3,53849,31.0,"Geelong",24.7,2466
30000,270,1.2,43005,"204",0.451,6788,2.6,2016,19.9,47998,31.9,"Hume",26.9,2079
27755,276,1.7,42276,"205",0.48,6878,3.0,2016,17.1,51633,34.7,"Latrobe - Gippsland",25.1,2302
111383,341,6.3,52289,"206",0.519,15108,7.8,2016,26.4,67125,20.5,"Melbourne - Inner",18.3,3135
69584,1134,7.0,50067,"207",0.562,18477,6.8,2016,22.2,70837,24.7,"Melbourne - Inner East",19.4,2927
64194,746,7.2,53517,"208",0.53,17765,7.4,2016,24.5,72900,23.3,"Melbourne - Inner South",19.8,3031
33665,231,2.2,48800,"209",0.44,7119,4.5,2016,23.1,56703,28.4,"Melbourne - North East",23.4,2398
49903,178,1.7,48162,"210",0.429,6232,3.7,2016,21.1,54739,30.7,"Melbourne - North West",23.2,2685
36753,263,2.3,48523,"211",0.447,7172,4.8,2016,24.1,56619,27.9,"Melbourne - Outer East",24.5,2280
39974,157,1.5,45882,"212",0.434,5767,3.4,2016,20.9,51891,28.6,"Melbourne - South East",24.7,2822
33138,110,1.7,48781,"213",0.416,3845,4.0,2016,22.3,54975,27.8,"Melbourne - West",23.5,2968
56351,233,2.2,45856,"214",0.464,10494,3.7,2016,21.9,54055,29.3,"Mornington Peninsula",25.9,3448
28806,361,1.1,38986,"215",0.482,7324,1.9,2016,16.8,43077,34.2,"North West",27.3,1791
35302,246,1.2,41248,"216",0.461,7319,2.2,2016,18.1,45668,33.1,"Shepparton",26.7,1995
30730,370,1.6,40176,"217",0.464,8312,2.6,2016,18.8,45596,33.1,"Warrnambool and South West",27.0,1864
34296,176,3.0,51548,"301",0.452,8281,5.4,2016,25.0,61593,27.3,"Brisbane - East",24.6,2915
26260,176,2.9,54024,"302",0.431,6051,6.1,2016,27.1,62365,24.8,"Brisbane - North",24.2,2390
35583,236,3.1,48930,"303",0.47,7892,5.7,2016,24.6,58578,25.6,"Brisbane - South",22.7,2787
34692,397,6.1,55025,"304",0.517,11789,7.9,2016,25.2,71197,23.8,"Brisbane - West",19.6,2660
57857,269,7.8,53000,"305",0.531,14030,8.4,2016,26.8,72154,19.3,"Brisbane Inner City",19.5,3283
26055,171,1.7,42123,"306",0.449,6140,3.3,2016,20.5,49413,28.6,"Cairns",26.8,2292
51390,193,1.6,41451,"307",0.509,6424,2.9,2016,18.7,48105,32.3,"Darling Downs - Maranoa",25.8,2563
24304,102,3.2,52728,"308",0.474,4435,6.4,2016,21.2,66643,27.7,"Central Queensland",21.5,2041
64298,166,2.4,43546,"309",0.467,10645,3.9,2016,22.0,52314,27.3,"Gold Coast",26.0,4005
24590,73,1.1,48121,"310",0.405,3127,3.0,2016,21.9,52474,29.1,"Ipswich",25.4,2121
27657,71,1.0,46954,"311",0.4,4308,2.8,2016,21.9,51336,29.0,"Logan - Beaudesert",27.1,2732
22547,114,3.3,51445,"312",0.46,5454,6.6,2016,21.7,64659,24.5,"Mackay - Isaac - Whitsunday",22.6,2240
29365,106,1.2,44966,"313",0.438,5392,2.8,2016,19.2,51130,33.0,"Moreton Bay - North",26.3,3133
23890,108,2.6,52113,"314",0.426,5084,5.5,2016,27.0,60452,24.8,"Moreton Bay - South",25.2,2243
31207,64,2.0,47403,"315",0.476,3671,6.2,2016,20.0,57383,28.0,"Queensland - Outback",21.4,1826
44865,288,2.3,41752,"316",0.489,9984,3.6,2016,20.2,51819,31.4,"Sunshine Coast",26.8,3265
26072,174,1.7,45970,"317",0.45,7183,3.7,2016,22.1,52653,29.3,"Toowoomba",26.4,2413
20186,105,1.7,49781,"318",0.428,4541,4.1,2016,23.8,56874,28.0,"Townsville",24.1,1916
26476,194,1.1,39231,"319",0.484,5340,2.0,2016,14.4,46550,40.4,"Wide Bay",24.6,2226
37334,609,4.7,49760,"401",0.513,16151,6.0,2016,23.6,62380,26.8,"Adelaide - Central and Hills",21.8,2644
18434,116,0.8,46946,"402",0.397,3756,2.5,2016,20.3,50401,33.7,"Adelaide - North",26.3,1756
25183,221,1.9,48512,"403",0.44,7190,4.0,2016,22.9,55212,30.8,"Adelaide - South",25.6,1791
27005,250,1.6,47849,"404",0.43,7234,3.7,2016,21.7,53796,32.5,"Adelaide - West",24.7,2158
21772,275,1.3,41698,"405",0.467,7445,2.7,2016,18.4,47700,36.9,"Barossa - Yorke - Mid North",25.5,1672
25650,187,1.8,46347,"406",0.448,6369,4.4,2016,20.2,55063,32.1,"South Australia - Outback",22.0,1629
25511,288,1.1,39209,"407",0.463,7483,2.1,2016,16.7,43596,35.9,"South Australia - South East",28.0,2064
30191,190,2.7,45766,"501",0.485,8251,5.6,2016,20.6,59220,28.8,"Bunbury",23.5,2662
30944,129,3.0,50603,"502",0.494,7408,5.9,2016,18.2,66347,32.3,"Mandurah",21.2,2819
79282,827,11.3,56037,"503",0.582,25114,9.2,2016,23.1,87147,20.1,"Perth - Inner",16.2,4759
33072,125,2.6,53999,"504",0.439,5843,6.0,2016,25.0,63399,25.1,"Perth - North East",21.5,2676
36642,165,4.0,53605,"505",0.464,8181,7.0,2016,25.3,66342,24.9,"Perth - North West",21.1,2795
38386,140,3.0,52389,"506",0.457,6368,5.8,2016,24.1,62936,25.1,"Perth - South East",21.3,2678
42823,165,4.4,55312,"507",0.478,9129,7.2,2016,24.1,69426,25.1,"Perth - South West",19.9,2860
36377,400,2.3,42590,"509",0.5,10001,4.3,2016,20.4,52151,29.6,"Western Australia - Wheat Belt",23.3,2228
24073,26,10.4,63712,"510",0.434,1602,13.9,2016,23.0,77968,15.8,"Western Australia - Outback (North)",12.0,2896
