value_tot_resial_building_aud000, new_houses_num, value_tot_building_aud000, value_new_oth_resial_building_aud000, new_oth_resial_building_num, value_new_houses_aud000, tot_dwl_num, sa4_name, value_non_resial_building_aud000, sa4_code, value_alterations_additions_conversions_resial_building_aud000
440298.3,1134,574972.1,43691.9,191,345237.0,1336,"Capital Region",134673.8,"101",51369.4
398699.6,849,617515.9,111662.2,559,199338.6,1428,"Central Coast",218816.2,"102",87698.9
298733.7,885,498583.0,28428.3,150,240003.1,1043,"Central West",199849.3,"103",30302.2
176040.9,468,229638.0,21787.9,91,127549.7,576,"Coffs Harbour - Grafton",53597.1,"104",26703.3
118978.2,354,212209.5,11956.9,64,93837.1,435,"Far West and Orana",93231.2,"105",13184.2
411310.2,1171,657153.8,50488.1,287,317045.0,1487,"Hunter Valley exc Newcastle",245843.6,"106",43777.1
603748.7,811,859168.1,277720.7,1160,260193.0,1998,"Illawarra",255419.4,"107",65835.0
332293.7,933,493957.6,43983.0,237,252897.9,1176,"Mid North Coast",161663.9,"108",35412.8
240510.8,668,354075.1,18564.0,92,187875.5,761,"Murray",113564.3,"109",34071.3
242726.2,722,389523.1,23111.4,134,190767.1,877,"New England and North West",146796.8,"110",28847.7
744521.0,1290,1205028.8,238844.8,1074,381677.7,2384,"Newcastle and Lake Macquarie",460507.7,"111",123998.4
408692.2,989,614862.8,67976.1,238,288466.7,1256,"Richmond - Tweed",206170.6,"112",52249.4
200355.2,574,373110.7,10133.3,53,163527.9,633,"Riverina",172755.5,"113",26693.9
399586.0,1036,525172.2,39673.0,236,299804.6,1287,"Southern Highlands and Shoalhaven",125586.2,"114",60108.5
1022515.8,1213,1343457.2,500964.5,1855,467847.7,3082,"Sydney - Baulkham Hills and Hawkesbury",320941.4,"115",53703.6
815276.5,2485,1177979.0,155104.7,921,618019.1,3449,"Sydney - Blacktown",362702.5,"116",42152.7
2000748.9,116,4052173.2,1798469.2,5770,33652.0,6044,"Sydney - City and Inner South",2051424.2,"117",168627.5
799482.6,192,1022722.8,331931.2,865,184124.3,1104,"Sydney - Eastern Suburbs",223240.2,"118",283427.1
1389504.0,965,1782168.8,1011652.8,3919,282936.4,4935,"Sydney - Inner South West",392664.7,"119",94914.9
1226414.8,210,1429876.5,951699.7,3414,87971.0,3756,"Sydney - Inner West",203461.8,"120",186744.0
1495806.8,487,2143912.5,786274.0,2838,287634.5,3353,"Sydney - North Sydney and Hornsby",648105.8,"121",421898.2
526416.3,385,1344434.4,160069.0,581,198986.4,991,"Sydney - Northern Beaches",818018.1,"122",167360.9
729219.9,2019,1085896.6,138607.9,707,557006.3,2736,"Sydney - Outer South West",356676.6,"123",33605.7
606084.6,1666,768145.8,98362.0,552,445619.4,2238,"Sydney - Outer West and Blue Mountains",162061.2,"124",62103.2
1745797.1,957,2205886.8,1489963.4,6082,210149.2,7090,"Sydney - Parramatta",460089.7,"125",45684.5
715872.3,295,863760.3,552138.1,1950,109104.1,2252,"Sydney - Ryde",147888.0,"126",54630.1
1144999.0,3336,1511917.6,242058.6,1107,870280.7,4476,"Sydney - South West",366918.7,"127",32659.6
356936.1,357,554327.3,142591.5,483,139642.0,869,"Sydney - Sutherland",197391.2,"128",74702.6
385288.1,1291,497822.8,22355.7,139,313951.4,1434,"Ballarat",112534.7,"201",48981.0
381062.2,1238,523288.3,11252.7,48,316366.3,1292,"Bendigo",142226.1,"202",53443.2
1001296.6,2716,1288030.1,97472.1,505,776360.9,3265,"Geelong",286733.6,"203",127463.5
368133.7,1181,511943.1,6313.3,42,310147.8,1231,"Hume",143809.4,"204",51672.6
597439.1,1935,776680.0,19320.4,112,499615.1,2052,"Latrobe - Gippsland",179240.9,"205",78503.6
5227196.0,585,7513459.5,4327396.5,15766,317167.4,16582,"Melbourne - Inner",2286263.5,"206",582632.0
1877820.2,1125,2273557.0,964620.5,3609,641180.5,4804,"Melbourne - Inner East",395736.7,"207",272019.2
1838995.8,1041,2506615.0,957544.2,3300,548251.9,4455,"Melbourne - Inner South",667619.3,"208",333199.8
1573184.5,3663,2102607.0,535064.5,2653,923559.0,6325,"Melbourne - North East",529422.4,"209",114560.9
1080639.1,2925,1371662.6,263455.5,1406,759779.9,4351,"Melbourne - North West",291023.5,"210",57403.7
903080.6,1596,1153823.1,300452.6,1384,465156.0,3008,"Melbourne - Outer East",250742.5,"211",137472.0
2127360.8,5722,3400148.2,467631.4,2268,1565640.2,8035,"Melbourne - South East",1272787.4,"212",94089.1
1843661.1,5120,3260401.0,454387.8,2186,1276735.2,7353,"Melbourne - West",1416740.0,"213",112537.9
702875.8,1273,1019958.9,95503.6,476,458422.2,1754,"Mornington Peninsula",317083.0,"214",148950.1
196211.1,581,296224.9,340.0,2,158271.5,587,"North West",100013.9,"215",37599.6
195984.1,556,319849.3,531.9,5,149565.2,562,"Shepparton",123865.2,"216",45887.0
196586.4,503,305783.9,8946.9,35,148864.1,546,"Warrnambool and South West",109197.5,"217",38775.4
532444.8,1211,745861.9,153784.3,718,324906.1,1933,"Brisbane - East",213417.1,"301",53754.4
635974.3,669,967323.3,372122.8,1781,194303.4,2454,"Brisbane - North",331349.0,"302",69548.1
1215722.2,959,1627475.6,711292.4,3204,371509.2,4169,"Brisbane - South",411753.4,"303",132920.6
418435.1,415,545771.5,187450.1,766,161259.3,1183,"Brisbane - West",127336.4,"304",69725.7
2897627.5,364,3936674.5,2348659.0,8645,200583.2,9316,"Brisbane Inner City",1039047.1,"305",348385.3
411332.8,1154,583375.4,16448.0,82,337592.9,1241,"Cairns",172042.6,"306",57291.8
150774.4,429,371817.7,17527.4,83,112897.5,513,"Darling Downs - Maranoa",221043.3,"307",20349.5
283671.1,749,460308.4,27618.0,132,212143.7,891,"Fitzroy",176637.2,"308",43909.5
1631116.5,2724,2347944.0,750204.0,2805,772454.4,5551,"Gold Coast",716827.6,"309",108458.1
731410.2,2404,1317108.8,157500.2,923,532228.9,3334,"Ipswich",585698.5,"310",41681.1
587735.6,2177,748797.9,75138.3,453,472460.4,2643,"Logan - Beaudesert",161062.3,"311",40136.9
215280.3,487,343563.0,24103.9,100,155330.8,588,"Mackay",128282.7,"312",35845.6
422549.6,1287,599552.7,85740.7,527,293342.6,1828,"Moreton Bay - North",177003.1,"313",43466.2
603164.6,1756,839050.2,158565.8,932,408885.2,2690,"Moreton Bay - South",235885.6,"314",35713.6
74770.9,149,126549.6,16960.4,49,48405.4,202,"Queensland - Outback",51778.6,"315",9405.1
1046425.8,2758,1327569.1,165045.3,780,762099.0,3556,"Sunshine Coast",281143.3,"316",119281.4
374670.2,875,845542.5,92405.9,516,241602.9,1395,"Toowoomba",470872.3,"317",40661.4
434404.2,1119,811935.7,88306.1,469,292782.1,1609,"Townsville",377531.5,"318",53316.1
403194.8,1385,571797.5,27080.6,166,323348.5,1554,"Wide Bay",168602.7,"319",52765.7
889095.5,1035,1329765.0,400500.3,1869,325875.4,2974,"Adelaide - Central and Hills",440669.5,"401",162719.8
517787.5,2376,723204.7,24188.6,163,462993.8,2550,"Adelaide - North",205417.2,"402",30605.1
495117.7,1390,807290.7,109583.6,581,312111.5,2005,"Adelaide - South",312173.0,"403",73422.6
389739.7,927,608267.0,136511.2,662,215138.3,1594,"Adelaide - West",218527.3,"404",38090.1
172572.7,668,260788.2,527.8,4,147859.8,675,"Barossa - Yorke - Mid North",88215.5,"405",24185.0
116562.8,410,171309.7,1000.0,4,99751.8,418,"South Australia - Outback",54746.9,"406",15811.0
291658.2,1088,420291.0,9159.8,48,244052.3,1145,"South Australia - South East",128632.7,"407",38446.1
619416.8,1923,750228.8,10707.4,65,559450.2,1994,"Bunbury",130811.9,"501",49259.2
429286.5,1579,535985.5,14105.7,84,404841.9,1668,"Mandurah",106699.0,"502",10339.0
1129741.9,537,1807120.8,586491.8,1899,400295.7,2444,"Perth - Inner",677378.8,"503",142954.4
1013284.2,3296,1171535.9,175661.7,772,781923.3,4080,"Perth - North East",158251.7,"504",55699.3
1777886.8,5072,2200393.0,305055.8,1470,1361211.2,6572,"Perth - North West",422506.3,"505",111619.6
2009366.0,4774,3368600.8,748088.0,2898,1171240.9,7703,"Perth - South East",1359234.8,"506",90037.1
1653529.0,4534,2270927.2,295173.8,1277,1192547.1,6025,"Perth - South West",617398.3,"507",165808.1
544176.5,1050,1143672.5,85850.6,230,403593.3,1288,"Western Australia - Outback",599495.9,"508",54732.6
284796.8,826,383556.4,15879.2,76,230018.0,911,"Western Australia - Wheat Belt",98759.7,"509",38899.5
342963.3,1049,584098.1,37970.1,206,250071.0,1265,"Hobart",241134.8,"601",54922.1
197988.7,603,312083.5,20724.5,132,145157.4,741,"Launceston and North East",114094.8,"602",32106.9
85214.7,311,145979.4,5050.0,21,68720.5,340,"South East",60764.7,"603",11444.2
142430.1,428,204951.1,13197.5,86,107381.2,521,"West and North West",62521.1,"604",21851.4
591542.3,822,1313491.0,222055.3,822,305478.3,1659,"Darwin",721948.7,"701",64008.7
54098.1,74,215815.4,9114.1,29,20330.9,154,"Northern Territory - Outback",161717.3,"702",24653.2
1238716.1,1305,1925162.0,674377.7,2943,457848.3,4255,"Australian Capital Territory",686445.9,"801",106490.1
