rsdntl_prty_prcs_yr_end_30_jne_atchd_dwlngs_nmbr_trnsf_nm, building_approvals_year_ended_30_june_private_sector_houses_num, bldng_apprvls_yr_endd_30_jne_ttl_vle_prvte_sctr_dwllng_unts_m, sa4_code_2016, bldng_apprvls_yr_endd_30_jne_vle_prvte_sctr_hss_m, building_approvals_year_ended_30_june_total_dwelling_units_num, rsdntl_prprty_prcs_yr_endd_30_jne_hss_mdn_sle_prce, rsdntl_prprty_prcs_yr_endd_30_jne_hss_nmbr_trnsfrs_nm, yr, rsdntl_prprty_prcs_yr_endd_30_jne_attchd_dwllngs_mdn_sle_prce, building_approvals_year_ended_30_june_value_residential_m, sa4_name_2016, bldng_apprvls_yr_endd_30_jne_prvte_sctr_dwllngs_excldng_hss_nm, bldng_aprvls_yr_end_30_jne_vle_prvte_sctr_dwlngs_excldng_hs_m, bldng_apprvls_yr_endd_30_jne_ttl_prvte_sctr_dwllng_unts_nm
1082,1238,448,"101",421,1441,397250,4340,2016,275000,474,"Capital Region",149,27,1387
1841,1222,528,"102",387,1858,555000,6668,2016,430000,552,"Central Coast",603,142,1825
302,898,366,"103",265,1243,319000,3999,2016,270000,381,"Central West",319,101,1217
830,464,197,"104",141,688,410000,2577,2016,311000,203,"Coffs Harbour - Grafton",224,56,688
94,357,123,"105",104,493,250000,1759,2016,270000,142,"Far West and Orana",95,19,452
828,1359,479,"106",429,1722,400000,4865,2016,310000,524,"Hunter Valley exc Newcastle",260,50,1619
1979,864,708,"107",341,2301,614000,4070,2016,479000,720,"Illawarra",1417,368,2281
1288,1008,358,"108",314,1239,410000,4611,2016,317750,364,"Mid North Coast",231,44,1239
389,745,258,"109",243,822,270000,2025,2016,190500,265,"Murray",77,15,822
213,636,236,"110",202,813,296500,2829,2016,249000,243,"New England and North West",172,34,808
1737,1265,715,"111",440,2571,495000,6399,2016,420000,747,"Newcastle and Lake Macquarie",1306,276,2571
2025,1149,443,"112",367,1477,495000,3974,2016,375000,445,"Richmond - Tweed",327,76,1476
274,721,231,"113",217,798,279950,2620,2016,250000,237,"Riverina",74,14,795
480,900,384,"114",321,1171,495000,4033,2016,385000,397,"Southern Highlands and Shoalhaven",263,63,1163
617,1280,924,"115",581,2318,1199475,2960,2016,795000,941,"Sydney - Baulkham Hills and Hawkesbury",1021,344,2301
1141,2845,1172,"116",786,4594,680000,4147,2016,510000,1178,"Sydney - Blacktown",1741,386,4586
6088,90,2981,"117",124,7225,1365000,1716,2016,820000,3005,"Sydney - City and Inner South",7135,2857,7225
2913,185,770,"118",437,1026,2298500,2038,2016,900000,823,"Sydney - Eastern Suburbs",841,333,1026
4089,1125,1764,"119",421,6194,1025000,4576,2016,635000,1812,"Sydney - Inner South West",4911,1343,6036
3698,247,978,"120",277,2764,1620000,2445,2016,760000,994,"Sydney - Inner West",2517,702,2764
4936,564,1979,"121",741,4402,1835000,3986,2016,838000,2009,"Sydney - North Sydney and Hornsby",3838,1239,4402
2405,425,630,"122",402,1082,1555000,2675,2016,785000,647,"Sydney - Northern Beaches",625,228,1050
838,2310,846,"123",717,2997,605000,4214,2016,430000,868,"Sydney - Outer South West",627,129,2937
1424,1522,739,"124",482,2685,610000,4903,2016,470000,756,"Sydney - Outer West and Blue Mountains",1126,256,2648
4149,1124,1860,"125",303,7334,915555,3488,2016,600000,2061,"Sydney - Parramatta",5565,1558,6689
2130,294,1914,"126",184,5724,1598000,1601,2016,791000,1927,"Sydney - Ryde",5404,1730,5698
1393,3891,1509,"127",1093,5453,745000,4058,2016,480000,1481,"Sydney - South West",1466,416,5357
1858,377,456,"128",233,1053,1160000,2214,2016,700000,468,"Sydney - Sutherland",652,222,1029
483,1146,366,"201",347,1250,303500,2695,2016,247500,375,"Ballarat",103,19,1249
359,1065,337,"202",322,1144,343000,2187,2016,265000,350,"Bendigo",66,16,1131
1243,2946,1060,"203",977,3236,435500,5338,2016,335000,1071,"Geelong",285,83,3231
398,1206,365,"204",360,1237,280000,2433,2016,215750,381,"Hume",30,6,1236
736,1980,630,"205",604,2155,284000,5111,2016,245000,654,"Latrobe - Gippsland",167,26,2147
12107,545,5110,"206",760,13448,1150000,4418,2016,550000,5203,"Melbourne - Inner",12899,4350,13444
3609,1239,2061,"207",1085,4541,1450500,4548,2016,660000,2079,"Melbourne - Inner East",3297,977,4536
5225,1177,1918,"208",884,4599,1275000,4691,2016,592500,1939,"Melbourne - Inner South",3422,1034,4599
2899,3233,1594,"209",962,6204,580000,6392,2016,440000,1629,"Melbourne - North East",2896,631,6129
2066,3217,1223,"210",888,4917,474950,5470,2016,420000,1241,"Melbourne - North West",1680,336,4897
2890,1819,944,"211",696,2935,675000,6920,2016,495000,967,"Melbourne - Outer East",1115,248,2934
3585,6643,2342,"212",1950,8480,516000,11337,2016,410000,2367,"Melbourne - South East",1818,392,8461
3770,6704,2650,"213",1851,10005,452000,11557,2016,382000,2673,"Melbourne - West",3281,798,9985
2159,1291,830,"214",643,2099,530000,6638,2016,370000,851,"Mornington Peninsula",806,187,2097
283,611,195,"215",190,695,209975,2308,2016,187500,211,"North West",78,5,689
262,607,208,"216",204,630,255000,1727,2016,215000,219,"Shepparton",18,4,625
222,472,179,"217",173,507,273250,1656,2016,252500,193,"Warrnambool and South West",33,7,505
1134,1391,596,"301",413,2195,529000,4527,2016,395000,614,"Brisbane - East",792,183,2183
1582,741,689,"302",284,2637,550000,3418,2016,405000,721,"Brisbane - North",1819,406,2560
2868,1171,1445,"303",565,4558,659410,5140,2016,431250,1465,"Brisbane - South",3386,880,4557
1101,468,454,"304",263,1362,650000,2790,2016,450000,475,"Brisbane - West",865,192,1333
5048,381,3252,"305",466,9603,885000,2885,2016,492000,3274,"Brisbane Inner City",9212,2786,9593
1878,1125,384,"306",357,1256,385000,3573,2016,230000,409,"Cairns",131,28,1256
70,291,98,"307",92,335,256000,1481,2016,228000,105,"Darling Downs - Maranoa",44,6,335
336,691,237,"308",224,771,315000,2248,2016,282500,259,"Central Queensland",76,13,767
11818,3796,2684,"309",1211,8419,573500,8938,2016,387500,2738,"Gold Coast",4567,1473,8363
962,2648,905,"310",633,4096,340000,6018,2016,340000,929,"Ipswich",1427,271,4075
1317,2194,611,"311",511,2757,393000,5803,2016,250000,627,"Logan - Beaudesert",563,100,2757
367,351,147,"312",135,404,335000,1474,2016,271350,159,"Mackay - Isaac - Whitsunday",52,12,403
1175,1403,423,"313",353,1867,398000,4614,2016,323000,448,"Moreton Bay - North",464,70,1867
1075,1345,515,"314",352,2353,475000,3674,2016,360000,547,"Moreton Bay - South",954,164,2299
40,71,28,"315",24,163,210000,456,2016,336500,70,"Queensland - Outback",20,4,91
3922,3299,1271,"316",1039,4434,530000,6929,2016,390000,1293,"Sunshine Coast",1119,232,4418
536,827,347,"317",246,1382,372500,2788,2016,307750,362,"Toowoomba",553,101,1380
611,759,280,"318",245,959,332250,2784,2016,287000,303,"Townsville",156,35,915
585,1455,412,"319",387,1593,290000,5017,2016,252000,431,"Wide Bay",132,25,1587
2328,1238,1000,"401",494,3153,650000,3604,2016,400000,1014,"Adelaide - Central and Hills",1908,506,3146
1066,2555,604,"402",529,3061,350000,5909,2016,245000,631,"Adelaide - North",415,75,2970
1595,1521,571,"403",426,2381,436000,5227,2016,351000,589,"Adelaide - South",795,145,2316
1514,1020,463,"404",288,1963,500000,2611,2016,350000,476,"Adelaide - West",891,176,1911
88,578,147,"405",147,581,265000,1624,2016,175750,156,"Barossa - Yorke - Mid North",3,null,581
114,227,70,"406",68,258,250000,597,2016,167000,78,"South Australia - Outback",12,2,239
290,1137,296,"407",285,1194,280000,3109,2016,191250,308,"South Australia - South East",53,11,1190
404,1600,518,"501",501,1701,402250,2340,2016,332250,537,"Bunbury",86,17,1686
372,1260,357,"502",340,1342,405000,1525,2016,305000,361,"Mandurah",82,16,1342
1883,442,781,"503",454,1557,1200000,1570,2016,520000,788,"Perth - Inner",1115,328,1557
717,2410,728,"504",627,2904,490000,3076,2016,375000,756,"Perth - North East",485,101,2895
1976,3384,1458,"505",1036,5465,550000,6581,2016,427000,1504,"Perth - North West",1943,422,5327
1895,3651,1304,"506",986,5147,507000,5354,2016,424000,1322,"Perth - South East",1483,318,5134
1413,3280,1333,"507",988,4930,510000,4917,2016,427000,1428,"Perth - South West",1307,345,4587
82,722,226,"509",226,775,295000,1780,2016,300000,254,"Western Australia - Wheat Belt",5,null,727
null,156,93,"510",83,269,null,null,2016,null,132,"Western Australia - Outback (North)",33,10,189
null,430,164,"511",151,557,null,null,2016,null,197,"Western Australia - Outback (South)",88,13,518
1098,820,298,"601",263,1019,360000,3388,2016,297000,308,"Hobart",195,35,1015
450,581,193,"602",172,711,270000,2529,2016,218750,201,"Launceston and North East",130,22,711
45,266,72,"603",70,275,280000,850,2016,205000,76,"South East",9,1,275
297,385,129,"604",118,443,244000,1913,2016,218000,137,"West and North West",54,10,439
899,659,454,"701",278,1426,575000,927,2016,460000,493,"Darwin",710,176,1369
185,86,41,"702",30,277,442500,283,2016,320000,140,"Northern Territory - Outback",60,12,146
3943,1093,1280,"801",462,4677,610000,4326,2016,430000,1376,"Australian Capital Territory",3265,817,4358
null,null,null,"901",null,null,null,null,2016,null,null,"Other Territories",null,null,null
