value_tot_resial_building_aud000, new_houses_num, value_tot_building_aud000, value_new_oth_resial_building_aud000, new_oth_resial_building_num, value_new_houses_aud000, tot_dwl_num, sa4_name, value_non_resial_building_aud000, sa4_code, value_alterations_additions_conversions_resial_building_aud000
472295.3,1201,556553.9,27160.9,134,389016.1,1352,"Capital Region",84258.6,"101",56118.3
487130.5,922,814884.9,144296.0,643,249058.7,1590,"Central Coast",327754.4,"102",93775.8
330442.4,892,471409.2,31191.6,162,267362.4,1067,"Central West",140966.8,"103",31888.5
200444.2,505,262881.1,30530.8,147,145024.4,666,"Coffs Harbour - Grafton",62436.9,"104",24889.0
132211.1,340,406026.9,21062.3,97,96941.6,441,"Far West and Orana",273815.8,"105",14207.2
539248.4,1409,1169441.1,52244.4,271,441172.5,1684,"Hunter Valley exc Newcastle",630192.7,"106",45831.6
620903.9,1037,847363.2,196838.4,787,345111.0,1837,"Illawarra",226459.3,"107",78954.5
401754.2,999,570847.6,69190.5,260,287958.9,1264,"Mid North Coast",169093.4,"108",44604.8
245383.4,635,378131.6,6089.5,30,204722.8,668,"Murray",132748.2,"109",34571.0
207353.4,548,361418.3,17685.2,99,163356.6,661,"New England and North West",154064.8,"110",26311.6
788689.8,1306,1125785.5,273533.0,1158,396993.1,2518,"Newcastle and Lake Macquarie",337095.7,"111",118163.7
446298.9,937,693156.3,99186.8,507,294243.8,1471,"Richmond - Tweed",246857.5,"112",52868.3
215921.0,523,488442.2,20592.1,113,161615.9,641,"Riverina",272521.2,"113",33712.9
395737.0,938,670883.1,39252.1,193,288672.2,1146,"Southern Highlands and Shoalhaven",275146.1,"114",67812.7
1556480.0,1808,2593658.2,704243.6,2128,788732.7,3948,"Sydney - Baulkham Hills and Hawkesbury",1037178.2,"115",63503.7
1150921.8,3000,2018751.6,347727.2,1480,779902.2,4500,"Sydney - Blacktown",867829.8,"116",23292.3
2867573.0,127,6863326.0,2551591.5,6331,48529.4,6854,"Sydney - City and Inner South",3995753.0,"117",267452.1
989118.0,200,1646045.9,442404.2,1069,227568.2,1338,"Sydney - Eastern Suburbs",656927.8,"118",319145.7
1643638.9,1051,1926327.8,1218199.5,3984,328187.4,5117,"Sydney - Inner South West",282688.8,"119",97252.0
1221738.2,279,1480008.9,899435.0,2958,143089.1,3291,"Sydney - Inner West",258270.6,"120",179214.2
2141134.8,511,2932584.2,1412312.8,3753,315918.1,4439,"Sydney - North Sydney and Hornsby",791449.4,"121",412904.0
654799.1,457,933952.5,195624.0,665,227165.0,1157,"Sydney - Northern Beaches",279153.3,"122",232010.2
825846.4,2259,1045810.7,122263.9,555,659617.3,2829,"Sydney - Outer South West",219964.3,"123",43965.3
884125.3,1443,1234931.8,398766.1,1683,414782.7,3155,"Sydney - Outer West and Blue Mountains",350806.5,"124",70576.5
1642783.2,926,2535447.2,1379773.8,5046,222433.3,6003,"Sydney - Parramatta",892664.0,"125",40576.2
1110061.2,223,1238449.9,953529.0,2892,106768.0,3133,"Sydney - Ryde",128388.8,"126",49764.2
2116610.2,4239,3097640.2,891206.2,3267,1194533.9,7556,"Sydney - South West",981029.9,"127",30870.2
1027156.0,496,1277308.6,721187.5,2155,210307.7,2662,"Sydney - Sutherland",250152.6,"128",95660.8
366434.7,1048,574844.0,18874.2,117,292987.4,1172,"Ballarat",208409.2,"201",54573.2
333619.6,912,525617.7,14384.6,75,265268.6,991,"Bendigo",191998.1,"202",53966.4
1117262.2,2998,1776325.8,55657.4,216,923649.0,3222,"Geelong",659063.5,"203",137955.8
370825.5,1090,510372.8,7340.8,40,305473.4,1140,"Hume",139547.3,"204",58011.3
686687.8,1951,867480.7,32167.9,165,556793.3,2121,"Latrobe - Gippsland",180792.9,"205",97726.6
5033361.0,605,9422711.0,3994863.0,11241,395425.8,11974,"Melbourne - Inner",4389350.5,"206",643072.1
2138536.5,1059,2452760.0,1132309.8,3153,714636.6,4219,"Melbourne - Inner East",314223.3,"207",291590.2
2079035.2,1233,2870899.0,1038309.4,3280,694827.5,4599,"Melbourne - Inner South",791863.7,"208",345898.5
1424256.1,2949,2115430.0,408750.1,1782,863949.1,4744,"Melbourne - North East",691173.8,"209",151556.9
1450586.2,3607,1924856.0,395892.5,1861,991042.5,5475,"Melbourne - North West",474269.8,"210",63651.2
1005173.3,1666,1429803.9,256121.5,1014,584319.8,2691,"Melbourne - Outer East",424630.6,"211",164732.0
2732066.5,7121,4357935.0,551170.4,2275,2073047.2,9412,"Melbourne - South East",1625868.6,"212",107849.0
2653847.5,6930,4253041.5,656160.3,2840,1866732.6,9787,"Melbourne - West",1599193.8,"213",130954.8
994792.3,1238,1297455.0,294016.3,991,512982.0,2240,"Mornington Peninsula",302662.8,"214",187793.9
188123.1,508,387922.4,3567.3,15,147613.6,526,"North West",199799.3,"215",36942.2
201662.5,488,371381.7,2390.8,13,147850.2,504,"Shepparton",169719.2,"216",51421.5
213788.3,481,348627.3,9191.4,41,161809.5,526,"Warrnambool and South West",134839.1,"217",42787.4
571818.1,1262,709686.5,166255.1,653,354159.9,1921,"Brisbane - East",137868.4,"301",51403.1
654024.5,700,1115379.2,354026.3,1531,216867.4,2238,"Brisbane - North",461354.7,"302",83130.8
1055138.8,1234,1518966.8,435059.7,1707,488014.2,2946,"Brisbane - South",463828.0,"303",132064.8
527928.1,489,728884.5,226592.9,755,215113.7,1258,"Brisbane - West",200956.4,"304",86221.6
1830687.5,344,3528330.5,1355300.6,4106,202910.7,4495,"Brisbane Inner City",1697643.0,"305",272476.3
382014.2,976,764316.4,29391.7,119,295284.0,1105,"Cairns",382302.2,"306",57338.5
111913.1,326,340076.8,4328.4,18,87982.7,352,"Darling Downs - Maranoa",228163.8,"307",19601.9
198918.8,557,312012.0,13120.9,81,151683.7,642,"Central Queensland",113093.2,"308",34114.2
2932671.0,3632,4428367.0,1620863.2,3346,1151266.5,7031,"Gold Coast",1495696.0,"309",160541.3
1135507.6,3213,1604235.8,303643.0,1459,782791.3,4678,"Ipswich",468728.2,"310",49073.3
610676.8,1765,865343.1,169203.7,847,409907.2,2622,"Logan - Beaudesert",254666.3,"311",31565.9
110514.4,252,202044.8,488.1,2,88273.2,254,"Mackay - Isaac - Whitsunday",91530.4,"312",21753.1
608731.0,1790,901751.5,143628.8,693,426754.3,2489,"Moreton Bay - North",293020.5,"313",38347.9
564778.5,1410,739320.2,155406.4,718,376025.3,2136,"Moreton Bay - South",174541.6,"314",33346.8
113760.8,257,188131.0,5382.3,18,100355.2,277,"Queensland - Outback",74370.2,"315",8023.2
1517772.0,3323,2347656.2,399271.2,1560,976213.8,4916,"Sunshine Coast",829884.4,"316",142287.0
323613.9,736,556781.6,84002.3,447,194561.1,1187,"Toowoomba",233167.7,"317",45050.5
282649.0,776,677829.0,22537.9,116,206652.5,892,"Townsville",395180.0,"318",53458.6
472318.7,1567,623183.8,24920.0,136,394813.5,1710,"Wide Bay",150865.1,"319",52585.2
874613.7,1221,2113216.2,348732.5,1233,376533.8,2479,"Adelaide - Central and Hills",1238602.5,"401",149347.4
564098.7,2306,806396.8,61256.8,336,469864.8,2648,"Adelaide - North",242298.0,"402",32977.2
598717.1,1416,837632.8,150964.6,716,361572.1,2142,"Adelaide - South",238915.7,"403",86180.5
634859.6,1222,919939.7,286673.9,1317,295105.9,2548,"Adelaide - West",285080.1,"404",53079.8
139190.3,501,293080.1,1180.0,7,116459.2,513,"Barossa - Yorke - Mid North",153889.8,"405",21551.1
57668.2,166,214253.6,975.0,8,45726.8,174,"South Australia - Outback",156585.4,"406",10966.3
291160.9,1003,535036.1,6644.0,36,245992.8,1040,"South Australia - South East",243875.1,"407",38524.2
460404.5,1425,704231.4,10397.9,48,399333.7,1486,"Bunbury",243826.9,"501",50672.9
269567.3,924,345206.6,12932.1,71,247695.1,999,"Mandurah",75639.3,"502",8940.1
979840.2,459,2308283.5,487882.9,1416,378187.8,1878,"Perth - Inner",1328443.4,"503",113769.5
668428.4,2199,997891.4,79680.2,365,531781.9,2586,"Perth - North East",329463.0,"504",56966.3
1194601.5,3022,1753085.1,244241.5,1012,859016.2,4042,"Perth - North West",558483.5,"505",91343.9
1126299.8,2884,2156163.8,334857.7,1436,713996.3,4335,"Perth - South East",1029864.1,"506",77445.7
1115718.2,2907,1626004.4,235781.9,860,798368.7,3790,"Perth - South West",510286.1,"507",81567.6
245412.1,686,556002.9,9952.0,33,196298.5,724,"Western Australia - Wheat Belt",310590.8,"509",39161.5
75448.9,194,317281.4,6847.6,26,61185.0,224,"Western Australia - Outback (North)",241832.5,"510",7416.3
115053.8,275,272265.5,5855.4,24,84152.2,303,"Western Australia - Outback (South)",157211.6,"511",25046.2
321113.4,803,560817.5,52154.3,231,210250.3,1044,"Hobart",239704.0,"601",58708.8
158864.0,430,222406.5,13465.2,85,115695.6,522,"Launceston and North East",63542.5,"602",29703.2
66589.5,234,102290.9,300.0,2,55575.6,242,"South East",35701.4,"603",10714.0
133554.0,359,282713.0,15518.8,76,101544.0,440,"West and North West",149159.0,"604",16491.2
266819.4,520,null,34418.6,134,175242.9,668,"Darwin",null,"701",57157.9
142355.5,196,null,14643.0,44,83490.2,244,"Northern Territory - Outback",null,"702",44222.3
1622476.8,1054,2510909.5,1134053.9,4468,387368.2,5524,"Australian Capital Territory",888432.8,"801",101054.7
