value_tot_resial_building_aud000, sa4_code16, new_houses_num, value_tot_building_aud000, value_new_oth_resial_building_aud000, new_oth_resial_building_num, value_new_houses_aud000, sa4_name16, tot_dwl_num, value_non_resial_building_aud000, value_alterations_additions_conversions_resial_building_aud000
667280.9,102,826,932152.2,329752.4,1127,253396.1,"Central Coast",1973,264871.4,84132.4
1612092.0,115,2125,1911000.8,602793.2,1983,940858.5,"Sydney - Baulkham Hills and Hawkesbury",4117,298908.7,68440.3
1364470.2,116,2863,1915602.2,590719.1,2444,745872.6,"Sydney - Blacktown",5323,551132.1,27878.6
2498282.5,117,139,5274113.0,2264031.5,4510,51601.2,"Sydney - City and Inner South",4723,2775830.5,182649.7
1075007.8,118,175,1407139.6,484534.7,1111,222085.9,"Sydney - Eastern Suburbs",1325,332131.9,368387.1
1796358.8,119,1038,2149818.2,1388230.8,4707,316178.6,"Sydney - Inner South West",5779,353459.5,91949.3
1299805.8,120,280,1697073.9,960870.6,2709,181213.8,"Sydney - Inner West",3018,397268.1,157721.4
1505120.2,121,537,2729919.0,748485.3,2243,348867.2,"Sydney - North Sydney and Hornsby",2790,1224798.8,407767.7
751574.1,122,526,992201.1,219052.9,626,276986.8,"Sydney - Northern Beaches",1185,240627.0,255534.4
1027325.2,123,2498,1348089.0,215087.9,841,768199.7,"Sydney - Outer South West",3356,320763.8,44037.6
912776.6,124,1697,1245416.2,331009.7,1465,510090.4,"Sydney - Outer West and Blue Mountains",3177,332639.6,71676.4
2033031.6,125,917,3648320.0,1731013.2,5529,233834.1,"Sydney - Parramatta",6547,1615288.5,68184.2
963691.9,126,231,1272869.4,782614.4,2514,116831.8,"Sydney - Ryde",2750,309177.5,64245.8
1866625.4,127,3970,3267122.0,673989.6,2257,1160757.8,"Sydney - South West",6288,1400496.6,31878.1
851533.6,128,418,1058245.6,547343.3,1641,215993.1,"Sydney - Sutherland",2065,206712.0,88197.2
512220.7,101,1212,684079.5,49919.0,218,407373.5,"Capital Region",1449,171858.9,54928.1
342663.1,103,761,502616.7,53137.4,223,247681.2,"Central West",990,159953.6,41844.4
200704.3,104,468,770468.9,30006.0,147,141864.1,"Coffs Harbour - Grafton",626,569764.6,28834.2
150535.7,105,321,387860.6,40485.3,190,99574.6,"Far West and Orana",511,237324.9,10475.9
677862.4,106,1669,1119691.0,87644.8,307,535483.4,"Hunter Valley exc Newcastle",1981,441828.6,54734.2
958285.7,107,889,1209938.2,545295.0,1804,314597.2,"Illawarra",2719,251652.6,98393.4
412553.1,108,1040,716387.5,43583.7,198,320469.3,"Mid North Coast",1255,303834.4,48500.1
228712.2,109,556,325464.2,13755.7,58,181592.1,"Murray",618,96751.9,33364.4
