rsdntl_prty_prcs_yr_end_30_jne_atchd_dwlngs_nmbr_trnsf_nm, building_approvals_year_ended_30_june_private_sector_houses_num, bldng_apprvls_yr_endd_30_jne_ttl_vle_prvte_sctr_dwllng_unts_m, sa4_code_2016, bldng_apprvls_yr_endd_30_jne_vle_prvte_sctr_hss_m, building_approvals_year_ended_30_june_total_dwelling_units_num, rsdntl_prprty_prcs_yr_endd_30_jne_hss_mdn_sle_prce, rsdntl_prprty_prcs_yr_endd_30_jne_hss_nmbr_trnsfrs_nm, yr, rsdntl_prprty_prcs_yr_endd_30_jne_attchd_dwllngs_mdn_sle_prce, building_approvals_year_ended_30_june_value_residential_m, sa4_name_2016, bldng_apprvls_yr_endd_30_jne_prvte_sctr_dwllngs_excldng_hss_nm, bldng_aprvls_yr_end_30_jne_vle_prvte_sctr_dwlngs_excldng_hs_m, bldng_apprvls_yr_endd_30_jne_ttl_prvte_sctr_dwllng_unts_nm
1212,1207,459,"101",430,1352,438000,4611,2017,300000,472,"Capital Region",140,29,1347
1819,928,474,"102",328,1590,625000,6156,2017,480000,487,"Central Coast",662,146,1590
353,891,316,"103",283,1067,335000,4308,2017,240000,330,"Central West",170,33,1061
758,507,191,"104",162,666,437500,2538,2017,345000,200,"Coffs Harbour - Grafton",151,30,658
74,335,119,"105",101,441,245000,1879,2017,274000,132,"Far West and Orana",87,18,422
962,1388,520,"106",466,1684,425000,5432,2017,341600,539,"Hunter Valley exc Newcastle",274,53,1662
1669,1036,614,"107",413,1836,700000,3894,2017,530000,620,"Illawarra",800,201,1836
1303,1000,392,"108",322,1264,445000,4490,2017,345000,402,"Mid North Coast",264,69,1264
431,631,240,"109",233,669,276000,1990,2017,202000,246,"Murray",31,7,662
191,553,198,"110",180,661,300000,3045,2017,242125,207,"New England and North West",108,18,661
2121,1311,746,"111",462,2521,550000,6316,2017,475000,789,"Newcastle and Lake Macquarie",1210,284,2521
1879,947,439,"112",338,1472,550000,4025,2017,399000,446,"Richmond - Tweed",525,101,1472
238,526,209,"113",188,641,290000,2646,2017,235000,216,"Riverina",115,21,641
418,939,413,"114",345,1161,582500,3779,2017,428250,401,"Southern Highlands and Shoalhaven",221,68,1160
693,1805,1559,"115",835,3949,1275000,3067,2017,806200,1575,"Sydney - Baulkham Hills and Hawkesbury",2137,723,3942
1146,3001,1134,"116",801,4430,745000,4306,2017,563000,1135,"Sydney - Blacktown",1429,334,4430
6745,135,2760,"117",148,6854,1555000,1612,2017,888000,2868,"Sydney - City and Inner South",6540,2612,6675
3402,205,936,"118",453,1357,2600000,1753,2017,1100000,993,"Sydney - Eastern Suburbs",1152,483,1357
4761,1052,1615,"119",400,5119,1130000,4420,2017,645000,1644,"Sydney - Inner South West",4000,1215,5052
3694,282,1199,"120",281,3291,1850000,2079,2017,790000,1222,"Sydney - Inner West",3009,918,3291
5081,529,2182,"121",680,4475,2120000,3841,2017,915000,2216,"Sydney - North Sydney and Hornsby",3936,1502,4465
2410,464,648,"122",434,1157,1780000,2465,2017,889000,655,"Sydney - Northern Beaches",693,214,1157
716,2255,810,"123",692,2861,655000,4050,2017,465000,833,"Sydney - Outer South West",557,118,2812
1499,1453,873,"124",477,3155,680000,4538,2017,508500,884,"Sydney - Outer West and Blue Mountains",1687,396,3140
4470,922,1618,"125",255,6004,955000,3179,2017,620000,1643,"Sydney - Parramatta",4999,1363,5921
2350,223,1103,"126",150,3133,1751000,1459,2017,775000,1110,"Sydney - Ryde",2893,953,3116
1272,4205,2087,"127",1207,7550,783400,4264,2017,490500,2115,"Sydney - South West",3250,880,7455
2133,489,1003,"128",292,2661,1297000,2213,2017,750000,1027,"Sydney - Sutherland",2127,711,2616
611,1050,361,"201",337,1172,320000,2810,2017,252500,366,"Ballarat",120,23,1170
368,910,322,"202",306,991,343000,2154,2017,264000,334,"Bendigo",79,15,989
1263,2995,1090,"203",1034,3233,465000,5442,2017,345000,1119,"Geelong",216,56,3211
426,1096,349,"204",342,1140,297000,2512,2017,235000,371,"Hume",42,7,1138
783,1941,645,"205",626,2057,295000,5306,2017,260000,674,"Latrobe - Gippsland",102,19,2043
12208,570,5053,"206",868,12623,1315000,3937,2017,535000,5163,"Melbourne - Inner",12006,4185,12576
3298,1062,2116,"207",984,4219,1581000,3885,2017,710000,2139,"Melbourne - Inner East",3156,1133,4218
5112,1238,2050,"208",988,4598,1400000,4266,2017,655000,2079,"Melbourne - Inner South",3359,1063,4597
2880,2929,1367,"209",979,4665,630100,6230,2017,476000,1404,"Melbourne - North East",1700,388,4629
2220,3562,1422,"210",1027,5475,525000,5363,2017,445000,1451,"Melbourne - North West",1862,396,5424
2857,1671,978,"211",720,2691,750000,6312,2017,542500,1005,"Melbourne - Outer East",1020,258,2691
4165,7120,2743,"212",2151,9631,560000,11548,2017,435000,2770,"Melbourne - South East",2507,592,9627
3679,6921,2627,"213",1966,9789,510000,11480,2017,400000,2654,"Melbourne - West",2860,661,9781
2060,1240,989,"214",672,2240,615000,6100,2017,415000,995,"Mornington Peninsula",972,317,2212
310,507,172,"215",169,526,215000,2220,2017,181000,188,"North West",14,3,521
276,487,188,"216",185,504,262000,1656,2017,205000,202,"Shepparton",15,3,502
232,481,200,"217",191,526,280000,1656,2017,258500,214,"Warrnambool and South West",42,9,523
896,1264,544,"301",383,1922,543250,4210,2017,395000,572,"Brisbane - East",619,161,1883
1180,698,632,"302",277,2306,565000,3120,2017,385000,665,"Brisbane - North",1558,356,2256
2111,1237,1026,"303",593,2947,680000,4631,2017,420000,1055,"Brisbane - South",1686,432,2923
882,488,540,"304",276,1258,685000,2707,2017,445000,528,"Brisbane - West",769,264,1257
4078,346,1797,"305",435,4498,930000,2639,2017,500000,1831,"Brisbane Inner City",4151,1363,4497
1830,968,355,"306",325,1105,388724,3460,2017,232750,381,"Cairns",121,30,1089
67,333,103,"307",99,352,255000,1442,2017,224500,112,"Darling Downs - Maranoa",19,4,352
322,545,177,"308",163,642,299000,2390,2017,259500,199,"Central Queensland",84,14,629
10411,3636,2894,"309",1264,7033,613750,8360,2017,415000,2933,"Gold Coast",3393,1631,7029
666,3156,1100,"310",796,4678,352500,5998,2017,330000,1136,"Ipswich",1463,304,4619
972,1778,591,"311",427,2631,399500,5542,2017,255000,613,"Logan - Beaudesert",843,164,2621
326,252,97,"312",97,255,320000,1717,2017,230000,111,"Mackay - Isaac - Whitsunday",2,null,254
1067,1790,615,"313",436,2490,405000,4688,2017,330000,609,"Moreton Bay - North",699,179,2489
668,1379,536,"314",380,2136,486750,3514,2017,355000,565,"Moreton Bay - South",723,156,2102
26,93,33,"315",33,277,190000,440,2017,357500,114,"Queensland - Outback",7,1,100
3928,3340,1489,"316",1090,4918,562450,7434,2017,411000,1518,"Sunshine Coast",1562,399,4902
465,737,306,"317",223,1187,380000,2647,2017,294500,324,"Toowoomba",444,83,1181
484,709,239,"318",225,892,326500,2669,2017,255000,283,"Townsville",73,13,782
552,1555,441,"319",416,1710,300000,4966,2017,248000,472,"Wide Bay",142,26,1697
2274,1216,875,"401",497,2479,670000,3444,2017,430000,875,"Adelaide - Central and Hills",1246,378,2462
1133,2269,549,"402",488,2648,357000,5981,2017,247250,565,"Adelaide - North",330,61,2599
1776,1407,579,"403",429,2142,442000,5066,2017,380000,598,"Adelaide - South",718,150,2125
1611,1214,616,"404",340,2508,526000,2513,2017,370000,628,"Adelaide - West",1268,276,2482
80,503,135,"405",130,513,265000,1722,2017,191250,139,"Barossa - Yorke - Mid North",10,5,513
103,156,48,"406",47,174,260000,592,2017,155000,58,"South Australia - Outback",8,1,164
295,1003,278,"407",271,1040,287000,3185,2017,203000,291,"South Australia - South East",37,7,1040
369,1427,449,"501",434,1486,390000,2337,2017,334000,460,"Bunbury",45,15,1472
341,920,263,"502",250,999,380000,1441,2017,287000,270,"Mandurah",75,13,995
1829,459,978,"503",483,1878,1250000,1714,2017,505500,980,"Perth - Inner",1405,495,1864
658,2136,633,"504",554,2586,475000,2940,2017,355000,668,"Perth - North East",371,79,2507
1780,2856,1131,"505",899,4042,530000,6862,2017,405000,1195,"Perth - North West",951,232,3807
1800,2782,1080,"506",750,4335,480000,5399,2017,400000,1126,"Perth - South East",1420,330,4202
1544,2734,1052,"507",828,3790,512000,4922,2017,414000,1116,"Perth - South West",814,224,3548
96,665,221,"509",213,724,302750,1721,2017,290000,245,"Western Australia - Wheat Belt",28,8,693
248,62,24,"510",23,224,300000,807,2017,195000,75,"Western Australia - Outback (North)",4,1,66
214,258,96,"511",94,303,292000,1264,2017,244500,115,"Western Australia - Outback (South)",10,2,268
1419,806,311,"601",260,1044,387000,4012,2017,301000,321,"Hobart",223,51,1029
609,442,151,"602",138,522,270000,3045,2017,250500,159,"Launceston and North East",79,13,521
57,237,64,"603",63,242,302250,1094,2017,249000,67,"South East",4,1,241
346,366,126,"604",113,440,245000,2380,2017,230000,134,"West and North West",60,13,426
847,495,231,"701",203,668,520000,1005,2017,370000,267,"Darwin",120,29,615
172,52,35,"702",25,244,422500,358,2017,312070,142,"Northern Territory - Outback",37,10,89
4366,1030,1618,"801",454,5525,642500,4305,2017,432000,1654,"Australian Capital Territory",4445,1163,5475
5,null,null,"901",null,null,365000,6,2017,215000,null,"Other Territories",null,null,null
