grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_mn, estimates_personal_income_year_ended_30_june_median_investment, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_3000_pr_wk_pc, estimates_personal_income_year_ended_30_june_median_employee, sa4_code_2016, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_gni_cf, estimates_personal_income_year_ended_30_june_mean_investment, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_2000_2999_pr_wk_pc, yr, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_1000_1999_pr_wk_pc, estimates_personal_income_year_ended_30_june_mean_employee, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_1_499_pr_wk_pc, sa4_name_2016, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_500_999_pr_wk_pc, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_mdn
44872,null,null,null,"101",null,null,null,2018,null,null,null,"Capital Region",null,5332
55665,null,null,null,"102",null,null,null,2018,null,null,null,"Central Coast",null,4192
40569,null,null,null,"103",null,null,null,2018,null,null,null,"Central West",null,3806
34165,null,null,null,"104",null,null,null,2018,null,null,null,"Coffs Harbour - Grafton",null,4074
38209,null,null,null,"105",null,null,null,2018,null,null,null,"Far West and Orana",null,3519
38096,null,null,null,"106",null,null,null,2018,null,null,null,"Hunter Valley exc Newcastle",null,4450
41703,null,null,null,"107",null,null,null,2018,null,null,null,"Illawarra",null,3812
38222,null,null,null,"108",null,null,null,2018,null,null,null,"Mid North Coast",null,4708
56129,null,null,null,"109",null,null,null,2018,null,null,null,"Murray",null,3491
49667,null,null,null,"110",null,null,null,2018,null,null,null,"New England and North West",null,3680
36707,null,null,null,"111",null,null,null,2018,null,null,null,"Newcastle and Lake Macquarie",null,4140
44387,null,null,null,"112",null,null,null,2018,null,null,null,"Richmond - Tweed",null,4920
43523,null,null,null,"113",null,null,null,2018,null,null,null,"Riverina",null,3430
63446,null,null,null,"114",null,null,null,2018,null,null,null,"Southern Highlands and Shoalhaven",null,5613
50844,null,null,null,"115",null,null,null,2018,null,null,null,"Sydney - Baulkham Hills and Hawkesbury",null,4199
33658,null,null,null,"116",null,null,null,2018,null,null,null,"Sydney - Blacktown",null,3262
64013,null,null,null,"117",null,null,null,2018,null,null,null,"Sydney - City and Inner South",null,3198
155069,null,null,null,"118",null,null,null,2018,null,null,null,"Sydney - Eastern Suburbs",null,5347
53355,null,null,null,"119",null,null,null,2018,null,null,null,"Sydney - Inner South West",null,3304
53725,null,null,null,"120",null,null,null,2018,null,null,null,"Sydney - Inner West",null,3721
75803,null,null,null,"121",null,null,null,2018,null,null,null,"Sydney - North Sydney and Hornsby",null,4561
93998,null,null,null,"122",null,null,null,2018,null,null,null,"Sydney - Northern Beaches",null,4500
48923,null,null,null,"123",null,null,null,2018,null,null,null,"Sydney - Outer South West",null,4334
58450,null,null,null,"124",null,null,null,2018,null,null,null,"Sydney - Outer West and Blue Mountains",null,3827
34730,null,null,null,"125",null,null,null,2018,null,null,null,"Sydney - Parramatta",null,3054
104799,null,null,null,"126",null,null,null,2018,null,null,null,"Sydney - Ryde",null,3636
48049,null,null,null,"127",null,null,null,2018,null,null,null,"Sydney - South West",null,4296
56999,null,null,null,"128",null,null,null,2018,null,null,null,"Sydney - Sutherland",null,3744
36352,null,null,null,"201",null,null,null,2018,null,null,null,"Ballarat",null,3819
35442,null,null,null,"202",null,null,null,2018,null,null,null,"Bendigo",null,3826
66344,null,null,null,"203",null,null,null,2018,null,null,null,"Geelong",null,4335
40716,null,null,null,"204",null,null,null,2018,null,null,null,"Hume",null,3752
35976,null,null,null,"205",null,null,null,2018,null,null,null,"Latrobe - Gippsland",null,4100
