rsdntl_prty_prcs_yr_end_30_jne_atchd_dwlngs_nmbr_trnsf_nm, building_approvals_year_ended_30_june_private_sector_houses_num, bldng_apprvls_yr_endd_30_jne_ttl_vle_prvte_sctr_dwllng_unts_m, sa4_code_2016, bldng_apprvls_yr_endd_30_jne_vle_prvte_sctr_hss_m, building_approvals_year_ended_30_june_total_dwelling_units_num, rsdntl_prprty_prcs_yr_endd_30_jne_hss_mdn_sle_prce, rsdntl_prprty_prcs_yr_endd_30_jne_hss_nmbr_trnsfrs_nm, yr, rsdntl_prprty_prcs_yr_endd_30_jne_attchd_dwllngs_mdn_sle_prce, building_approvals_year_ended_30_june_value_residential_m, sa4_name_2016, bldng_apprvls_yr_endd_30_jne_prvte_sctr_dwllngs_excldng_hss_nm, bldng_aprvls_yr_end_30_jne_vle_prvte_sctr_dwlngs_excldng_hs_m, bldng_apprvls_yr_endd_30_jne_ttl_prvte_sctr_dwllng_unts_nm
920,916,321,"101",299,1034,373500,3363,2014,254000,330,"Capital Region",117,22,1033
1778,687,337,"102",215,1305,435000,6325,2014,338000,360,"Central Coast",587,121,1274
222,918,286,"103",261,1064,300000,3245,2014,230000,295,"Central West",146,25,1064
588,368,130,"104",112,425,366750,2018,2014,275000,128,"Coffs Harbour - Grafton",57,18,425
83,345,119,"105",96,522,215500,1690,2014,260000,131,"Far West and Orana",157,23,502
753,1546,514,"106",422,2064,377000,3808,2014,303500,533,"Hunter Valley exc Newcastle",492,92,2038
1998,807,469,"107",293,1530,480000,3677,2014,377750,466,"Illawarra",705,176,1512
1057,818,258,"108",228,943,360000,3695,2014,269000,266,"Mid North Coast",116,29,934
385,587,204,"109",183,661,250000,1889,2014,185000,210,"Murray",66,20,653
156,682,212,"110",200,766,265000,2711,2014,205000,233,"New England and North West",77,12,759
1668,1279,579,"111",425,2117,440000,5623,2014,380000,595,"Newcastle and Lake Macquarie",827,154,2106
1633,745,301,"112",244,1004,445000,3140,2014,339000,306,"Richmond - Tweed",258,57,1003
287,587,200,"113",189,640,260000,2263,2014,230000,205,"Riverina",51,11,638
411,782,282,"114",258,931,401000,3360,2014,316000,294,"Southern Highlands and Shoalhaven",137,23,919
621,1111,547,"115",439,1652,880000,3487,2014,626000,569,"Sydney - Baulkham Hills and Hawkesbury",517,108,1628
1271,1696,599,"116",414,2876,510300,4663,2014,390500,606,"Sydney - Blacktown",1166,185,2862
6759,104,1472,"117",98,5096,1005000,1811,2014,660000,1502,"Sydney - City and Inner South",4992,1374,5096
5863,483,1703,"121",589,4451,1410000,4543,2014,700000,1783,"Sydney - North Sydney and Hornsby",3839,1115,4322
3871,161,793,"118",385,1244,1765000,2224,2014,744000,838,"Sydney - Eastern Suburbs",1083,409,1244
5310,919,1545,"119",340,5881,805000,5311,2014,500000,1567,"Sydney - Inner South West",4901,1205,5820
4130,160,800,"120",208,2037,1220000,2592,2014,625000,818,"Sydney - Inner West",1876,592,2036
3135,338,428,"122",326,717,1200000,2983,2014,632000,435,"Sydney - Northern Beaches",379,102,717
855,1598,513,"123",452,2090,455000,4173,2014,320000,559,"Sydney - Outer South West",338,61,1936
1356,1402,497,"124",398,2007,460000,5158,2014,335000,503,"Sydney - Outer West and Blue Mountains",602,99,2004
5084,807,1204,"125",213,4837,695000,4118,2014,456000,1218,"Sydney - Parramatta",4003,991,4810
2091,215,515,"126",142,1604,1200000,1810,2014,635000,518,"Sydney - Ryde",1389,373,1604
1778,2535,930,"127",657,3931,554000,4338,2014,350000,957,"Sydney - South West",1309,273,3844
2264,356,307,"128",195,666,866000,2294,2014,552000,317,"Sydney - Sutherland",310,112,666
349,1122,335,"201",315,1254,297000,3239,2014,239950,345,"Ballarat",131,20,1253
289,1261,373,"202",356,1364,340000,2766,2014,245000,388,"Bendigo",97,17,1358
1005,2606,874,"203",818,2992,415727,5156,2014,310000,910,"Geelong",267,56,2873
302,1083,322,"204",316,1121,282500,2829,2014,200000,336,"Hume",32,6,1115
600,1707,521,"205",490,1893,292000,5499,2014,225000,547,"Latrobe - Gippsland",175,31,1882
10239,631,4040,"206",664,12043,875000,5504,2014,511000,4162,"Melbourne - Inner",11303,3376,11934
2807,1043,1478,"207",850,3360,1060000,5018,2014,592000,1496,"Melbourne - Inner East",2309,628,3352
4214,827,1173,"208",645,2805,925000,5236,2014,549475,1198,"Melbourne - Inner South",1973,529,2800
2086,3053,1147,"209",875,4637,501298,6329,2014,400000,1179,"Melbourne - North East",1510,271,4563
1296,2360,867,"210",626,3702,435125,4920,2014,367750,884,"Melbourne - North West",1316,241,3676
2221,1600,818,"211",535,2861,545550,7456,2014,415000,837,"Melbourne - Outer East",1257,283,2857
2839,5067,1749,"212",1352,6954,452500,10759,2014,365000,1770,"Melbourne - South East",1872,398,6939
2422,4763,1530,"213",1233,6315,410000,10219,2014,341000,1557,"Melbourne - West",1532,297,6295
1610,1295,692,"214",557,1923,475000,6779,2014,345000,716,"Mornington Peninsula",589,135,1884
303,578,170,"215",169,600,200000,2683,2014,173000,185,"North West",7,1,585
238,462,164,"216",161,490,260000,1776,2014,197500,176,"Shepparton",21,3,483
201,495,172,"217",167,528,275000,1804,2014,248000,186,"Warrnambool and South West",28,5,523
725,1025,384,"301",316,1384,480000,4240,2014,375000,395,"Brisbane - East",359,68,1384
1717,725,514,"302",236,2030,485000,3631,2014,395000,536,"Brisbane - North",1268,279,1993
2271,765,785,"303",367,2735,565000,5348,2014,390000,799,"Brisbane - South",1964,418,2729
846,462,324,"304",245,838,576000,2894,2014,435000,337,"Brisbane - West",368,79,830
5441,336,1971,"305",380,6163,760000,3393,2014,481000,1994,"Brisbane Inner City",5827,1591,6163
1404,1030,325,"306",318,1064,360000,3808,2014,211375,350,"Cairns",30,7,1060
105,722,248,"307",208,922,269000,1679,2014,300000,256,"Darling Downs - Maranoa",194,40,916
