rsdntl_prty_prcs_yr_end_30_jne_atchd_dwlngs_nmbr_trnsf_nm, building_approvals_year_ended_30_june_private_sector_houses_num, bldng_apprvls_yr_endd_30_jne_ttl_vle_prvte_sctr_dwllng_unts_m, sa4_code_2016, bldng_apprvls_yr_endd_30_jne_vle_prvte_sctr_hss_m, building_approvals_year_ended_30_june_total_dwelling_units_num, rsdntl_prprty_prcs_yr_endd_30_jne_hss_mdn_sle_prce, rsdntl_prprty_prcs_yr_endd_30_jne_hss_nmbr_trnsfrs_nm, yr, rsdntl_prprty_prcs_yr_endd_30_jne_attchd_dwllngs_mdn_sle_prce, building_approvals_year_ended_30_june_value_residential_m, sa4_name_2016, bldng_apprvls_yr_endd_30_jne_prvte_sctr_dwllngs_excldng_hss_nm, bldng_aprvls_yr_end_30_jne_vle_prvte_sctr_dwlngs_excldng_hs_m, bldng_apprvls_yr_endd_30_jne_ttl_prvte_sctr_dwllng_unts_nm
346,1629,573,"308",477,2117,359000,3058,2014,344500,621,"Central Queensland",380,96,2009
7652,1902,1260,"309",616,4493,500000,8497,2014,350000,1300,"Gold Coast",2591,644,4493
561,2000,534,"310",462,2574,329000,5064,2014,311000,585,"Ipswich",417,73,2417
873,1503,408,"311",349,1878,362500,4717,2014,230000,425,"Logan - Beaudesert",375,59,1878
397,1129,485,"312",376,1634,410000,1854,2014,330000,505,"Mackay - Isaac - Whitsunday",500,109,1629
942,919,318,"313",226,1493,367000,4196,2014,312250,339,"Moreton Bay - North",539,92,1458
537,1565,462,"314",364,2125,440000,3317,2014,336000,477,"Moreton Bay - South",560,99,2125
27,97,47,"315",27,262,250000,578,2014,350000,73,"Queensland - Outback",105,20,202
3065,1960,803,"316",632,2835,477044,6924,2014,360000,822,"Sunshine Coast",875,172,2835
608,679,330,"317",214,1357,349000,3366,2014,285000,345,"Toowoomba",664,116,1343
575,1264,436,"318",354,1769,353000,3323,2014,285000,466,"Townsville",438,82,1702
383,1407,399,"319",363,1598,285000,4895,2014,260000,415,"Wide Bay",187,36,1594
1983,1122,600,"401",429,1845,581000,3388,2014,389000,627,"Adelaide - Central and Hills",702,171,1824
1152,2558,573,"402",508,3209,329000,5821,2014,245000,614,"Adelaide - North",417,65,2975
1559,1349,476,"403",358,2128,410000,5325,2014,335000,506,"Adelaide - South",675,118,2024
1474,859,378,"404",227,1826,450000,2616,2014,325500,406,"Adelaide - West",815,151,1674
107,703,162,"405",158,737,250000,1693,2014,170500,172,"Barossa - Yorke - Mid North",22,4,725
234,516,128,"406",126,571,263750,860,2014,175000,148,"South Australia - Outback",10,2,526
323,1276,329,"407",299,1335,261000,2903,2014,190000,320,"South Australia - South East",18,30,1294
480,1980,588,"501",568,2089,405000,2844,2014,328500,604,"Bunbury",96,20,2076
530,1633,419,"502",402,1725,420000,2095,2014,333000,427,"Mandurah",85,18,1718
2186,566,816,"503",514,1576,1280000,1831,2014,532250,843,"Perth - Inner",1010,303,1576
879,2932,810,"504",699,3531,517750,4048,2014,379000,855,"Perth - North East",520,111,3452
2285,4975,1635,"505",1379,6281,568000,8956,2014,435000,1670,"Perth - North West",1236,256,6211
2049,4609,1628,"506",1205,6587,520000,7530,2014,438000,1656,"Perth - South East",1920,423,6529
1708,4615,1526,"507",1263,5850,530000,6789,2014,455000,1577,"Perth - South West",1079,263,5694
133,795,241,"509",234,878,327000,1742,2014,286000,268,"Western Australia - Wheat Belt",33,8,828
null,863,563,"510",402,1571,null,null,2014,null,661,"Western Australia - Outback (North)",500,162,1363
null,676,243,"511",228,807,null,null,2014,null,279,"Western Australia - Outback (South)",76,14,752
1158,741,237,"601",219,847,350000,3374,2014,280000,247,"Hobart",99,18,840
452,473,154,"602",133,624,252500,2349,2014,230000,164,"Launceston and North East",140,21,613
33,235,61,"603",60,244,266000,788,2014,202500,64,"South East",9,1,244
297,351,113,"604",102,469,230000,1817,2014,210000,122,"West and North West",88,12,439
1448,682,546,"701",295,1878,595000,1554,2014,476000,600,"Darwin",1093,251,1775
189,70,48,"702",26,260,410000,543,2014,336000,75,"Northern Territory - Outback",137,22,207
3098,1713,1254,"801",635,4636,520000,4920,2014,419900,1311,"Australian Capital Territory",2801,619,4514
null,null,null,"901",null,null,null,null,2014,null,null,"Other Territories",null,null,null
