value_tot_resial_building_aud000, new_houses_num, value_tot_building_aud000, value_new_oth_resial_building_aud000, new_oth_resial_building_num, value_new_houses_aud000, tot_dwl_num, sa4_name, value_non_resial_building_aud000, sa4_code, value_alterations_additions_conversions_resial_building_aud000
473559.1,1285,654433.1,25914.7,142,396610.7,1441,"Capital Region",180874.0,"101",51033.7
551957.3,1220,687981.9,144208.2,585,321566.3,1858,"Central Coast",136024.6,"102",86182.7
381423.4,924,625565.3,99783.5,309,253408.2,1243,"Central West",244141.9,"103",28231.7
202984.9,461,259097.4,54221.3,215,122397.9,688,"Coffs Harbour - Grafton",56112.5,"104",26365.6
141662.8,381,224632.4,23811.8,111,106243.0,493,"Far West and Orana",82969.6,"105",11608.0
523390.0,1455,1256864.8,50012.3,255,421113.7,1721,"Hunter Valley exc Newcastle",733474.7,"106",52264.0
720232.8,863,1206035.8,369985.1,1411,282399.6,2301,"Illawarra",485802.9,"107",67848.1
364196.2,1003,477125.9,43069.7,221,281876.0,1239,"Mid North Coast",112929.7,"108",39250.5
265380.2,744,340011.2,14439.8,76,214745.9,822,"Murray",74630.9,"109",36194.5
242835.5,637,352546.5,30805.4,158,188682.7,813,"New England and North West",109711.0,"110",23347.5
746733.8,1263,1161489.8,215246.4,1107,380342.4,2571,"Newcastle and Lake Macquarie",414756.1,"111",151145.0
444647.6,1144,675562.9,68472.9,298,327263.4,1478,"Richmond - Tweed",230915.3,"112",48911.3
237293.8,717,534833.9,13667.1,72,200188.8,798,"Riverina",297540.1,"113",23437.9
396749.5,907,524986.6,60667.3,252,267234.2,1171,"Southern Highlands and Shoalhaven",128237.1,"114",68847.9
941237.1,1295,1198896.1,341644.7,1005,537954.6,2318,"Sydney - Baulkham Hills and Hawkesbury",257659.0,"115",61637.8
1176643.2,2839,1750125.8,384994.3,1728,758178.2,4591,"Sydney - Blacktown",573482.4,"116",33470.7
3004876.0,85,5653366.0,2773498.5,6921,27284.7,7225,"Sydney - City and Inner South",2648490.0,"117",204092.9
820639.5,182,1215289.2,316604.0,781,191897.8,1026,"Sydney - Eastern Suburbs",394649.7,"118",312137.7
1793757.2,1129,2412858.2,1357588.5,4986,335594.1,6176,"Sydney - Inner South West",619101.0,"119",100574.8
983434.2,239,1244377.0,664518.9,2412,112887.5,2760,"Sydney - Inner West",260942.7,"120",206027.8
1993277.0,561,2454926.8,1142094.4,3616,360944.8,4402,"Sydney - North Sydney and Hornsby",461649.7,"121",490237.8
647431.9,413,1102312.4,227781.9,624,209843.8,1081,"Sydney - Northern Beaches",454880.5,"122",209806.1
867764.9,2334,1268742.5,133937.8,646,696659.9,2995,"Sydney - Outer South West",400977.6,"123",37167.2
755580.9,1525,943682.2,263400.5,1135,419916.6,2685,"Sydney - Outer West and Blue Mountains",188101.3,"124",72263.7
2041013.2,1114,2563305.0,1719973.8,6114,261575.2,7302,"Sydney - Parramatta",522291.6,"125",59464.2
1927148.0,296,2127867.8,1734727.8,5420,130021.9,5724,"Sydney - Ryde",200719.8,"126",62398.3
1446685.8,3935,2281786.5,329532.3,1387,1080827.8,5382,"Sydney - South West",835101.0,"127",36325.7
