rsdntl_prty_prcs_yr_end_30_jne_atchd_dwlngs_nmbr_trnsf_nm, building_approvals_year_ended_30_june_private_sector_houses_num, bldng_apprvls_yr_endd_30_jne_ttl_vle_prvte_sctr_dwllng_unts_m, sa4_code_2016, bldng_apprvls_yr_endd_30_jne_vle_prvte_sctr_hss_m, building_approvals_year_ended_30_june_total_dwelling_units_num, rsdntl_prprty_prcs_yr_endd_30_jne_hss_mdn_sle_prce, rsdntl_prprty_prcs_yr_endd_30_jne_hss_nmbr_trnsfrs_nm, yr, rsdntl_prprty_prcs_yr_endd_30_jne_attchd_dwllngs_mdn_sle_prce, building_approvals_year_ended_30_june_value_residential_m, sa4_name_2016, bldng_apprvls_yr_endd_30_jne_prvte_sctr_dwllngs_excldng_hss_nm, bldng_aprvls_yr_end_30_jne_vle_prvte_sctr_dwlngs_excldng_hs_m, bldng_apprvls_yr_endd_30_jne_ttl_prvte_sctr_dwllng_unts_nm
202,172,51,"406",50,181,240000,723,2018,132500,59,"South Australia - Outback",4,1,176
330,1035,292,"407",288,1059,290000,3219,2018,200500,308,"South Australia - South East",22,4,1057
342,1305,442,"501",429,1387,385000,2283,2018,320000,461,"Bunbury",50,13,1355
391,752,230,"502",208,867,380000,1491,2018,285000,238,"Mandurah",99,22,851
1858,377,727,"503",365,1617,1250000,1648,2018,487000,744,"Perth - Inner",1240,362,1617
656,1948,555,"504",503,2269,470000,2950,2018,318000,586,"Perth - North East",262,52,2210
1681,2488,951,"505",784,3318,535000,6880,2018,392000,988,"Perth - North West",750,168,3238
1802,2614,985,"506",727,3701,475000,5356,2018,398000,1017,"Perth - South East",998,257,3612
1533,2566,1262,"507",765,3989,503250,5033,2018,408000,1316,"Perth - South West",1270,497,3836
104,636,215,"509",210,688,296000,1619,2018,280000,239,"Western Australia - Wheat Belt",39,5,675
318,53,28,"510",26,187,299500,918,2018,164000,90,"Western Australia - Outback (North)",10,2,63
178,283,117,"511",112,350,280000,1344,2018,220000,146,"Western Australia - Outback (South)",25,5,308
1364,1118,415,"601",357,1431,430000,3816,2018,331000,436,"Hobart",245,57,1363
685,589,184,"602",173,654,303000,3170,2018,260000,191,"Launceston and North East",55,11,644
56,281,80,"603",80,282,320500,1114,2018,290000,84,"South East",1,null,282
416,426,133,"604",126,485,259000,2549,2018,226500,145,"West and North West",29,7,455
585,458,207,"701",194,525,502500,972,2018,350000,242,"Darwin",49,13,507
159,68,40,"702",29,248,441000,369,2018,335000,126,"Northern Territory - Outback",25,10,93
3455,1162,1667,"801",500,5664,687000,4167,2018,430000,1736,"Australian Capital Territory",4347,1167,5509
null,null,null,"901",null,null,465000,6,2018,null,null,"Other Territories",null,null,null
