rsdntl_prty_prcs_yr_end_30_jne_atchd_dwlngs_nmbr_trnsf_nm, building_approvals_year_ended_30_june_private_sector_houses_num, bldng_apprvls_yr_endd_30_jne_ttl_vle_prvte_sctr_dwllng_unts_m, sa4_code_2016, bldng_apprvls_yr_endd_30_jne_vle_prvte_sctr_hss_m, building_approvals_year_ended_30_june_total_dwelling_units_num, rsdntl_prprty_prcs_yr_endd_30_jne_hss_mdn_sle_prce, rsdntl_prprty_prcs_yr_endd_30_jne_hss_nmbr_trnsfrs_nm, yr, rsdntl_prprty_prcs_yr_endd_30_jne_attchd_dwllngs_mdn_sle_prce, building_approvals_year_ended_30_june_value_residential_m, sa4_name_2016, bldng_apprvls_yr_endd_30_jne_prvte_sctr_dwllngs_excldng_hss_nm, bldng_aprvls_yr_end_30_jne_vle_prvte_sctr_dwlngs_excldng_hs_m, bldng_apprvls_yr_endd_30_jne_ttl_prvte_sctr_dwllng_unts_nm
1179,1220,499,"101",448,1447,485000,4371,2018,330000,511,"Capital Region",225,51,1445
1400,848,675,"102",333,2040,665000,5553,2018,522000,683,"Central Coast",1192,342,2040
278,767,321,"103",268,991,360000,4438,2018,280000,343,"Central West",218,52,985
676,470,192,"104",161,626,467000,2466,2018,352000,201,"Coffs Harbour - Grafton",155,31,625
53,317,137,"105",103,513,241750,1892,2018,275000,151,"Far West and Orana",172,34,489
915,1601,632,"106",553,1979,443000,5625,2018,346750,677,"Hunter Valley exc Newcastle",285,79,1886
1395,895,937,"107",400,2705,740000,3660,2018,580000,953,"Illawarra",1778,537,2673
1027,1050,404,"108",359,1255,483000,4196,2018,360000,413,"Mid North Coast",200,45,1250
394,557,221,"109",207,619,290000,2180,2018,210000,229,"Murray",60,14,617
168,526,213,"110",187,669,305000,3238,2018,242000,224,"New England and North West",142,26,668
1631,1259,1006,"111",496,3033,600000,6062,2018,485000,1061,"Newcastle and Lake Macquarie",1748,510,3007
1714,967,512,"112",376,1452,580000,3915,2018,435000,521,"Richmond - Tweed",485,136,1452
288,599,239,"113",222,677,293600,2902,2018,266000,246,"Riverina",77,16,676
347,1040,494,"114",409,1365,630000,3454,2018,460000,506,"Southern Highlands and Shoalhaven",322,86,1362
546,2139,1570,"115",995,4046,1300000,2572,2018,812000,1584,"Sydney - Baulkham Hills and Hawkesbury",1907,575,4046
1108,2974,1397,"116",800,5442,770000,3783,2018,575000,1400,"Sydney - Blacktown",2468,597,5442
4977,140,2479,"117",187,4734,1518000,1557,2018,880000,2562,"Sydney - City and Inner South",4512,2292,4652
2773,181,1011,"118",489,1363,2600000,1696,2018,1100000,1078,"Sydney - Eastern Suburbs",1182,522,1363
4016,1055,1767,"119",395,5864,1150000,3826,2018,650000,1831,"Sydney - Inner South West",4622,1373,5677
3004,314,1347,"120",350,3152,1800000,1879,2018,780000,1360,"Sydney - Inner West",2838,997,3152
4171,538,1485,"121",732,2802,2134000,3165,2018,920000,1517,"Sydney - North Sydney and Hornsby",2252,753,2790
2202,533,743,"122",507,1153,1800000,2287,2018,920000,746,"Sydney - Northern Beaches",620,236,1153
654,2467,1009,"123",791,3396,683300,3837,2018,480000,1039,"Sydney - Outer South West",868,219,3335
1194,1723,936,"124",580,3298,695000,4292,2018,525000,950,"Sydney - Outer West and Blue Mountains",1551,355,3274
3902,971,2112,"125",294,6827,975000,2784,2018,625000,2149,"Sydney - Parramatta",5728,1817,6699
1875,385,1025,"126",245,2846,1776250,1210,2018,776000,1024,"Sydney - Ryde",2461,780,2846
1153,4073,1873,"127",1206,6384,800000,3826,2018,508000,1888,"Sydney - South West",2271,667,6344
1817,420,844,"128",298,2065,1300000,2031,2018,755000,852,"Sydney - Sutherland",1639,546,2059
763,1195,422,"201",399,1317,348000,3090,2018,260000,431,"Ballarat",98,23,1293
408,1051,412,"202",360,1373,362000,2448,2018,282250,429,"Bendigo",315,52,1366
1262,3391,1486,"203",1243,4177,528000,5510,2018,387000,1515,"Geelong",771,243,4162
470,1486,503,"204",483,1574,327000,2803,2018,240000,526,"Hume",75,20,1561
863,2215,743,"205",729,2308,313950,5982,2018,265000,778,"Latrobe - Gippsland",73,14,2288
11199,573,5876,"206",1011,14263,1380000,3842,2018,542500,6015,"Melbourne - Inner",13596,4866,14169
2802,1119,1896,"207",1054,3393,1630000,3505,2018,705000,1923,"Melbourne - Inner East",2266,842,3385
4029,1029,2660,"208",978,5594,1500000,3889,2018,672000,2689,"Melbourne - Inner South",4553,1682,5582
2448,2716,1455,"209",955,4858,712000,5857,2018,541000,1519,"Melbourne - North East",1981,499,4697
1840,4259,1675,"210",1293,5924,605000,5214,2018,490000,1701,"Melbourne - North West",1633,382,5892
2444,1420,1222,"211",709,3336,807500,6021,2018,600000,1258,"Melbourne - Outer East",1909,513,3329
3421,7523,3534,"212",2420,11914,640000,10212,2018,488000,3570,"Melbourne - South East",4349,1114,11872
3089,8489,3400,"213",2550,11876,590000,11077,2018,440000,3435,"Melbourne - West",3349,850,11838
1752,1112,989,"214",723,2055,690000,5719,2018,485000,1019,"Mornington Peninsula",927,266,2039
317,559,199,"215",192,593,218000,2490,2018,198000,213,"North West",27,7,586
336,661,229,"216",223,689,275000,1963,2018,217000,243,"Shepparton",24,6,685
286,550,229,"217",221,587,285000,1976,2018,265000,243,"Warrnambool and South West",32,8,582
795,1270,604,"301",413,1944,570000,4099,2018,386500,627,"Brisbane - East",670,191,1940
920,720,646,"302",302,1843,582000,2996,2018,366000,682,"Brisbane - North",1087,344,1807
1669,1423,1162,"303",673,3345,700000,4191,2018,400000,1207,"Brisbane - South",1870,489,3293
743,529,450,"304",290,1271,705000,2548,2018,435000,485,"Brisbane - West",697,160,1226
3329,379,1657,"305",515,3816,980000,2524,2018,475000,1692,"Brisbane Inner City",3437,1142,3816
1870,996,539,"306",337,1581,392500,3503,2018,225000,587,"Cairns",541,202,1537
82,309,104,"307",100,333,262500,1585,2018,210000,113,"Darling Downs - Maranoa",21,4,330
322,408,148,"308",132,492,295000,2432,2018,230000,167,"Central Queensland",74,16,482
9242,2786,2100,"309",1053,6325,645000,7608,2018,420000,2144,"Gold Coast",3539,1047,6325
541,3950,1105,"310",952,4706,365000,5494,2018,310500,1138,"Ipswich",721,153,4671
862,3114,805,"311",705,3611,424500,4867,2018,265500,828,"Logan - Beaudesert",481,99,3595
386,504,254,"312",248,523,333000,1978,2018,220000,280,"Mackay - Isaac - Whitsunday",19,6,523
1064,2363,789,"313",573,3202,425000,4513,2018,335000,833,"Moreton Bay - North",757,216,3120
648,1185,515,"314",309,2044,499000,3460,2018,355000,550,"Moreton Bay - South",808,205,1993
32,75,29,"315",27,201,195000,446,2018,320000,101,"Queensland - Outback",10,1,85
3661,3375,1414,"316",1132,4480,609000,6928,2018,430000,1437,"Sunshine Coast",1102,283,4477
387,934,340,"317",280,1242,380000,2490,2018,290500,353,"Toowoomba",296,60,1230
509,675,219,"318",211,735,320000,2554,2018,275000,247,"Townsville",32,8,707
599,1462,427,"319",412,1550,310000,5409,2018,250000,456,"Wide Bay",82,16,1544
2331,1371,1136,"401",565,3248,680000,3373,2018,445000,1153,"Adelaide - Central and Hills",1856,571,3227
1196,2390,607,"402",527,2858,367000,5959,2018,255000,620,"Adelaide - North",441,80,2831
1713,1587,712,"403",491,2490,460000,4973,2018,380000,730,"Adelaide - South",888,220,2475
1673,1408,622,"404",386,2463,540500,2382,2018,385000,636,"Adelaide - West",1029,236,2437
100,512,145,"405",143,521,265000,1707,2018,192000,153,"Barossa - Yorke - Mid North",9,2,521
