sa4_code,sa4_name,latitude,longitude
101,Capital Region,-35.56480661904707,149.24496858054158
102,Capital Region,-33.307973616228665,151.28548871775425
103,Capital Region,-33.21695267227074,148.35583329698483
104,Capital Region,-29.81602459218733,152.77389091419155
105,Capital Region,-30.98607110510004,145.02700095626977
106,Capital Region,-32.354809754967796,150.98493896132547
107,Capital Region,-34.43464746920167,150.77112148604593
108,Capital Region,-31.56475375295849,152.3410754731416
109,Capital Region,-34.42273850528109,144.04336870909952
110,Capital Region,-30.06343259481106,150.70196291955014
111,Murray,-32.996589657922144,151.57628227099417
112,Central Coast,-28.74360701852521,153.06375654487928
113,Central Coast,-34.62323212023278,146.7717570953971
114,Central Coast,-34.87399696990989,150.36580572070247
115,Central Coast,-33.36854408296387,150.82884225377467
116,Central Coast,-33.740696447975246,150.8642863405174
117,Central Coast,-33.91745736779888,151.19257052341402
118,Central Coast,-33.915782702854976,151.2482630823201
119,Central Coast,-33.94171682119025,151.064097532067
120,Central Coast,-33.8733267017301,151.1188315703099
121,Central Coast,-33.69384898353092,151.15991905245693
122,New England and North West,-33.690224039668124,151.24967578352107
123,Central West,-34.122758891832056,150.68155538421593
124,Central West,-33.87415044055477,150.3804464824165
125,Central West,-33.82602282541946,151.00466633793403
126,Central West,-33.78735549554608,151.10081960176802
127,Central West,-33.931965181895556,150.81697007758063
128,Central West,-34.07535950199354,151.0631077194213
201,Central West,-37.3755507918783,143.73463527302883
202,Central West,-36.600666031621074,144.09445935984334
203,Central West,-38.11096133483488,144.12656758112462
204,Central West,-36.77614687173805,146.4136936106068
205,Newcastle and Lake Macquarie,-37.73050117461709,147.4116162357244
206,Coffs Harbour - Grafton,-37.80018958422797,144.96449061860866
207,Coffs Harbour - Grafton,-37.804765598261795,145.10486620468455
208,Coffs Harbour - Grafton,-37.95031984122697,145.0638284814182
209,Coffs Harbour - Grafton,-37.52068178668238,145.16921409584813
210,Coffs Harbour - Grafton,-37.47595839927483,144.7458238594574
211,Coffs Harbour - Grafton,-37.759611736524384,145.50589806339792
212,Coffs Harbour - Grafton,-38.07317397835027,145.4681553920473
213,Coffs Harbour - Grafton,-37.77645109418832,144.6249566738668
214,Coffs Harbour - Grafton,-38.31031503071734,145.0563064284544
215,Coffs Harbour - Grafton,-35.86805797802842,142.23778318927538
216,Richmond - Tweed,-36.25195753896773,145.16780430677113
217,Far West and Orana,-37.9744299727704,142.3822831055524
301,Far West and Orana,-27.54773758251544,153.32582053073045
302,Far West and Orana,-27.368020226044155,153.0599573595914
303,Far West and Orana,-27.56695647511733,153.0694935140182
304,Far West and Orana,-27.48579045328956,152.90748157358706
305,Far West and Orana,-27.452441631268808,153.02749463367212
306,Far West and Orana,-17.62674619185925,145.50922659235718
307,Far West and Orana,-27.316730658585165,149.35568622250327
308,Far West and Orana,-24.10975238161875,149.3257399107628
309,Far West and Orana,-28.01307188964654,153.27068361486857
310,Riverina,-27.61020501616982,152.55066369439842
311,Hunter Valley exc Newcastle,-27.998926648341797,152.96396992318154
312,Hunter Valley exc Newcastle,-21.74228346823624,147.92474026958416
