,Year,SA4 Code,Household Stress - Census Households with rent payments greater than or equal to 30% of household income (%),Rent and Mortgage Payments - Census Average monthly household mortgage payment ($),Rent and Mortgage Payments - Census Average monthly household rental payment ($),Housing Suitability - Occupied private dwellings - Census Dwellings with extra bedrooms needed (no.),Household Stress - Census Households with mortgage repayments greater than or equal to 30% of household income (%),Building Approvals - Year ended 30 June Value of residential building ($m),Building Approvals - Year ended 30 June Private sector dwellings excluding houses (no.),Building Approvals - Year ended 30 June Total private sector dwelling units (no.),Building Approvals - Year ended 30 June Total value of private sector dwelling units ($m),Building Approvals - Year ended 30 June Private sector houses (no.),Building Approvals - Year ended 30 June Total dwelling units (no.),Building Approvals - Year ended 30 June Value of private sector houses ($m),Building Approvals - Year ended 30 June Value of private sector dwellings excluding houses ($m),SA4 Name,Value of New Other Residential Building ($000),Total Dwelling Number,Number of New Houses,Number of New Other Residential Buildings,Value of Total Residential Buildings ($000),Value of Alterations ($000),Value of New Houses ($000),SA4 Name 2011,Average number of Persons per bedroom,Median total family income weekly,Median total household income weekly,Median age of persons,Median total personal income weekly,Average household size,Median rent weekly,Median mortgage repayment monthly,Estimates of Personal Income - Year ended 30 June Total income (excl. Government pensions and allowances) - Gini coefficient,Estimates of Personal Income - Year ended 30 June Mean employee income ($),Gross Capital Gains reported by taxpayers - Year ended 30 June Gross Capital Gains reported by taxpayers - Mean ($),Estimates of Personal Income - Year ended 30 June Mean investment income ($),Estimates of Personal Income - Year ended 30 June Median employee income ($),Gross Capital Gains reported by taxpayers - Year ended 30 June Gross Capital Gains reported by taxpayers  - Median ($),Estimates of Personal Income - Year ended 30 June Median investment income ($),State and Territory Id,House Median Sales Price,House No of Transactions,Attached dwellings Median Sales Price,Attached dwellings No of Transactions
17,2011,118,17.6,2959.0,1963.0,,9.0,,,,,,,,,Sydney - Eastern Suburbs,102955.4,639.0,346.0,276.0,499475.1,189013.4,207506.4,Sydney - Eastern Suburbs,1.2,2368.0,1806.0,35.0,869.0,2.3,470.0,2817.0,,,,,,,,1,,,,
18,2011,119,14.0,2265.0,1413.0,,12.8,,,,,,,,,Sydney - Inner South West,420614.2,2398.0,684.0,1685.0,720628.7,81274.6,218739.9,Sydney - Inner South West,1.2,1315.0,1169.0,36.0,484.0,2.8,335.0,2127.0,,,,,,,,1,,,,
19,2011,120,14.4,2691.0,1790.0,,10.4,,,,,,,,,Sydney - Inner West,519001.3,2322.0,182.0,2128.0,705990.4,95204.7,91784.3,Sydney - Inner West,1.2,1985.0,1662.0,36.0,723.0,2.5,415.0,2500.0,,,,,,,,1,,,,
20,2011,121,11.1,2893.0,2006.0,,10.9,,,,,,,,,Sydney - North Sydney and Hornsby,501672.4,2037.0,360.0,1640.0,1017323.2,318091.1,197559.8,Sydney - North Sydney and Hornsby,1.1,2558.0,2111.0,38.0,897.0,2.6,466.0,2708.0,,,,,,,,1,,,,
21,2011,122,10.6,2887.0,1961.0,,13.1,,,,,,,,,Sydney - Northern Beaches,128890.5,733.0,294.0,432.0,476133.3,164579.2,182663.7,Sydney - Northern Beaches,1.1,2188.0,1812.0,39.0,779.0,2.6,460.0,2800.0,,,,,,,,1,,,,
22,2011,123,8.9,2062.0,1167.0,,14.5,,,,,,,,,Sydney - Outer South West,53105.2,1403.0,1053.0,277.0,356212.6,29896.6,273210.9,Sydney - Outer South West,1.1,1543.0,1389.0,34.0,591.0,3.0,277.0,1980.0,,,,,,,,1,,,,
23,2011,124,9.9,1999.0,1215.0,,12.4,,,,,,,,,Sydney - Outer West and Blue Mountains,40081.3,1194.0,968.0,213.0,348506.3,54895.4,253529.6,Sydney - Outer West and Blue Mountains,1.1,1580.0,1347.0,36.0,613.0,2.7,290.0,1950.0,,,,,,,,1,,,,
24,2011,125,14.9,2183.0,1381.0,,12.4,,,,,,,,,Sydney - Parramatta,725308.0,4237.0,690.0,3505.0,936684.6,32658.8,178717.8,Sydney - Parramatta,1.2,1360.0,1237.0,33.0,501.0,2.9,339.0,2037.0,,,,,,,,1,,,,
25,2011,126,11.8,2607.0,1630.0,,10.3,,,,,,,,,Sydney - Ryde,259424.6,1230.0,273.0,952.0,427762.5,56938.2,111399.7,Sydney - Ryde,1.1,1991.0,1603.0,38.0,659.0,2.7,380.0,2400.0,,,,,,,,1,,,,
26,2011,127,13.2,2095.0,1225.0,,15.0,,,,,,,,,Sydney - South West,82347.1,1885.0,1380.0,485.0,453477.1,21597.7,349532.3,Sydney - South West,1.2,1235.0,1171.0,34.0,426.0,3.2,290.0,2000.0,,,,,,,,1,,,,
27,2011,128,7.7,2538.0,1595.0,,12.5,,,,,,,,,Sydney - Sutherland,23110.0,352.0,265.0,77.0,186510.6,62300.9,101099.8,Sydney - Sutherland,1.1,2013.0,1672.0,39.0,718.0,2.7,370.0,2400.0,,,,,,,,1,,,,
28,2011,201,8.3,1414.0,862.0,,8.0,,,,,,,,,Ballarat,32914.5,1355.0,1185.0,163.0,341888.6,41976.2,266997.9,Ballarat,1.1,1188.0,935.0,40.0,482.0,2.4,195.0,1300.0,,,,,,,,2,,,,
29,2011,202,7.7,1419.0,890.0,,7.6,,,,,,,,,Bendigo,16979.4,1503.0,1400.0,97.0,386715.2,36696.7,333039.0,Bendigo,1.1,1220.0,963.0,40.0,500.0,2.4,200.0,1300.0,,,,,,,,2,,,,
30,2011,203,8.9,1665.0,1038.0,,8.5,,,,,,,,,Geelong,49803.6,2487.0,2219.0,261.0,774805.9,116749.1,608253.2,Geelong,1.1,1366.0,1079.0,39.0,528.0,2.5,240.0,1517.0,,,,,,,,2,,,,
31,2011,204,7.4,1471.0,847.0,,8.3,,,,,,,,,Hume,14332.0,1225.0,1135.0,79.0,340688.3,47672.4,278683.9,Hume,1.1,1192.0,942.0,42.0,507.0,2.4,185.0,1300.0,,,,,,,,2,,,,
32,2011,205,7.5,1419.0,823.0,,7.6,,,,,,,,,Latrobe - Gippsland,24381.6,2085.0,1939.0,136.0,583215.4,76172.6,482661.1,Latrobe - Gippsland,1.1,1155.0,908.0,42.0,473.0,2.4,180.0,1300.0,,,,,,,,2,,,,
33,2011,206,17.1,2383.0,1573.0,,7.0,,,,,,,,,Melbourne - Inner,2810011.8,10875.0,502.0,10107.0,3603978.2,524014.6,269951.8,Melbourne - Inner,1.2,2070.0,1506.0,33.0,796.0,2.1,356.0,2167.0,,,,,,,,2,,,,
34,2011,207,8.7,2403.0,1546.0,,8.5,,,,,,,,,Melbourne - Inner East,358976.2,2139.0,850.0,1279.0,1067121.9,249930.8,458215.0,Melbourne - Inner East,1.1,1983.0,1561.0,39.0,636.0,2.6,350.0,2167.0,,,,,,,,2,,,,
35,2011,208,9.7,2356.0,1488.0,,9.6,,,,,,,,,Melbourne - Inner South,582095.9,2851.0,869.0,1930.0,1248722.4,270365.6,396260.9,Melbourne - Inner South,1.1,1995.0,1491.0,39.0,691.0,2.5,330.0,2167.0,,,,,,,,2,,,,
36,2011,209,7.9,1966.0,1245.0,,11.8,,,,,,,,,Melbourne - North East,235737.3,4921.0,3547.0,1316.0,1232970.2,119834.9,877398.0,Melbourne - North East,1.1,1527.0,1323.0,36.0,558.0,2.8,300.0,1855.0,,,,,,,,2,,,,
37,2011,210,7.7,1852.0,1199.0,,13.2,,,,,,,,,Melbourne - North West,170236.4,2922.0,1912.0,1003.0,698497.8,53411.5,474849.9,Melbourne - North West,1.1,1366.0,1210.0,36.0,499.0,2.9,290.0,1733.0,,,,,,,,2,,,,
38,2011,211,6.2,1841.0,1225.0,,11.6,,,,,,,,,Melbourne - Outer East,124877.0,2051.0,1388.0,646.0,632821.2,131793.2,376151.0,Melbourne - Outer East,1.1,1599.0,1353.0,38.0,596.0,2.7,295.0,1733.0,,,,,,,,2,,,,
39,2011,212,8.8,1856.0,1249.0,,13.1,,,,,,,,,Melbourne - South East,229650.5,5705.0,4576.0,1106.0,1425611.8,90036.9,1105924.2,Melbourne - South East,1.1,1377.0,1232.0,35.0,516.0,2.9,290.0,1733.0,,,,,,,,2,,,,
40,2011,213,9.0,1866.0,1186.0,,13.1,,,,,,,,,Melbourne - West,280194.1,6629.0,5022.0,1575.0,1597659.0,103425.6,1214039.4,Melbourne - West,1.1,1427.0,1278.0,33.0,551.0,2.8,275.0,1733.0,,,,,,,,2,,,,
41,2011,214,9.1,1792.0,1136.0,,11.2,,,,,,,,,Mornington Peninsula,64940.7,1777.0,1419.0,344.0,663840.5,133487.9,465411.8,Mornington Peninsula,1.1,1372.0,1098.0,40.0,551.0,2.5,260.0,1694.0,,,,,,,,2,,,,
42,2011,215,6.9,1222.0,690.0,,5.8,,,,,,,,,North West,4552.0,609.0,587.0,20.0,172024.4,26513.9,140958.5,North West,1.1,1075.0,853.0,42.0,466.0,2.4,150.0,1083.0,,,,,,,,2,,,,
43,2011,216,7.9,1431.0,787.0,,8.2,,,,,,,,,Shepparton,1423.3,629.0,592.0,34.0,170940.0,21217.2,148299.5,Shepparton,1.1,1128.0,914.0,40.0,480.0,2.5,180.0,1300.0,,,,,,,,2,,,,
44,2011,217,6.5,1403.0,795.0,,6.9,,,,,,,,,Warrnambool and South West,5373.4,719.0,681.0,28.0,219879.4,36725.7,177780.3,Warrnambool and South West,1.1,1217.0,951.0,41.0,504.0,2.4,175.0,1257.0,,,,,,,,2,,,,
45,2011,301,9.8,2152.0,1446.0,,11.0,,,,,,,,,Brisbane - East,14609.0,858.0,773.0,83.0,260572.0,42061.4,203901.7,Brisbane - East,1.1,1668.0,1416.0,38.0,636.0,2.7,350.0,2050.0,,,,,,,,3,,,,
46,2011,302,10.2,2078.0,1346.0,,8.5,,,,,,,,,Brisbane - North,154278.3,1277.0,470.0,806.0,342588.0,65376.8,122932.9,Brisbane - North,1.1,1712.0,1396.0,37.0,675.0,2.5,330.0,2000.0,,,,,,,,3,,,,
47,2011,303,11.5,2166.0,1429.0,,9.1,,,,,,,,,Brisbane - South,212690.5,1626.0,644.0,970.0,550499.3,118031.2,219777.5,Brisbane - South,1.1,1722.0,1463.0,34.0,634.0,2.7,350.0,2000.0,,,,,,,,3,,,,
48,2011,304,9.4,2294.0,1572.0,,8.4,,,,,,,,,Brisbane - West,22372.6,522.0,416.0,106.0,274102.9,98128.7,153601.6,Brisbane - West,1.1,2171.0,1805.0,35.0,718.0,2.7,370.0,2167.0,,,,,,,,3,,,,
49,2011,305,15.9,2553.0,1642.0,,7.4,,,,,,,,,Brisbane Inner City,710747.8,2877.0,247.0,2617.0,1074149.2,223574.1,139827.4,Brisbane Inner City,1.1,2349.0,1763.0,32.0,858.0,2.3,370.0,2318.0,,,,,,,,3,,,,
50,2011,306,12.6,1780.0,1060.0,,9.0,,,,,,,,,Cairns,5561.9,896.0,851.0,37.0,381824.5,151969.3,224293.3,Cairns,1.1,1294.0,1057.0,37.0,567.0,2.5,240.0,1647.0,,,,,,,,3,,,,
51,2011,307,7.8,1472.0,788.0,,6.9,,,,,,,,,Darling Downs - Maranoa,21409.4,783.0,654.0,125.0,210757.9,25854.4,163494.1,Darling Downs - Maranoa,1.1,1156.0,955.0,39.0,504.0,2.5,180.0,1300.0,,,,,,,,3,,,,
52,2011,308,7.8,1902.0,1064.0,,6.8,,,,,,,,,Fitzroy,96372.5,2071.0,1570.0,500.0,576841.4,43838.5,436630.4,Fitzroy,1.1,1676.0,1406.0,35.0,633.0,2.6,250.0,1780.0,,,,,,,,3,,,,
53,2011,309,16.9,2189.0,1534.0,,13.2,,,,,,,,,Gold Coast,177200.7,2328.0,1382.0,940.0,668950.9,80583.3,411166.9,Gold Coast,1.1,1377.0,1173.0,38.0,570.0,2.5,350.0,2058.0,,,,,,,,3,,,,
54,2011,310,11.7,1799.0,1159.0,,10.3,,,,,,,,,Ipswich,76150.1,2387.0,1832.0,550.0,523804.7,41016.9,406637.7,Ipswich,1.1,1348.0,1190.0,33.0,557.0,2.8,280.0,1733.0,,,,,,,,3,,,,
55,2011,311,12.2,1879.0,1253.0,,12.7,,,,,,,,,Logan - Beaudesert,69444.8,1517.0,1065.0,452.0,326074.0,39035.3,217593.9,Logan - Beaudesert,1.1,1370.0,1246.0,33.0,571.0,2.9,300.0,1800.0,,,,,,,,3,,,,
56,2011,312,7.8,2106.0,1152.0,,7.6,,,,,,,,,Mackay,94444.9,1889.0,1469.0,414.0,571869.7,50990.8,426433.9,Mackay,1.1,1825.0,1572.0,35.0,709.0,2.7,270.0,2013.0,,,,,,,,3,,,,
57,2011,313,14.4,1871.0,1196.0,,9.9,,,,,,,,,Moreton Bay - North,100328.2,1336.0,830.0,491.0,316370.3,27407.0,188635.1,Moreton Bay - North,1.1,1223.0,1022.0,39.0,508.0,2.6,290.0,1798.0,,,,,,,,3,,,,
58,2011,314,7.6,2073.0,1426.0,,12.8,,,,,,,,,Moreton Bay - South,43135.3,1318.0,1047.0,270.0,307616.0,29986.7,234494.1,Moreton Bay - South,1.1,1761.0,1600.0,35.0,694.0,2.9,340.0,2000.0,,,,,,,,3,,,,
59,2011,315,5.3,1629.0,642.0,,3.5,,,,,,,,,Queensland - Outback,9461.0,224.0,158.0,65.0,55470.3,8325.1,37684.2,Queensland - Outback,1.2,1357.0,1215.0,32.0,588.0,2.7,100.0,1500.0,,,,,,,,3,,,,
60,2011,316,13.8,1987.0,1387.0,,11.4,,,,,,,,,Sunshine Coast,121563.6,1789.0,1245.0,531.0,566994.7,80764.2,364666.9,Sunshine Coast,1.1,1219.0,1010.0,42.0,519.0,2.5,320.0,1863.0,,,,,,,,3,,,,
61,2011,317,10.3,1660.0,1025.0,,7.9,,,,,,,,,Toowoomba,22767.9,873.0,727.0,145.0,239156.9,34783.0,181606.1,Toowoomba,1.1,1345.0,1095.0,36.0,557.0,2.5,240.0,1535.0,,,,,,,,3,,,,
62,2011,318,10.4,1872.0,1144.0,,7.7,,,,,,,,,Townsville,25174.6,1532.0,1378.0,134.0,461932.0,79029.6,357727.8,Townsville,1.1,1533.0,1295.0,34.0,633.0,2.6,260.0,1733.0,,,,,,,,3,,,,
63,2011,319,11.5,1476.0,930.0,,7.8,,,,,,,,,Wide Bay,12227.5,1468.0,1390.0,76.0,350119.0,39129.8,298761.7,Wide Bay,1.1,944.0,801.0,43.0,407.0,2.4,220.0,1322.0,,,,,,,,3,,,,
64,2011,401,10.2,1983.0,1212.0,,8.0,,,,,,,,,Adelaide - Central and Hills,49932.4,1044.0,824.0,213.0,412683.0,129776.7,232973.9,Adelaide - Central and Hills,1.1,1735.0,1290.0,40.0,626.0,2.4,275.0,1733.0,,,,,,,,4,,,,
65,2011,402,9.8,1544.0,958.0,,10.8,,,,,,,,,Adelaide - North,53218.5,2530.0,2163.0,361.0,486609.6,30953.6,402437.5,Adelaide - North,1.1,1252.0,1039.0,36.0,515.0,2.5,230.0,1470.0,,,,,,,,4,,,,
66,2011,403,8.9,1680.0,1060.0,,9.7,,,,,,,,,Adelaide - South,75077.7,1605.0,1123.0,468.0,401780.2,76142.4,250560.1,Adelaide - South,1.1,1439.0,1130.0,40.0,569.0,2.4,250.0,1538.0,,,,,,,,4,,,,
67,2011,404,11.1,1766.0,1004.0,,8.3,,,,,,,,,Adelaide - West,130679.0,1194.0,636.0,555.0,300678.9,37524.9,132474.9,Adelaide - West,1.1,1317.0,996.0,40.0,520.0,2.3,230.0,1625.0,,,,,,,,4,,,,
68,2011,405,6.2,1276.0,719.0,,7.0,,,,,,,,,Barossa - Yorke - Mid North,1130.0,689.0,679.0,8.0,162803.0,24142.8,137530.1,Barossa - Yorke - Mid North,1.1,1091.0,862.0,44.0,458.0,2.3,160.0,1114.0,,,,,,,,4,,,,
69,2011,406,7.7,1387.0,705.0,,5.5,,,,,,,,,South Australia - Outback,4964.5,496.0,458.0,32.0,117780.8,17011.5,95804.8,South Australia - Outback,1.1,1269.0,989.0,38.0,528.0,2.4,150.0,1278.0,,,,,,,,4,,,,
70,2011,407,7.5,1301.0,711.0,,7.5,,,,,,,,,South Australia - South East,32615.6,1076.0,927.0,146.0,272923.0,42323.4,197983.9,South Australia - South East,1.1,1060.0,855.0,43.0,468.0,2.3,160.0,1155.0,,,,,,,,4,,,,
71,2011,501,8.4,1865.0,1050.0,,9.4,,,,,,,,,Bunbury,9556.3,1418.0,1354.0,60.0,412237.0,42059.8,360620.9,Bunbury,1.1,1455.0,1194.0,39.0,570.0,2.5,250.0,1733.0,,,,,,,,5,,,,
72,2011,502,11.4,2021.0,1141.0,,8.7,,,,,,,,,Mandurah,2116.9,813.0,803.0,9.0,208027.3,9020.2,196890.2,Mandurah,1.0,1261.0,992.0,42.0,492.0,2.4,270.0,1950.0,,,,,,,,5,,,,
73,2011,503,12.7,2675.0,1627.0,,8.5,,,,,,,,,Perth - Inner,245564.8,1515.0,437.0,781.0,686665.9,127559.0,313542.1,Perth - Inner,1.1,2574.0,1816.0,36.0,867.0,2.3,360.0,2423.0,,,,,,,,5,,,,
74,2011,504,8.2,2035.0,1255.0,,12.3,,,,,,,,,Perth - North East,38242.1,1792.0,1563.0,222.0,450125.3,46557.2,365325.9,Perth - North East,1.1,1661.0,1395.0,36.0,653.0,2.6,300.0,1950.0,,,,,,,,5,,,,
75,2011,505,8.5,2178.0,1422.0,,12.0,,,,,,,,,Perth - North West,113111.5,3532.0,3052.0,472.0,1001022.5,77751.1,810159.9,Perth - North West,1.1,1823.0,1518.0,36.0,685.0,2.7,340.0,2000.0,,,,,,,,5,,,,
76,2011,506,9.4,2056.0,1321.0,,11.0,,,,,,,,,Perth - South East,129902.8,3882.0,3393.0,476.0,985274.0,82023.4,773347.8,Perth - South East,1.1,1686.0,1406.0,35.0,647.0,2.6,310.0,1950.0,,,,,,,,5,,,,
77,2011,507,8.3,2143.0,1331.0,,10.7,,,,,,,,,Perth - South West,138195.0,3450.0,2830.0,619.0,974824.2,85058.8,751570.4,Perth - South West,1.1,1812.0,1477.0,36.0,666.0,2.6,310.0,2000.0,,,,,,,,5,,,,
78,2011,508,,,,,,,,,,,,,,Western Australia - Outback,273860.0,2205.0,1457.0,744.0,968906.3,108516.4,586529.9,Western Australia - Outback,1.1,1869.0,1611.0,33.0,849.0,2.7,150.0,1770.0,,,,,,,,5,,,,
79,2011,509,6.2,1542.0,732.0,,7.2,,,,,,,,,Western Australia - Wheat Belt,9870.1,646.0,595.0,50.0,192618.5,31904.8,150843.5,Western Australia - Wheat Belt,1.1,1221.0,973.0,41.0,526.0,2.4,150.0,1300.0,,,,,,,,5,,,,
80,2011,510,9.9,2475.0,828.0,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,
81,2011,511,7.2,1829.0,925.0,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,
82,2011,601,10.5,1570.0,1028.0,,8.0,,,,,,,,,Hobart,24260.6,829.0,662.0,158.0,255063.0,69799.7,161002.7,Hobart,1.1,1359.0,1065.0,39.0,556.0,2.4,235.0,1430.0,,,,,,,,6,,,,
83,2011,602,9.5,1384.0,832.0,,7.2,,,,,,,,,Launceston and North East,23454.0,616.0,452.0,155.0,170954.5,33834.6,113665.8,Launceston and North East,1.1,1140.0,897.0,41.0,470.0,2.4,190.0,1300.0,,,,,,,,6,,,,
84,2011,603,5.6,1282.0,716.0,,9.9,,,,,,,,,South East,360.0,259.0,254.0,2.0,66728.4,13460.5,52907.9,South East,1.1,998.0,826.0,44.0,428.0,2.4,170.0,1127.0,,,,,,,,6,,,,
85,2011,604,8.7,1299.0,740.0,,6.4,,,,,,,,,West and North West,10400.2,422.0,349.0,67.0,121295.0,24267.9,86626.9,West and North West,1.1,1090.0,867.0,41.0,456.0,2.4,170.0,1192.0,,,,,,,,6,,,,
86,2011,701,10.5,2288.0,1530.0,,9.6,,,,,,,,,Darwin,246425.5,1438.0,543.0,882.0,496486.0,59721.5,190339.1,Darwin,1.2,2040.0,1806.0,33.0,897.0,2.7,360.0,2167.0,,,,,,,,7,,,,
87,2011,702,6.2,1909.0,617.0,,4.5,,,,,,,,,Northern Territory - Outback,11281.7,179.0,122.0,53.0,55976.0,13560.0,31134.3,Northern Territory - Outback,1.4,1248.0,1450.0,29.0,477.0,3.2,70.0,1777.0,,,,,,,,7,,,,
88,2011,801,8.0,2231.0,1535.0,,7.8,,,,,,,,,Australian Capital Territory,607003.7,4865.0,1785.0,3071.0,1256202.4,115619.2,533579.5,Australian Capital Territory,1.1,2277.0,1920.0,34.0,918.0,2.6,380.0,2167.0,,,,,,,,8,,,,
89,2011,901,5.1,1692.0,649.0,,0.9,,,,,,,,,Other Territories,,,,,,,,,1.3,1734.0,1676.0,32.0,813.0,2.9,86.0,867.0,,,,,,,,9,,,,
