,Year,SA4 Code,Household Stress - Census Households with rent payments greater than or equal to 30% of household income (%),Rent and Mortgage Payments - Census Average monthly household mortgage payment ($),Rent and Mortgage Payments - Census Average monthly household rental payment ($),Housing Suitability - Occupied private dwellings - Census Dwellings with extra bedrooms needed (no.),Household Stress - Census Households with mortgage repayments greater than or equal to 30% of household income (%),Building Approvals - Year ended 30 June Value of residential building ($m),Building Approvals - Year ended 30 June Private sector dwellings excluding houses (no.),Building Approvals - Year ended 30 June Total private sector dwelling units (no.),Building Approvals - Year ended 30 June Total value of private sector dwelling units ($m),Building Approvals - Year ended 30 June Private sector houses (no.),Building Approvals - Year ended 30 June Total dwelling units (no.),Building Approvals - Year ended 30 June Value of private sector houses ($m),Building Approvals - Year ended 30 June Value of private sector dwellings excluding houses ($m),SA4 Name,Value of New Other Residential Building ($000),Total Dwelling Number,Number of New Houses,Number of New Other Residential Buildings,Value of Total Residential Buildings ($000),Value of Alterations ($000),Value of New Houses ($000),SA4 Name 2011,Average number of Persons per bedroom,Median total family income weekly,Median total household income weekly,Median age of persons,Median total personal income weekly,Average household size,Median rent weekly,Median mortgage repayment monthly,Estimates of Personal Income - Year ended 30 June Total income (excl. Government pensions and allowances) - Gini coefficient,Estimates of Personal Income - Year ended 30 June Mean employee income ($),Gross Capital Gains reported by taxpayers - Year ended 30 June Gross Capital Gains reported by taxpayers - Mean ($),Estimates of Personal Income - Year ended 30 June Mean investment income ($),Estimates of Personal Income - Year ended 30 June Median employee income ($),Gross Capital Gains reported by taxpayers - Year ended 30 June Gross Capital Gains reported by taxpayers  - Median ($),Estimates of Personal Income - Year ended 30 June Median investment income ($),State and Territory Id,House Median Sales Price,House No of Transactions,Attached dwellings Median Sales Price,Attached dwellings No of Transactions
279,2014,115,,,,,,569.0,517.0,1628.0,547.0,1111.0,1652.0,439.0,108.0,Sydney - Baulkham Hills and Hawkesbury,500964.5,3082.0,1213.0,1855.0,1022515.8,53703.6,467847.7,Sydney - Baulkham Hills and Hawkesbury,,,,,,,,,0.495,66897.0,39636.0,10099.0,52496.0,3637.0,540.0,1,880000.0,3487.0,626000.0,621.0
280,2014,116,,,,,,606.0,1166.0,2862.0,599.0,1696.0,2876.0,414.0,185.0,Sydney - Blacktown,155104.7,3449.0,2485.0,921.0,815276.5,42152.7,618019.1,Sydney - Blacktown,,,,,,,,,0.385,52960.0,25518.0,1754.0,48804.0,3031.0,153.0,1,510300.0,4663.0,390500.0,1271.0
281,2014,117,,,,,,1502.0,4992.0,5096.0,1472.0,104.0,5096.0,98.0,1374.0,Sydney - City and Inner South,1798469.2,6044.0,116.0,5770.0,2000748.9,168627.5,33652.0,Sydney - City and Inner South,,,,,,,,,0.5,61349.0,57504.0,8809.0,47593.0,3016.0,311.0,1,1005000.0,1811.0,660000.0,6759.0
282,2014,118,,,,,,838.0,1083.0,1244.0,793.0,161.0,1244.0,385.0,409.0,Sydney - Eastern Suburbs,331931.2,1104.0,192.0,865.0,799482.6,283427.1,184124.3,Sydney - Eastern Suburbs,,,,,,,,,0.588,78521.0,91963.0,27614.0,53827.0,4380.0,988.0,1,1765000.0,2224.0,744000.0,3871.0
283,2014,119,,,,,,1567.0,4901.0,5820.0,1545.0,919.0,5881.0,340.0,1205.0,Sydney - Inner South West,1011652.8,4935.0,965.0,3919.0,1389504.0,94914.9,282936.4,Sydney - Inner South West,,,,,,,,,0.446,51520.0,35492.0,5904.0,44005.0,3110.0,449.0,1,805000.0,5311.0,500000.0,5310.0
284,2014,120,,,,,,818.0,1876.0,2036.0,800.0,160.0,2037.0,208.0,592.0,Sydney - Inner West,951699.7,3756.0,210.0,3414.0,1226414.8,186744.0,87971.0,Sydney - Inner West,,,,,,,,,0.505,67664.0,52296.0,10892.0,52310.0,3372.0,576.0,1,1220000.0,2592.0,625000.0,4130.0
285,2014,121,,,,,,1783.0,3839.0,4322.0,1703.0,483.0,4451.0,589.0,1115.0,Sydney - North Sydney and Hornsby,786274.0,3353.0,487.0,2838.0,1495806.8,421898.2,287634.5,Sydney - North Sydney and Hornsby,,,,,,,,,0.58,87923.0,59355.0,21657.0,58781.0,3573.0,1220.0,1,1410000.0,4543.0,700000.0,5863.0
286,2014,122,,,,,,435.0,379.0,717.0,428.0,338.0,717.0,326.0,102.0,Sydney - Northern Beaches,160069.0,991.0,385.0,581.0,526416.3,167360.9,198986.4,Sydney - Northern Beaches,,,,,,,,,0.545,73226.0,53105.0,17483.0,51057.0,3579.0,816.0,1,1200000.0,2983.0,632000.0,3135.0
287,2014,123,,,,,,559.0,338.0,1936.0,513.0,1598.0,2090.0,452.0,61.0,Sydney - Outer South West,138607.9,2736.0,2019.0,707.0,729219.9,33605.7,557006.3,Sydney - Outer South West,,,,,,,,,0.398,53610.0,29182.0,3597.0,48223.0,3627.0,167.0,1,455000.0,4173.0,320000.0,855.0
288,2014,124,,,,,,503.0,602.0,2004.0,497.0,1402.0,2007.0,398.0,99.0,Sydney - Outer West and Blue Mountains,98362.0,2238.0,1666.0,552.0,606084.6,62103.2,445619.4,Sydney - Outer West and Blue Mountains,,,,,,,,,0.409,54352.0,30394.0,4414.0,48839.0,3375.0,212.0,1,460000.0,5158.0,335000.0,1356.0
289,2014,125,,,,,,1218.0,4003.0,4810.0,1204.0,807.0,4837.0,213.0,991.0,Sydney - Parramatta,1489963.4,7090.0,957.0,6082.0,1745797.1,45684.5,210149.2,Sydney - Parramatta,,,,,,,,,0.433,51397.0,29564.0,4016.0,45039.0,2811.0,311.0,1,695000.0,4118.0,456000.0,5084.0
290,2014,126,,,,,,518.0,1389.0,1604.0,515.0,215.0,1604.0,142.0,373.0,Sydney - Ryde,552138.1,2252.0,295.0,1950.0,715872.3,54630.1,109104.1,Sydney - Ryde,,,,,,,,,0.52,66919.0,50338.0,11620.0,51885.0,2914.0,756.0,1,1200000.0,1810.0,635000.0,2091.0
291,2014,127,,,,,,957.0,1309.0,3844.0,930.0,2535.0,3931.0,657.0,273.0,Sydney - South West,242058.6,4476.0,3336.0,1107.0,1144999.0,32659.6,870280.7,Sydney - South West,,,,,,,,,0.402,48772.0,43135.0,3877.0,44179.0,6139.0,281.0,1,554000.0,4338.0,350000.0,1778.0
292,2014,128,,,,,,317.0,310.0,666.0,307.0,356.0,666.0,195.0,112.0,Sydney - Sutherland,142591.5,869.0,357.0,483.0,356936.1,74702.6,139642.0,Sydney - Sutherland,,,,,,,,,0.473,64407.0,81290.0,9845.0,52504.0,3196.0,508.0,1,866000.0,2294.0,552000.0,2264.0
293,2014,201,,,,,,345.0,131.0,1253.0,335.0,1122.0,1254.0,315.0,20.0,Ballarat,22355.7,1434.0,1291.0,139.0,385288.1,48981.0,313951.4,Ballarat,,,,,,,,,0.452,46868.0,24559.0,7610.0,41250.0,2552.0,310.0,2,297000.0,3239.0,239950.0,349.0
294,2014,202,,,,,,388.0,97.0,1358.0,373.0,1261.0,1364.0,356.0,17.0,Bendigo,11252.7,1292.0,1238.0,48.0,381062.2,53443.2,316366.3,Bendigo,,,,,,,,,0.453,46908.0,23778.0,7793.0,41346.0,2316.0,367.0,2,340000.0,2766.0,245000.0,289.0
295,2014,203,,,,,,910.0,267.0,2873.0,874.0,2606.0,2992.0,818.0,56.0,Geelong,97472.1,3265.0,2716.0,505.0,1001296.6,127463.5,776360.9,Geelong,,,,,,,,,0.465,50845.0,34543.0,10160.0,42908.0,2716.0,401.0,2,415727.0,5156.0,310000.0,1005.0
296,2014,204,,,,,,336.0,32.0,1115.0,322.0,1083.0,1121.0,316.0,6.0,Hume,6313.3,1231.0,1181.0,42.0,368133.7,51672.6,310147.8,Hume,,,,,,,,,0.45,45160.0,20850.0,7061.0,40437.0,2299.0,357.0,2,282500.0,2829.0,200000.0,302.0
297,2014,205,,,,,,547.0,175.0,1882.0,521.0,1707.0,1893.0,490.0,31.0,Latrobe - Gippsland,19320.4,2052.0,1935.0,112.0,597439.1,78503.6,499615.1,Latrobe - Gippsland,,,,,,,,,0.479,48819.0,27116.0,6997.0,39733.0,2554.0,387.0,2,292000.0,5499.0,225000.0,600.0
298,2014,206,,,,,,4162.0,11303.0,11934.0,4040.0,631.0,12043.0,664.0,3376.0,Melbourne - Inner,4327396.5,16582.0,585.0,15766.0,5227196.0,582632.0,317167.4,Melbourne - Inner,,,,,,,,,0.518,63109.0,73094.0,15762.0,49454.0,3323.0,460.0,2,875000.0,5504.0,511000.0,10239.0
299,2014,207,,,,,,1496.0,2309.0,3352.0,1478.0,1043.0,3360.0,850.0,628.0,Melbourne - Inner East,964620.5,4804.0,1125.0,3609.0,1877820.2,272019.2,641180.5,Melbourne - Inner East,,,,,,,,,0.557,66564.0,46295.0,18721.0,47376.0,3077.0,1387.0,2,1060000.0,5018.0,592000.0,2807.0
300,2014,208,,,,,,1198.0,1973.0,2800.0,1173.0,827.0,2805.0,645.0,529.0,Melbourne - Inner South,957544.2,4455.0,1041.0,3300.0,1838995.8,333199.8,548251.9,Melbourne - Inner South,,,,,,,,,0.53,67454.0,54685.0,18439.0,50000.0,2973.0,942.0,2,925000.0,5236.0,549475.0,4214.0
301,2014,209,,,,,,1179.0,1510.0,4563.0,1147.0,3053.0,4637.0,875.0,271.0,Melbourne - North East,535064.5,6325.0,3663.0,2653.0,1573184.5,114560.9,923559.0,Melbourne - North East,,,,,,,,,0.438,53079.0,29671.0,7104.0,45730.0,2405.0,321.0,2,501298.0,6329.0,400000.0,2086.0
302,2014,210,,,,,,884.0,1316.0,3676.0,867.0,2360.0,3702.0,626.0,241.0,Melbourne - North West,263455.5,4351.0,2925.0,1406.0,1080639.1,57403.7,759779.9,Melbourne - North West,,,,,,,,,0.429,51113.0,28154.0,6450.0,45004.0,2642.0,252.0,2,435125.0,4920.0,367750.0,1296.0
303,2014,211,,,,,,837.0,1257.0,2857.0,818.0,1600.0,2861.0,535.0,283.0,Melbourne - Outer East,300452.6,3008.0,1596.0,1384.0,903080.6,137472.0,465156.0,Melbourne - Outer East,,,,,,,,,0.444,52942.0,27361.0,7397.0,45386.0,2194.0,344.0,2,545550.0,7456.0,415000.0,2221.0
304,2014,212,,,,,,1770.0,1872.0,6939.0,1749.0,5067.0,6954.0,1352.0,398.0,Melbourne - South East,467631.4,8035.0,5722.0,2268.0,2127360.8,94089.1,1565640.2,Melbourne - South East,,,,,,,,,0.431,48937.0,30109.0,6073.0,43305.0,2573.0,237.0,2,452500.0,10759.0,365000.0,2839.0
305,2014,213,,,,,,1557.0,1532.0,6295.0,1530.0,4763.0,6315.0,1233.0,297.0,Melbourne - West,454387.8,7353.0,5120.0,2186.0,1843661.1,112537.9,1276735.2,Melbourne - West,,,,,,,,,0.409,51765.0,28123.0,3974.0,46307.0,2805.0,162.0,2,410000.0,10219.0,341000.0,2422.0
306,2014,214,,,,,,716.0,589.0,1884.0,692.0,1295.0,1923.0,557.0,135.0,Mornington Peninsula,95503.6,1754.0,1273.0,476.0,702875.8,148950.1,458422.2,Mornington Peninsula,,,,,,,,,0.461,49967.0,39765.0,10568.0,42625.0,3010.0,317.0,2,475000.0,6779.0,345000.0,1610.0
307,2014,215,,,,,,185.0,7.0,585.0,170.0,578.0,600.0,169.0,1.0,North West,340.0,587.0,581.0,2.0,196211.1,37599.6,158271.5,North West,,,,,,,,,0.463,40387.0,22312.0,7692.0,36470.0,2131.0,528.0,2,200000.0,2683.0,173000.0,303.0
308,2014,216,,,,,,176.0,21.0,483.0,164.0,462.0,490.0,161.0,3.0,Shepparton,531.9,562.0,556.0,5.0,195984.1,45887.0,149565.2,Shepparton,,,,,,,,,0.459,42695.0,23817.0,8094.0,38486.0,2120.0,395.0,2,260000.0,1776.0,197500.0,238.0
309,2014,217,,,,,,186.0,28.0,523.0,172.0,495.0,528.0,167.0,5.0,Warrnambool and South West,8946.9,546.0,503.0,35.0,196586.4,38775.4,148864.1,Warrnambool and South West,,,,,,,,,0.467,43176.0,40681.0,8343.0,37906.0,3421.0,527.0,2,275000.0,1804.0,248000.0,201.0
310,2014,301,,,,,,395.0,359.0,1384.0,384.0,1025.0,1384.0,316.0,68.0,Brisbane - East,153784.3,1933.0,1211.0,718.0,532444.8,53754.4,324906.1,Brisbane - East,,,,,,,,,0.451,58620.0,25075.0,8411.0,48844.0,2684.0,241.0,3,480000.0,4240.0,375000.0,725.0
311,2014,302,,,,,,536.0,1268.0,1993.0,514.0,725.0,2030.0,236.0,279.0,Brisbane - North,372122.8,2454.0,669.0,1781.0,635974.3,69548.1,194303.4,Brisbane - North,,,,,,,,,0.433,59486.0,21195.0,6408.0,51394.0,2290.0,246.0,3,485000.0,3631.0,395000.0,1717.0
312,2014,303,,,,,,799.0,1964.0,2729.0,785.0,765.0,2735.0,367.0,418.0,Brisbane - South,711292.4,4169.0,959.0,3204.0,1215722.2,132920.6,371509.2,Brisbane - South,,,,,,,,,0.465,55926.0,25752.0,7887.0,46725.0,2497.0,314.0,3,565000.0,5348.0,390000.0,2271.0
313,2014,304,,,,,,337.0,368.0,830.0,324.0,462.0,838.0,245.0,79.0,Brisbane - West,187450.1,1183.0,415.0,766.0,418435.1,69725.7,161259.3,Brisbane - West,,,,,,,,,0.521,68164.0,36410.0,12175.0,52000.0,2719.0,478.0,3,576000.0,2894.0,435000.0,846.0
314,2014,305,,,,,,1994.0,5827.0,6163.0,1971.0,336.0,6163.0,380.0,1591.0,Brisbane Inner City,2348659.0,9316.0,364.0,8645.0,2897627.5,348385.3,200583.2,Brisbane Inner City,,,,,,,,,0.535,69447.0,55518.0,14592.0,50663.0,3438.0,365.0,3,760000.0,3393.0,481000.0,5441.0
315,2014,306,,,,,,350.0,30.0,1060.0,325.0,1030.0,1064.0,318.0,7.0,Cairns,16448.0,1241.0,1154.0,82.0,411332.8,57291.8,337592.9,Cairns,,,,,,,,,0.451,47297.0,25952.0,6692.0,40029.0,2504.0,257.0,3,360000.0,3808.0,211375.0,1404.0
316,2014,307,,,,,,256.0,194.0,916.0,248.0,722.0,922.0,208.0,40.0,Darling Downs - Maranoa,17527.4,513.0,429.0,83.0,150774.4,20349.5,112897.5,Darling Downs - Maranoa,,,,,,,,,0.527,46667.0,38289.0,6729.0,39768.0,2864.0,287.0,3,269000.0,1679.0,300000.0,105.0
317,2014,308,,,,,,621.0,380.0,2009.0,573.0,1629.0,2117.0,477.0,96.0,Central Queensland,27618.0,891.0,749.0,132.0,283671.1,43909.5,212143.7,Fitzroy,,,,,,,,,0.474,65430.0,29819.0,5277.0,51067.0,2282.0,142.0,3,359000.0,3058.0,344500.0,346.0
318,2014,309,,,,,,1300.0,2591.0,4493.0,1260.0,1902.0,4493.0,616.0,644.0,Gold Coast,750204.0,5551.0,2724.0,2805.0,1631116.5,108458.1,772454.4,Gold Coast,,,,,,,,,0.474,49958.0,42517.0,11068.0,40999.0,3459.0,241.0,3,500000.0,8497.0,350000.0,7652.0
319,2014,310,,,,,,585.0,417.0,2417.0,534.0,2000.0,2574.0,462.0,73.0,Ipswich,157500.2,3334.0,2404.0,923.0,731410.2,41681.1,532228.9,Ipswich,,,,,,,,,0.406,50530.0,17300.0,3270.0,46007.0,2056.0,109.0,3,329000.0,5064.0,311000.0,561.0
320,2014,311,,,,,,425.0,375.0,1878.0,408.0,1503.0,1878.0,349.0,59.0,Logan - Beaudesert,75138.3,2643.0,2177.0,453.0,587735.6,40136.9,472460.4,Logan - Beaudesert,,,,,,,,,0.399,49132.0,25401.0,4121.0,44586.0,2442.0,100.0,3,362500.0,4717.0,230000.0,873.0
321,2014,312,,,,,,505.0,500.0,1629.0,485.0,1129.0,1634.0,376.0,109.0,Mackay - Isaac - Whitsunday,24103.9,588.0,487.0,100.0,215280.3,35845.6,155330.8,Mackay,,,,,,,,,0.46,65331.0,35456.0,6349.0,50689.0,2352.0,165.0,3,410000.0,1854.0,330000.0,397.0
322,2014,313,,,,,,339.0,539.0,1458.0,318.0,919.0,1493.0,226.0,92.0,Moreton Bay - North,85740.7,1828.0,1287.0,527.0,422549.6,43466.2,293342.6,Moreton Bay - North,,,,,,,,,0.443,48930.0,24041.0,5359.0,42164.0,2979.0,148.0,3,367000.0,4196.0,312250.0,942.0
323,2014,314,,,,,,477.0,560.0,2125.0,462.0,1565.0,2125.0,364.0,99.0,Moreton Bay - South,158565.8,2690.0,1756.0,932.0,603164.6,35713.6,408885.2,Moreton Bay - South,,,,,,,,,0.428,58171.0,19224.0,5146.0,50041.0,2199.0,149.0,3,440000.0,3317.0,336000.0,537.0
324,2014,315,,,,,,73.0,105.0,202.0,47.0,97.0,262.0,27.0,20.0,Queensland - Outback,16960.4,202.0,149.0,49.0,74770.9,9405.1,48405.4,Queensland - Outback,,,,,,,,,0.512,54540.0,34350.0,4441.0,44544.0,2224.0,117.0,3,250000.0,578.0,350000.0,27.0
325,2014,316,,,,,,822.0,875.0,2835.0,803.0,1960.0,2835.0,632.0,172.0,Sunshine Coast,165045.3,3556.0,2758.0,780.0,1046425.8,119281.4,762099.0,Sunshine Coast,,,,,,,,,0.492,49852.0,29616.0,9955.0,39473.0,3383.0,407.0,3,477044.0,6924.0,360000.0,3065.0
326,2014,317,,,,,,345.0,664.0,1343.0,330.0,679.0,1357.0,214.0,116.0,Toowoomba,92405.9,1395.0,875.0,516.0,374670.2,40661.4,241602.9,Toowoomba,,,,,,,,,0.449,50671.0,27306.0,7637.0,43966.0,2463.0,231.0,3,349000.0,3366.0,285000.0,608.0
327,2014,318,,,,,,466.0,438.0,1702.0,436.0,1264.0,1769.0,354.0,82.0,Townsville,88306.1,1609.0,1119.0,469.0,434404.2,53316.1,292782.1,Townsville,,,,,,,,,0.427,54859.0,21314.0,5026.0,47820.0,2095.0,154.0,3,353000.0,3323.0,285000.0,575.0
328,2014,319,,,,,,415.0,187.0,1594.0,399.0,1407.0,1598.0,363.0,36.0,Wide Bay,27080.6,1554.0,1385.0,166.0,403194.8,52765.7,323348.5,Wide Bay,,,,,,,,,0.493,44912.0,22347.0,5457.0,37421.0,2504.0,262.0,3,285000.0,4895.0,260000.0,383.0
329,2014,401,,,,,,627.0,702.0,1824.0,600.0,1122.0,1845.0,429.0,171.0,Adelaide - Central and Hills,400500.3,2974.0,1035.0,1869.0,889095.5,162719.8,325875.4,Adelaide - Central and Hills,,,,,,,,,0.508,58756.0,40522.0,16230.0,46962.0,2626.0,712.0,4,581000.0,3388.0,389000.0,1983.0
330,2014,402,,,,,,614.0,417.0,2975.0,573.0,2558.0,3209.0,508.0,65.0,Adelaide - North,24188.6,2550.0,2376.0,163.0,517787.5,30605.1,462993.8,Adelaide - North,,,,,,,,,0.391,48200.0,17053.0,3711.0,44752.0,2027.0,159.0,4,329000.0,5821.0,245000.0,1152.0
331,2014,403,,,,,,506.0,675.0,2024.0,476.0,1349.0,2128.0,358.0,118.0,Adelaide - South,109583.6,2005.0,1390.0,581.0,495117.7,73422.6,312111.5,Adelaide - South,,,,,,,,,0.438,52386.0,23705.0,7254.0,45901.0,2104.0,283.0,4,410000.0,5325.0,335000.0,1559.0
332,2014,404,,,,,,406.0,815.0,1674.0,378.0,859.0,1826.0,227.0,151.0,Adelaide - West,136511.2,1594.0,927.0,662.0,389739.7,38090.1,215138.3,Adelaide - West,,,,,,,,,0.428,50841.0,22704.0,7380.0,45106.0,2321.0,330.0,4,450000.0,2616.0,325500.0,1474.0
333,2014,405,,,,,,172.0,22.0,725.0,162.0,703.0,737.0,158.0,4.0,Barossa - Yorke - Mid North,527.8,675.0,668.0,4.0,172572.7,24185.0,147859.8,Barossa - Yorke - Mid North,,,,,,,,,0.467,45324.0,22619.0,7696.0,39736.0,1909.0,402.0,4,250000.0,1693.0,170500.0,107.0
334,2014,406,,,,,,148.0,10.0,526.0,128.0,516.0,571.0,126.0,2.0,South Australia - Outback,1000.0,418.0,410.0,4.0,116562.8,15811.0,99751.8,South Australia - Outback,,,,,,,,,0.444,53913.0,23658.0,6309.0,44630.0,2106.0,273.0,4,263750.0,860.0,175000.0,234.0
335,2014,407,,,,,,320.0,18.0,1294.0,329.0,1276.0,1335.0,299.0,30.0,South Australia - South East,9159.8,1145.0,1088.0,48.0,291658.2,38446.1,244052.3,South Australia - South East,,,,,,,,,0.468,41283.0,23412.0,7702.0,36722.0,2521.0,391.0,4,261000.0,2903.0,190000.0,323.0
336,2014,501,,,,,,604.0,96.0,2076.0,588.0,1980.0,2089.0,568.0,20.0,Bunbury,10707.4,1994.0,1923.0,65.0,619416.8,49259.2,559450.2,Bunbury,,,,,,,,,0.485,57519.0,33901.0,9181.0,43709.0,3166.0,273.0,5,405000.0,2844.0,328500.0,480.0
337,2014,502,,,,,,427.0,85.0,1718.0,419.0,1633.0,1725.0,402.0,18.0,Mandurah,14105.7,1668.0,1579.0,84.0,429286.5,10339.0,404841.9,Mandurah,,,,,,,,,0.49,65464.0,28770.0,8961.0,49459.0,2956.0,209.0,5,420000.0,2095.0,333000.0,530.0
338,2014,503,,,,,,843.0,1010.0,1576.0,816.0,566.0,1576.0,514.0,303.0,Perth - Inner,586491.8,2444.0,537.0,1899.0,1129741.9,142954.4,400295.7,Perth - Inner,,,,,,,,,0.582,84519.0,77156.0,26776.0,53426.0,5298.0,1036.0,5,1280000.0,1831.0,532250.0,2186.0
339,2014,504,,,,,,855.0,520.0,3452.0,810.0,2932.0,3531.0,699.0,111.0,Perth - North East,175661.7,4080.0,3296.0,772.0,1013284.2,55699.3,781923.3,Perth - North East,,,,,,,,,0.436,61453.0,39434.0,6948.0,52000.0,3602.0,207.0,5,517750.0,4048.0,379000.0,879.0
340,2014,505,,,,,,1670.0,1236.0,6211.0,1635.0,4975.0,6281.0,1379.0,256.0,Perth - North West,305055.8,6572.0,5072.0,1470.0,1777886.8,111619.6,1361211.2,Perth - North West,,,,,,,,,0.461,64453.0,47507.0,9071.0,51691.0,4029.0,255.0,5,568000.0,8956.0,435000.0,2285.0
341,2014,506,,,,,,1656.0,1920.0,6529.0,1628.0,4609.0,6587.0,1205.0,423.0,Perth - South East,748088.0,7703.0,4774.0,2898.0,2009366.0,90037.1,1171240.9,Perth - South East,,,,,,,,,0.454,61265.0,45602.0,7557.0,50488.0,3906.0,224.0,5,520000.0,7530.0,438000.0,2049.0
342,2014,507,,,,,,1577.0,1079.0,5694.0,1526.0,4615.0,5850.0,1263.0,263.0,Perth - South West,295173.8,6025.0,4534.0,1277.0,1653529.0,165808.1,1192547.1,Perth - South West,,,,,,,,,0.478,67512.0,53123.0,10798.0,53515.0,4193.0,257.0,5,530000.0,6789.0,455000.0,1708.0
343,2014,508,,,,,,,,,,,,,,,85850.6,1288.0,1050.0,230.0,544176.5,54732.6,403593.3,Western Australia - Outback,,,,,,,,,,,,,,,,5,,,,
344,2014,509,,,,,,268.0,33.0,828.0,241.0,795.0,878.0,234.0,8.0,Western Australia - Wheat Belt,15879.2,911.0,826.0,76.0,284796.8,38899.5,230018.0,Western Australia - Wheat Belt,,,,,,,,,0.491,49586.0,32613.0,10257.0,39968.0,2481.0,570.0,5,327000.0,1742.0,286000.0,133.0
345,2014,510,,,,,,661.0,500.0,1363.0,563.0,863.0,1571.0,402.0,162.0,Western Australia - Outback (North),,,,,,,,,,,,,,,,,0.428,76624.0,30794.0,4102.0,62531.0,3867.0,57.0,5,,,,
346,2014,511,,,,,,279.0,76.0,752.0,243.0,676.0,807.0,228.0,14.0,Western Australia - Outback (South),,,,,,,,,,,,,,,,,0.457,60311.0,32888.0,8938.0,48983.0,2784.0,219.0,5,,,,
347,2014,601,,,,,,247.0,99.0,840.0,237.0,741.0,847.0,219.0,18.0,Hobart,37970.1,1265.0,1049.0,206.0,342963.3,54922.1,250071.0,Hobart,,,,,,,,,0.439,50073.0,22790.0,6975.0,44200.0,2082.0,285.0,6,350000.0,3374.0,280000.0,1158.0
348,2014,602,,,,,,164.0,140.0,613.0,154.0,473.0,624.0,133.0,21.0,Launceston and North East,20724.5,741.0,603.0,132.0,197988.7,32106.9,145157.4,Launceston and North East,,,,,,,,,0.452,45593.0,24557.0,7109.0,40000.0,1906.0,270.0,6,252500.0,2349.0,230000.0,452.0
349,2014,603,,,,,,64.0,9.0,244.0,61.0,235.0,244.0,60.0,1.0,South East,5050.0,340.0,311.0,21.0,85214.7,11444.2,68720.5,South East,,,,,,,,,0.477,41738.0,24993.0,6158.0,36656.0,3220.0,276.0,6,266000.0,788.0,202500.0,33.0
350,2014,604,,,,,,122.0,88.0,439.0,113.0,351.0,469.0,102.0,12.0,West and North West,13197.5,521.0,428.0,86.0,142430.1,21851.4,107381.2,West and North West,,,,,,,,,0.443,46035.0,23627.0,5487.0,40083.0,2141.0,245.0,6,230000.0,1817.0,210000.0,297.0
351,2014,701,,,,,,600.0,1093.0,1775.0,546.0,682.0,1878.0,295.0,251.0,Darwin,222055.3,1659.0,822.0,822.0,591542.3,64008.7,305478.3,Darwin,,,,,,,,,0.402,63295.0,42608.0,4969.0,56619.0,3265.0,92.0,7,595000.0,1554.0,476000.0,1448.0
352,2014,702,,,,,,75.0,137.0,207.0,48.0,70.0,260.0,26.0,22.0,Northern Territory - Outback,9114.1,154.0,74.0,29.0,54098.1,24653.2,20330.9,Northern Territory - Outback,,,,,,,,,0.416,50814.0,31175.0,4187.0,44080.0,2768.0,90.0,7,410000.0,543.0,336000.0,189.0
353,2014,801,,,,,,1311.0,2801.0,4514.0,1254.0,1713.0,4636.0,635.0,619.0,Australian Capital Territory,674377.7,4255.0,1305.0,2943.0,1238716.1,106490.1,457848.3,Australian Capital Territory,,,,,,,,,0.415,66764.0,29691.0,5809.0,61370.0,2174.0,284.0,8,520000.0,4920.0,419900.0,3098.0
354,2014,901,,,,,,,,,,,,,,Other Territories,,,,,,,,,,,,,,,,,0.396,68084.0,19295.0,8300.0,67675.0,1272.0,1090.0,9,,,,
355,2015,101,,,,,,427.0,153.0,1296.0,415.0,1143.0,1298.0,384.0,30.0,Capital Region,25914.7,1441.0,1285.0,142.0,473559.1,51033.7,396610.7,Capital Region,,,,,,,,,0.457,52350.0,31461.0,7072.0,44678.0,3740.0,358.0,1,380000.0,4075.0,270000.0,925.0
356,2015,102,,,,,,399.0,579.0,1427.0,374.0,848.0,1428.0,261.0,113.0,Central Coast,144208.2,1858.0,1220.0,585.0,551957.3,86182.7,321566.3,Central Coast,,,,,,,,,0.452,52702.0,39914.0,6155.0,44668.0,4027.0,249.0,1,490000.0,7369.0,385000.0,2016.0
357,2015,103,,,,,,300.0,149.0,1038.0,293.0,889.0,1045.0,264.0,30.0,Central West,99783.5,1243.0,924.0,309.0,381423.4,28231.7,253408.2,Central West,,,,,,,,,0.465,51721.0,27563.0,6647.0,43689.0,3129.0,304.0,1,298750.0,3658.0,239000.0,283.0
358,2015,104,,,,,,176.0,107.0,576.0,172.0,469.0,576.0,145.0,27.0,Coffs Harbour - Grafton,54221.3,688.0,461.0,215.0,202984.9,26365.6,122397.9,Coffs Harbour - Grafton,,,,,,,,,0.478,44526.0,31426.0,5749.0,38010.0,3223.0,330.0,1,376900.0,2375.0,272500.0,645.0
359,2015,105,,,,,,119.0,73.0,422.0,124.0,349.0,436.0,99.0,25.0,Far West and Orana,23811.8,493.0,381.0,111.0,141662.8,11608.0,106243.0,Far West and Orana,,,,,,,,,0.468,48551.0,27699.0,6682.0,42441.0,2953.0,281.0,1,230000.0,1852.0,252300.0,91.0
360,2015,106,,,,,,412.0,317.0,1488.0,401.0,1171.0,1489.0,345.0,56.0,Hunter Valley exc Newcastle,50012.3,1721.0,1455.0,255.0,523390.0,52264.0,421113.7,Hunter Valley exc Newcastle,,,,,,,,,0.473,58088.0,42699.0,5484.0,46577.0,3505.0,244.0,1,375000.0,4436.0,315000.0,746.0
